"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜ようだ（推量）","plain + ようだ (な-adj + な, N + の); ような + N; ように + V","it seems ~; it looks like ~ (judgement from observation)","… जस्तो देखिन्छ / … जस्तो लाग्छ","咳をしている。彼は風邪をひいたようだ。","せきを している。かれは かぜを ひいた ようだ。","He's coughing. He seems to have caught a cold.","ऊ खोकिरहेको छ। रुघा लागेको जस्तो छ।","靴が二足ある。誰か来ているようだ。","くつが にそく ある。だれか きている ようだ。","There are two pairs of shoes. Someone seems to be here.","दुई जोर जुत्ता छन्। कोही आएको जस्तो छ।","外は雨が降っているようです。","そとは あめが ふっている ようです。","It looks like it's raining outside.","बाहिर पानी परिरहेको जस्तो छ।","[observation]。[plain]ようだ","Speaker's own judgement from what they see or hear; softer than に違いない. Simile use (〜のように) is a separate entry.","みたいだ","ようだ ↔ そうだ（様態）; ようだ ↔ らしい","ようだ takes a plain form and judges what is or was the case from evidence; そうだ(様態) takes a stem and reads an impression of what is about to happen","咳をしている。彼は風邪をひいた＿＿＿。","ようだ","靴が二足ある。誰か来ている＿＿＿。","A ようだ / B そうだ / C ことだ / D わけにはいかない","A ようだ","Your own inference from visible evidence (the shoes).","B そうだ after a plain form is hearsay ('I heard someone is here'), which contradicts the shoes being your own evidence.","The sky is dark and rain looks imminent. 空が暗い。雨が降り＿＿＿。","そうだ","そうだ(様態) fits because it attaches to the verb stem and reads what is about to happen from appearance; ようだ would need a plain form (降っているようだ) and judges what is already the case. 降りそうだ (looks like it will) / 降っているようだ (seems to be raining).","N3 grammar inference confusable"
"〜みたいだ","plain + みたいだ (な-adj / N without だ); みたいな + N; みたいに + V","seems ~; like ~ (casual)","… जस्तो (बोलीचालीको)","彼、今日は元気がないみたいだね。","かれ、きょうは げんきが ない みたい だね。","He seems down today, doesn't he?","ऊ आज उदास जस्तो छ है।","あの雲、犬みたいな形をしている。","あのくも、いぬ みたいな かたちを している。","That cloud is shaped like a dog.","त्यो बादल कुकुर जस्तो आकारको छ।","電車が止まっているみたいだ。","でんしゃが とまっている みたいだ。","The trains seem to be stopped.","ट्रेन रोकिएको जस्तो छ।","[plain]みたいだ ・ [N]みたいな[N]","Casual counterpart of ようだ for both inference and simile; attaches directly to nouns and な-adj (no の / な).","this is the spoken form; ようだ is written/formal","みたいだ ↔ ようだ (register)","N + みたいだ (no の); N + のようだ (needs の)","彼、今日は元気がない＿＿＿だね。","みたい","あの雲、犬＿＿＿形をしている。","A みたいな / B みたいに / C ような / D らしく","A みたいな","Modifies the noun 形, so the な form is needed.","C ような needs の after a noun (犬のような); bare 犬ような is ungrammatical.","","","","N3 grammar inference"
"〜らしい（推量）","plain + らしい (な-adj / N without だ)","seems ~; apparently ~ (judgement from information heard or read)","… रे / … जस्तो छ (सुनेको/जानेको आधारमा)","田中さんは来月会社をやめるらしい。","たなかさんは らいげつ かいしゃを やめる らしい。","Apparently Tanaka is quitting next month.","तानाका अर्को महिना काम छोड्ने रे।","あの店はいつも混んでいる。人気があるらしい。","あのみせは いつも こんでいる。にんきが ある らしい。","That place is always packed. It seems to be popular.","त्यो पसल सधैं भरिभराउ हुन्छ। लोकप्रिय जस्तो छ।","天気予報によると、明日は雪らしい。","てんきよほうに よると、あしたは ゆき らしい。","According to the forecast, it'll apparently snow tomorrow.","मौसम पूर्वानुमान अनुसार भोलि हिउँ पर्छ रे।","[source or clue]。[plain]らしい","Relays outside information filtered through the speaker's own judgement; keeps distance. Not for things you directly experienced yourself.","らしいよ","らしい ↔ ようだ; らしい ↔ そうだ（伝聞）","ようだ = your own observation; らしい = information from elsewhere plus your judgement; そうだ(伝聞) = pure relay","田中さんは来月会社をやめる＿＿＿。","らしい","あの店はいつも混んでいる。人気がある＿＿＿。","A らしい / B そうな / C ことか / D わけにはいかない","A らしい","General knowledge about the shop leads to a distanced judgement.","B そうな (appearance) attaches to a stem (人気がありそう), not to the plain form ある.","You watch him coughing right in front of you. 咳をしている。風邪をひいた＿＿＿。","ようだ","ようだ fits because the judgement rests on your own direct observation; らしい would imply you heard it from someone, which the coughing you are watching rules out. 風邪をひいたようだ (I can see) / 風邪をひいたらしい (so I hear).","N3 grammar inference confusable"
"〜らしい（典型）","N + らしい (い-adj conjugation); N + らしく + V","typical of ~; truly ~-like (has the qualities expected of ~)","… जस्तै / … सुहाउँदो","今日は春らしい暖かい日だ。","きょうは はるらしい あたたかい ひだ。","Today is a warm, spring-like day.","आज वसन्त सुहाउँदो न्यानो दिन छ।","彼は男らしくて、頼りになる。","かれは おとこらしくて、たよりに なる。","He's manly and dependable.","ऊ पुरुषोचित र भरपर्दो छ।","最近、自分らしく生きたいと思うようになった。","さいきん、じぶんらしく いきたいと おもうように なった。","Lately I've come to want to live true to myself.","आजकल आफ्नै तरिकाले बाँच्न मन लाग्न थालेको छ।","[N]らしい[N] ・ [N]らしく[V]","X has the qualities expected of X; positive. A different construction from the inference らしい.","same","らしい（典型） ↔ みたいだ／っぽい","子供らしい = childlike, befitting a child; 子供みたい / 子供っぽい = resembles a child while not being one, usually negative","今日は春＿＿＿暖かい日だ。","らしい","彼は男＿＿＿、頼りになる。","A らしくて / B みたいで / C っぽくて / D のようで","A らしくて","Praise: he has the qualities expected of a man.","B みたいで says 'he is like a man (but isn't one)', which does not fit praising an adult man.","An adult is acting immature and you criticise it. 30歳なのに、彼は子供＿＿＿＿。","みたいだ","みたい fits because he resembles a child while not being one, and the tone is negative; らしい would say he has the good qualities proper to a child, which is impossible for a 30-year-old and contradicts the criticism. 子供らしい笑顔 / 子供みたいな態度.","N3 grammar typicality confusable"
"〜そうだ（伝聞）","plain + そうだ (い-adj + い + そうだ; な-adj + だ + そうだ; N + だ + そうだ)","I hear that ~; they say ~","… रे (सुनेको कुरा)","ニュースによると、台風が近づいているそうだ。","ニュースに よると、たいふうが ちかづいている そうだ。","According to the news, a typhoon is approaching.","समाचार अनुसार आँधी नजिकिँदै छ रे।","友達の話では、この店のラーメンはとてもおいしいそうだ。","ともだちの はなしでは、このみせの ラーメンは とても おいしい そうだ。","According to my friend, the ramen here is very good.","साथीका अनुसार यो पसलको रामेन धेरै मिठो छ रे।","田中さんは来月結婚するそうです。","たなかさんは らいげつ けっこんする そうです。","I hear Tanaka is getting married next month.","तानाकाको अर्को महिना बिहे हुँदैछ रे।","[source]によると／の話では、[plain]そうだ","Pure relay of information, no speaker judgement; the source is often marked with によると. No past form (そうだった is not hearsay).","〜って / 〜んだって","そうだ（伝聞） ↔ そうだ（様態）","hearsay attaches to plain forms (おいしいそうだ); appearance attaches to stems (おいしそうだ) — the い is the difference","ニュースによると、台風が近づいている＿＿＿。","そうだ","友達の話では、この店のラーメンはとてもおいしい＿＿＿。","A そうだ / B ようだ / C はずだ / D ことだ","A そうだ","友達の話では marks relayed information.","B ようだ would be your own inference from observation, but the sentence explicitly attributes the claim to a friend.","You look at a cake in a shop window; it looks delicious. うわあ、このケーキ、おいし＿＿＿！","そう","Appearance そうだ fits because it drops the い and attaches to the stem for a direct visual impression; hearsay そうだ keeps the い (おいしいそうだ) and would mean someone told you, which a shop-window glance does not support. おいしそうだ (looks tasty) / おいしいそうだ (I hear it's tasty).","N3 grammar hearsay confusable"
"〜そうだ（様態）","V-stem + そうだ; い-adj stem + そうだ (いい → よさそう); な-adj stem + そうだ; negatives なさそう / そうもない","looks ~; looks like it's about to ~","… जस्तो देखिन्छ / … लाग्न लागेजस्तो छ","空が暗くなってきた。雨が降りそうだ。","そらが くらく なってきた。あめが ふり そうだ。","The sky's getting dark. It looks like rain.","आकाश अँध्यारो हुँदैछ। पानी पर्ला जस्तो छ।","（店で手に取って）このかばんは丈夫そうだね。","（みせで てに とって）このかばんは じょうぶ そう だね。","(Holding it in the shop) This bag looks sturdy.","(पसलमा हातमा लिएर) यो झोला बलियो जस्तो छ है।","荷物が多くて、袋が破れそうだ。","にもつが おおくて、ふくろが やぶれ そうだ。","So much stuff — the bag looks like it'll tear.","सामान धेरै भएर झोला च्यातिन लागेजस्तो छ।","[V-stem / adj-stem]そうだ","Impression from direct sight; with verbs it means 'about to'. Not used for plainly visible facts (a red thing is 赤い, not 赤そう).","same; そう！ on its own","そうだ（様態） ↔ ようだ; そうだ（様態） ↔ そうだ（伝聞）","stem attachment; いい → よさそう; ない → なさそう","空が暗くなってきた。雨が降り＿＿＿。","そうだ","（店で手に取って）このかばんは＿＿＿＿ね。","A 丈夫そうだ / B 丈夫だそうだ / C 丈夫なことだ / D 丈夫のはずだ","A 丈夫そうだ","Holding it in the shop = direct impression, so stem + そうだ.","B 丈夫だそうだ is hearsay ('I hear it's sturdy'), which the direct-handling context rules out.","","","","N3 grammar appearance"
"〜ということだ（伝聞）","plain + ということだ (N + だ + ということだ)","I hear that ~; it says that ~ (report of information)","… भन्ने कुरा हो / … भनिएको छ","会議は来週に延期されたということです。","かいぎは らいしゅうに えんきされた という ことです。","I'm told the meeting was postponed to next week.","मिटिङ अर्को हप्ता सारिएको छ भन्ने कुरा छ।","担当者の話では、修理に一週間かかるということだった。","たんとうしゃの はなしでは、しゅうりに いっしゅうかん かかる という ことだった。","The person in charge said repairs would take a week.","जिम्मेवार व्यक्तिका अनुसार मर्मतमा एक हप्ता लाग्छ भन्ने थियो।","天気予報によると、週末は晴れるということだ。","てんきよほうに よると、しゅうまつは はれる という ことだ。","According to the forecast, it'll be sunny on the weekend.","मौसम पूर्वानुमान अनुसार सप्ताहन्तमा घाम लाग्छ रे।","[source]によると／の話では、[plain]ということだ","Report of information, close to そうだ(伝聞) but usable in the past (ということだった) and more formal. The 'in other words' use (つまり〜ということだ) is a separate entry.","〜って / 〜んだって; formal とのことです","ということだ ↔ そうだ（伝聞）","そうだ(伝聞) has no past form; ということだった exists","会議は来週に延期された＿＿＿＿＿です。","ということ","担当者の話では、修理に一週間かかる＿＿＿＿＿＿。","A ということだった / B そうだった / C ようだった / D はずだった","A ということだった","Relayed information reported in the past tense.","B そうだった cannot be hearsay; in the past tense そうだ only reads as appearance, which does not attach to the plain form かかる.","","","","N3 grammar hearsay"
"〜というより","plain / N + というより","rather than ~; more ~ than ~ (re-labelling)","… भन्नुभन्दा …","今日は涼しいというより、寒い。","きょうは すずしい というより、さむい。","Today is cold rather than cool.","आज शीतल भन्नुभन्दा जाडो छ।","彼は先生というより、友達のような存在だ。","かれは せんせい というより、ともだちの ような そんざいだ。","He's more like a friend than a teacher.","ऊ गुरु भन्नुभन्दा साथी जस्तो छ।","忙しいというより、時間の使い方が下手なだけだ。","いそがしい というより、じかんの つかいかたが へたな だけだ。","It's not so much that I'm busy; I'm just bad at managing time.","व्यस्त भन्नुभन्दा समय व्यवस्थापन नै कमजोर हो।","[X]というより、[Y]","Corrects one description to a more accurate one for the same thing; often followed by むしろ.","っていうか / ていうより","というより ↔ といっても; というより ↔ より","というより replaces the label X; plain より compares two different things","今日は涼しい＿＿＿＿＿、寒い。","というより","彼は先生＿＿＿＿＿、友達のような存在だ。","A というより / B といっても / C として / D にとって","A というより","Replaces the label 先生 with a more accurate one.","B といっても concedes 先生 is true but limited ('a teacher, though only…'); the sentence rejects the label instead.","","","","N3 grammar comparison"
"〜といっても","plain / N + といっても","although I say ~; even so (less than it sounds)","… भने पनि (त्यति ठूलो कुरा होइन)","料理ができるといっても、簡単なものだけです。","りょうりが できる といっても、かんたんな もの だけです。","I can cook, but only simple things.","खाना पकाउन सक्छु भने पनि सजिलो मात्र।","旅行といっても、隣の県に一泊しただけだ。","りょこう といっても、となりの けんに いっぱくした だけだ。","A trip, but really just one night in the next prefecture.","यात्रा भने पनि छेउको प्रान्तमा एक रात मात्र बसेको।","日本語が話せるといっても、日常会話ぐらいだ。","にほんごが はなせる といっても、にちじょうかいわ ぐらいだ。","I can speak Japanese, though only everyday conversation.","जापानी बोल्न सक्छु भने पनि दैनिक कुराकानी मात्र।","[X]といっても、[downgraded reality]","X is true, but the listener should not expect much; the second clause usually has だけ / ぐらい / ほど〜ない.","っていっても","といっても ↔ というより","といっても keeps X true and limits it; というより replaces X","料理ができる＿＿＿＿＿、簡単なものだけです。","といっても","旅行＿＿＿＿＿、隣の県に一泊しただけだ。","A といっても / B というより / C ということだ / D として","A といっても","だけ downgrades an admitted 'trip'.","B というより would deny it was a trip and offer another label, but the sentence still calls it a trip.","","","","N3 grammar concession"
"〜としたら／とすれば","plain + としたら / とすれば (N・な-adj + だ + としたら)","if we suppose ~; if ~ were the case","… भन्ने हो भने / मानौं …","一週間休みがもらえるとしたら、どこへ行きたい？","いっしゅうかん やすみが もらえる としたら、どこへ いきたい？","If you got a week off, where would you want to go?","एक हप्ता बिदा पाइयो भने कहाँ जान चाहन्छौ?","彼が言ったことが本当だとすれば、大変なことになる。","かれが いったことが ほんとう だとすれば、たいへんな ことに なる。","If what he said is true, this is serious.","उसले भनेको साँचो हो भने ठूलो समस्या हुन्छ।","引っ越すとしたら、駅の近くがいい。","ひっこす としたら、えきの ちかくが いい。","If I were to move, I'd want somewhere near the station.","सर्ने हो भने स्टेसन नजिकै राम्रो।","[supposition]としたら、[consequence / question]","Sets up a hypothesis that is undecided or counterfactual; とすれば is slightly more formal and logical.","としたら; casual とすると","としたら ↔ たら","としたら = supposing (which may well not happen); たら = plain condition or 'when'","一週間休みがもらえる＿＿＿＿、どこへ行きたい？","としたら","彼が言ったことが本当だ＿＿＿＿、大変なことになる。","A とすれば / B といっても / C というより / D として","A とすれば","Hypothesis → consequence.","B といっても concedes the statement is true but limited, yet the sentence treats its truth as unverified.","","","","N3 grammar condition"
