#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
以内	422	以内[いない]	いない	noun	noun	within (a limit)	भित्र; …को सीमामा	駅[えき]から 十分[じゅっぷん] 以内[いない]の 場所[ばしょ]に 住[す]みたい。	I want to live within ten minutes of the station.	一週間[いっしゅうかん] 以内[いない]に 返事[へんじ]をください。	Please reply within one week.	予算[よさん]は 五万円[ごまんえん] 以内[いない]に 収[おさ]めたい。	I want to keep the budget within fifty thousand yen.	N＋以内（に）	以内 = within/inside a limit (inclusive). Opposite: 以上/以外. Time, distance, money all take it.	N3 batch4 day17 noun
現代	423	現代[げんだい]	げんだい	noun	noun	the present age; modern times	आधुनिक युग; वर्तमान	現代[げんだい]の 若者[わかもの]はスマホなしでは 生活[せいかつ]できない。	Young people today cannot live without smartphones.	現代[げんだい] 社会[しゃかい]には 様々[さまざま]な 問題[もんだい]がある。	Modern society has various problems.	この 作品[さくひん]は 現代[げんだい]でも 高[たか]く 評価[ひょうか]されている。	This work is highly regarded even today.	現代の＋N／現代社会	現代 = the modern era we live in. Set with 過去 (batch2), 時代.	N3 batch4 day17 noun
世紀	424	世紀[せいき]	せいき	noun	noun	century	शताब्दी	二十一[にじゅういち] 世紀[せいき]に 入[はい]って、 世界[せかい]は 大[おお]きく 変[か]わった。	Entering the 21st century, the world changed greatly.	この 建物[たてもの]は 十九[じゅうきゅう] 世紀[せいき]に 建[た]てられた。	This building was built in the 19th century.	今[いま]は 情報[じょうほう]の 世紀[せいき]だと 言[い]われる。	It is said that this is the century of information.	〜世紀（二十一世紀）	Counter for centuries. 〜世紀 attaches to numbers.	N3 batch4 day17 noun
最終	425	最終[さいしゅう]	さいしゅう	noun	noun	final; last	अन्तिम	最終[さいしゅう]の 電車[でんしゃ]は 十二時[じゅうにじ]に 出[で]る。	The last train leaves at twelve.	最終[さいしゅう] 的[てき]に、 彼[かれ]の 意見[いけん]が 通[とお]った。	In the end, his opinion prevailed.	これが 最終[さいしゅう] 決定[けってい]です。	This is the final decision.	最終＋N／最終的に	最終的に = ultimately/in the end (very common). 最終電車 = 終電. 最初 ↔ 最終.	N3 batch4 day17 noun
時代	426	時代[じだい]	じだい	noun	noun	era; period; age	युग; समय; कालखण्ड	学生[がくせい] 時代[じだい]の 友人[ゆうじん]と 久[ひさ]しぶりに 会[あ]った。	I met a friend from my student days after a long time.	時代[じだい]とともに、 働[はたら]き 方[かた]も 変[か]わってきた。	Along with the times, ways of working have changed too.	今[いま]は 誰[だれ]でも 情報[じょうほう]を 発信[はっしん]できる 時代[じだい]だ。	This is an age when anyone can send out information.	N＋時代（学生時代）／時代が変わる	学生時代 = one's student days. 時代 = era/period; 時期 = a season/time-of-year.	N3 batch4 day18 noun
期間	427	期間[きかん]	きかん	noun	noun	period; term; duration	अवधि	この 割引[わりびき]は 期間[きかん] 限定[げんてい]です。	This discount is for a limited period only.	入院[にゅういん]の 期間[きかん]は 一週間[いっしゅうかん]ぐらいだった。	The hospital stay lasted about a week.	テスト 期間[きかん] 中[ちゅう]は 部活[ぶかつ]が 休[やす]みになる。	During the exam period, club activities are suspended.	〜の期間／期間限定／期間中	期間 = a span of time (duration); 期限 = a deadline (endpoint). Next word contrasts.	N3 batch4 day18 noun
期限	428	期限[きげん]	きげん	noun	noun	deadline; time limit; expiry	म्याद; समयसीमा	レポートの 提出[ていしゅつ] 期限[きげん]は 明日[あした]までだ。	The deadline to submit the report is tomorrow.	この 牛乳[ぎゅうにゅう]は 期限[きげん]が 切[き]れている。	This milk is past its expiry date.	期限[きげん]までに 間[ま]に 合[あ]いそうにない。	It does not look like I will make the deadline.	期限が切れる／期限までに	期限が切れる = expire. 賞味期限 = best-before date. 締め切り (batch1) = deadline (spoken).	N3 batch4 day18 noun
制度	429	制度[せいど]	せいど	noun	noun	system (institutional)	प्रणाली; व्यवस्था	この 会社[かいしゃ]には 在宅[ざいたく] 勤務[きんむ]の 制度[せいど]がある。	This company has a work-from-home system.	教育[きょういく] 制度[せいど]は 国[くに]によって 大[おお]きく 異[こと]なる。	Education systems differ greatly by country.	新[あたら]しい 制度[せいど]が 来年[らいねん]から 始[はじ]まる。	The new system starts next year.	〜制度（教育制度）／制度が変わる	制度 = an institutional system/scheme; システム = a technical system. 仕組み = mechanism.	N3 batch4 day18 noun
現実	430	現実[げんじつ]	げんじつ	noun	noun	reality	वास्तविकता	夢[ゆめ]と 現実[げんじつ]は 違[ちが]う。	Dreams and reality are different.	厳[きび]しい 現実[げんじつ]を 受[う]け 入[い]れるしかない。	There is no choice but to accept the harsh reality.	彼[かれ]の 計画[けいかく]は 現実[げんじつ]から 離[はな]れている。	His plan is detached from reality.	現実を受け入れる／現実的（realistic）	現実的 = realistic (day22). Set with 理想 (ideal, next-ish), 事実 (fact).	N3 batch4 day18 noun
理想	431	理想[りそう]	りそう	noun	noun	ideal	आदर्श	彼[かれ]は 理想[りそう]が 高[たか]すぎる。	His ideals are too high.	理想[りそう]と 現実[げんじつ]のギャップに 悩[なや]んでいる。	I am troubled by the gap between the ideal and reality.	これが 私[わたし]の 理想[りそう]の 生活[せいかつ]だ。	This is my ideal lifestyle.	理想が高い／理想の＋N	Pair with 現実. 理想的 = ideal (adjective, day22).	N3 batch4 day18 noun
事実	432	事実[じじつ]	じじつ	noun	noun / adverb	fact; in fact	तथ्य	それは 誰[だれ]もが 知[し]っている 事実[じじつ]だ。	That is a fact everyone knows.	事実[じじつ]を 正[ただ]しく 伝[つた]えることが 大切[たいせつ]だ。	Conveying the facts accurately is important.	彼[かれ]は 事実[じじつ]、 会社[かいしゃ]で 一番[いちばん] 働[はたら]いている。	He is, in fact, the hardest worker in the company.	事実を伝える／事実、〜	事実 = fact (objective); 真実 = truth (the true state). Next word contrasts.	N3 batch4 day18 noun
真実	433	真実[しんじつ]	しんじつ	noun	noun	truth	सत्य	彼[かれ]はついに 真実[しんじつ]を 話[はな]した。	He finally told the truth.	何[なに]が 真実[しんじつ]なのか、 分[わ]からなくなった。	I lost track of what the truth was.	真実[しんじつ]はいつか 明[あき]らかになる。	The truth will come to light someday.	真実を話す／真実を知る	真実 = the truth (deeper); 事実 = a fact (concrete). Both contrast with 嘘 (lie).	N3 batch4 day18 noun
手段	434	手段[しゅだん]	しゅだん	noun	noun	means; method	उपाय; माध्यम	目的[もくてき]のためには 手段[しゅだん]を 選[えら]ばない 人[ひと]もいる。	Some people will use any means to reach their goal.	電車[でんしゃ]が 止[と]まったので、ほかの 交通[こうつう] 手段[しゅだん]を 探[さが]した。	The train stopped, so I looked for other means of transport.	これが 問題[もんだい]を 解決[かいけつ]する 唯一[ゆいいつ]の 手段[しゅだん]だ。	This is the only means of solving the problem.	〜の手段／手段を選ばない	手段 = means/method (to an end); 方法 (batch1) = method (how-to). 交通手段 = transportation.	N3 batch4 day18 noun
方針	435	方針[ほうしん]	ほうしん	noun	noun	policy; course of action	नीति; दिशा	会社[かいしゃ]の 方針[ほうしん]が 大[おお]きく 変[か]わった。	The company's policy changed significantly.	今後[こんご]の 方針[ほうしん]について 話[はな]し 合[あ]った。	We discussed our course of action from here on.	親[おや]の 教育[きょういく] 方針[ほうしん]は 家庭[かてい]によって 違[ちが]う。	Parents' education policies differ from home to home.	方針を決める／方針が変わる	方針 = a guiding policy/direction; 政策 = government policy specifically.	N3 batch4 day18 noun
対象	436	対象[たいしょう]	たいしょう	noun	noun	target; object (of study, sale)	लक्ष्य; विषय (अध्ययनको)	このアンケートの 対象[たいしょう]は 二十代[にじゅうだい]の 女性[じょせい]だ。	The target of this survey is women in their twenties.	この 割引[わりびき]は 学生[がくせい]が 対象[たいしょう]です。	This discount is aimed at students.	その 事件[じけん]は 研究[けんきゅう]の 対象[たいしょう]になっている。	That incident has become an object of research.	〜が対象／〜を対象とする	TRAP: 対象 (たいしょう, target), 対照 (contrast), 対称 (symmetry) — all たいしょう! 対象 = the one aimed at.	N3 batch4 day18 noun
対策	437	対策[たいさく]	たいさく	noun	noun	countermeasure; measures	उपाय; प्रतिकार	地震[じしん]に 備[そな]えて、 対策[たいさく]を 立[た]てておこう。	Let us plan countermeasures in preparation for earthquakes.	試験[しけん] 対策[たいさく]として、 過去[かこ] 問[もん]を 解[と]いている。	As exam prep, I am solving past papers.	政府[せいふ]は 人口[じんこう] 減少[げんしょう]への 対策[たいさく]を 発表[はっぴょう]した。	The government announced measures against population decline.	対策を立てる／〜対策（試験対策）	対策を立てる = devise measures. 試験対策 = exam prep — your daily word right now.	N3 batch4 day18 noun
結論	438	結論[けつろん]	けつろん	noun	noun / suru-verb	conclusion	निष्कर्ष	長[なが]い 議論[ぎろん]の 末[すえ]、やっと 結論[けつろん]が 出[で]た。	After a long discussion, a conclusion was finally reached.	急[いそ]いで 結論[けつろん]を 出[だ]さない 方[ほう]がいい。	It is better not to rush to a conclusion.	結論[けつろん]から 言[い]うと、 計画[けいかく]は 成功[せいこう]した。	To start with the conclusion, the plan succeeded.	結論が出る／結論を出す／結論から言うと	結論から言うと = to get to the point (business-speak). 結論 pairs with 議論 (discussion).	N3 batch4 day18 noun
立場	439	立場[たちば]	たちば	noun	noun	standpoint; position (situation)	अडान; स्थिति (परिस्थिति)	相手[あいて]の 立場[たちば]に 立[た]って 考[かんが]えてみよう。	Let us try to think from the other person's standpoint.	彼[かれ]は 今[いま]、 難[むずか]しい 立場[たちば]にいる。	He is in a difficult position right now.	私[わたし]の 立場[たちば]では、それは 言[い]えません。	In my position, I cannot say that.	〜の立場／立場に立つ	相手の立場に立つ = put yourself in someone's shoes. 立場 = social position/standpoint, not physical.	N3 batch4 day18 noun
姿勢	440	姿勢[しせい]	しせい	noun	noun	posture; attitude (stance)	शारीरिक मुद्रा; रवैया	パソコン 作業[さぎょう]が 多[おお]いと、 姿勢[しせい]が 悪[わる]くなる。	With a lot of computer work, your posture gets bad.	彼[かれ]の 仕事[しごと]に 対[たい]する 姿勢[しせい]は 立派[りっぱ]だ。	His attitude toward work is admirable.	問題[もんだい]に 前向[まえむ]きな 姿勢[しせい]で 取[と]り 組[く]む。	I tackle problems with a positive attitude.	姿勢がいい・悪い／〜に対する姿勢	Physical posture AND mental stance/attitude. 態度 (batch1) is closer to visible behavior.	N3 batch4 day18 noun
基本	441	基本[きほん]	きほん	noun	noun	basics; fundamentals	आधार; मूल कुरा	何事[なにごと]も 基本[きほん]が 大切[たいせつ]だ。	In anything, the basics are important.	まず 基本[きほん]をしっかり 身[み]につけよう。	First, let us firmly master the fundamentals.	挨拶[あいさつ]は コミュニケーションの 基本[きほん]だ。	Greetings are the basis of communication.	基本が大切／基本を身につける／基本的（day22）	基本 = fundamentals; 基礎 (きそ) = foundation/groundwork. 基本的 = basic (adjective).	N3 batch4 day18 noun
基準	442	基準[きじゅん]	きじゅん	noun	noun	standard; criterion	मापदण्ड; आधार	採用[さいよう]の 基準[きじゅん]を 教[おし]えてください。	Please tell me the hiring criteria.	この 商品[しょうひん]は 安全[あんぜん] 基準[きじゅん]を 満[み]たしている。	This product meets the safety standards.	人[ひと]を 見[み]た 目[め]だけで 判断[はんだん]する 基準[きじゅん]はおかしい。	Judging people by appearance alone is a strange criterion.	基準を満たす／〜の基準	基準を満たす = meet the standard. 標準 (ひょうじゅん) = the average/standard norm.	N3 batch4 day18 noun
現象	443	現象[げんしょう]	げんしょう	noun	noun	phenomenon	घटना (प्राकृतिक); परिघटना	オーロラは 美[うつく]しい 自然[しぜん] 現象[げんしょう]だ。	The aurora is a beautiful natural phenomenon.	都市[とし]に 人[ひと]が 集[あつ]まる 現象[げんしょう]は 世界[せかい] 中[じゅう]で 見[み]られる。	The phenomenon of people gathering in cities is seen worldwide.	この 現象[げんしょう]の 原因[げんいん]はまだ 分[わ]かっていない。	The cause of this phenomenon is still unknown.	自然現象／〜という現象	現象 = an observable phenomenon (science/society). Reading げんしょう — same sound as 減少 (batch2, decrease)!	N3 batch4 day18 noun
効率	444	効率[こうりつ]	こうりつ	noun	noun / na-adjective	efficiency	दक्षता; कार्यक्षमता	この 方法[ほうほう]の 方[ほう]が 効率[こうりつ]がいい。	This method is more efficient.	無駄[むだ]を 減[へ]らして、 作業[さぎょう]の 効率[こうりつ]を 上[あ]げたい。	I want to cut waste and raise work efficiency.	効率[こうりつ]ばかり 考[かんが]えると、 大事[だいじ]なものを 見失[みうしな]う。	If you only think about efficiency, you lose sight of what matters.	効率がいい・悪い／効率を上げる／効率的	効率がいい = efficient. 効率的 = efficient (adjective). Data-engineering-relevant word.	N3 batch4 day18 noun
機能	445	機能[きのう]	きのう	noun	noun / suru-verb	function; feature	कार्य; सुविधा	このアプリには 便利[べんり]な 機能[きのう]がたくさんある。	This app has many convenient features.	新[あたら]しいスマホの 機能[きのう]を 使[つか]いこなせない。	I cannot make full use of the new phone's features.	停電[ていでん]で、システムが 機能[きのう]しなくなった。	Due to the power outage, the system stopped functioning.	〜の機能／Aが機能する	Homophone: 機能 (きのう, function) vs 昨日 (きのう, yesterday) — pitch differs. Tech word for you.	N3 batch4 day18 noun
個性	446	個性[こせい]	こせい	noun	noun	individuality; personality (distinctive)	व्यक्तित्व; विशिष्टता	この 学校[がっこう]は 生徒[せいと]の 個性[こせい]を 大切[たいせつ]にしている。	This school values students' individuality.	彼女[かのじょ]の 絵[え]には 強[つよ]い 個性[こせい]がある。	Her paintings have a strong individuality.	みんなと 同[おな]じでなくていい。 個性[こせい]を 大事[だいじ]にしよう。	You do not have to be like everyone else — value your individuality.	個性がある／個性を大切にする	個性 = what makes someone distinctive; 性格 (batch1) = character/temperament. 個性的 = unique.	N3 batch4 day18 noun
意義	447	意義[いぎ]	いぎ	noun	noun	significance; meaning (worth)	महत्त्व; सार्थकता	ボランティア 活動[かつどう]に 意義[いぎ]を 感[かん]じている。	I feel that volunteering is meaningful.	この 研究[けんきゅう]には 大[おお]きな 意義[いぎ]がある。	This research has great significance.	ただ 生[い]きるのではなく、 意義[いぎ]のある 人生[じんせい]を 送[おく]りたい。	Rather than merely living, I want to lead a meaningful life.	意義がある／意義を感じる	意義 = significance/worth; 意味 = meaning (of words/things). Homophone 異議 (いぎ) = objection!	N3 batch4 day18 noun
需要	448	需要[じゅよう]	じゅよう	noun	noun	demand	माग	夏[なつ]はエアコンの 需要[じゅよう]が 高[たか]まる。	In summer, demand for air conditioners rises.	この 商品[しょうひん]は 若[わか]い 人[ひと]に 需要[じゅよう]がある。	This product is in demand among young people.	需要[じゅよう]が 増[ふ]えれば、 値段[ねだん]も 上[あ]がる。	If demand increases, prices go up too.	需要が高い・ある／需要が増える	Pair: 需要 (demand) ↔ 供給 (supply). Economics/business reading word.	N3 batch4 day18 noun
供給	449	供給[きょうきゅう]	きょうきゅう	noun	noun / suru-verb	supply	आपूर्ति	電力[でんりょく]の 供給[きょうきゅう]が 足[た]りなくなるおそれがある。	There is a risk that the electricity supply will run short.	需要[じゅよう]に 対[たい]して 供給[きょうきゅう]が 追[お]いついていない。	Supply is not keeping up with demand.	この 会社[かいしゃ]は 全国[ぜんこく]に 商品[しょうひん]を 供給[きょうきゅう]している。	This company supplies goods nationwide.	Aを供給する／需要と供給	需要と供給 = supply and demand (set phrase, note order flips in Japanese).	N3 batch4 day18 noun
中身	450	中身[なかみ]	なかみ	noun	noun	contents; substance	भित्री सामान; सार	箱[はこ]を 開[あ]けたが、 中身[なかみ]は 空[から]だった。	I opened the box, but the contents were empty.	この 本[ほん]は 表紙[ひょうし]はいいが、 中身[なかみ]がない。	This book has a nice cover, but no substance.	見[み]た 目[め]より 中身[なかみ]が 大切[たいせつ]だ。	What is inside matters more than looks.	中身が空／中身がある・ない	Literal contents and substance/depth. 見た目 ↔ 中身 = looks vs substance.	N3 batch4 day18 noun
揃う	451	揃[そろ]う	そろう	verb	v5 intransitive	to be complete; to be all present; to match	पूरा हुनु; भेला हुनु	メンバーが 全員[ぜんいん] 揃[そろ]ったら、 始[はじ]めましょう。	Once all the members are here, let us begin.	この 店[みせ]には 必要[ひつよう]なものが 何[なん]でも 揃[そろ]っている。	This shop has everything you could need.	サイズが 揃[そろ]っていないので、 買[か]えない。	The sizes are not all available, so I cannot buy it.	Aが揃う	Pair: 揃う (vi) ↔ 揃える (vt). 全員揃う = everyone is present. Often kana 揃.	N3 batch4 day19 verb
揃える	452	揃[そろ]える	そろえる	verb	v1 transitive	to gather; to put in order; to make match	मिलाउनु; जुटाउनु	面接[めんせつ]に 必要[ひつよう]な 書類[しょるい]を 揃[そろ]えた。	I gathered the documents needed for the interview.	靴[くつ]をきちんと 揃[そろ]えて 脱[ぬ]ぐ。	I take off my shoes and line them up neatly.	みんなで 声[こえ]を 揃[そろ]えて 歌[うた]った。	We all sang in unison.	Aを揃える	書類を揃える = get one's documents together. Pair: 揃う (vi).	N3 batch4 day19 verb
