"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"袋","bag, sack","झोला","N3","タイ","ふくろ","袋[ふくろ] — bag — झोला<br>手袋[てぶくろ] — gloves — पन्जा<br>紙袋[かみぶくろ] — paper bag — कागजको झोला<br>レジ 袋[ぶくろ] — plastic shopping bag — प्लास्टिक झोला","レジ 袋[ぶくろ]は いりますか。","Do you need a bag?","झोला चाहिन्छ?","代 + 衣 (a substitute garment fashioned into a sack → bag)","貸 (か・す) = 代 + 貝 — same top, different bottom","Which kanji means 'bag'? 手＿","袋 / 代 / 貸","袋","袋 has 衣 (cloth) at the bottom. 貸 has 貝 (money) — to lend. Both sit under 代.","N3 kanji batch7 vocab_linked kanji_day51 noun confusable"
"髪","hair (on the head)","कपाल","N3","ハツ","かみ","髪[かみ] — hair — कपाल<br>髪[かみ]の 毛[け] — hair (strand) — कपालको रौँ<br>散髪[さんぱつ] — haircut — कपाल काट्नु<br>白髪[しらが] — grey hair — फुलेको कपाल","そろそろ 髪[かみ]を 切[き]りに 行[い]きたい。","I want to go get a haircut soon.","अब कपाल काट्न जान चाहन्छु।","髟 + 友 (long flowing hair on a friend's head)","毛[け] is body hair or a single strand; 髪[かみ] is head hair","","","","","N3 kanji batch7 vocab_linked kanji_day52 noun"
"首","neck; head; chief","घाँटी; प्रमुख","N3","シュ","くび","首[くび] — neck — घाँटी<br>首相[しゅしょう] — prime minister — प्रधानमन्त्री<br>首都[しゅと] — capital city — राजधानी<br>手首[てくび] — wrist — नाडी","日本[にほん]の 首都[しゅと]は 東京[とうきょう]です。","Japan's capital is Tokyo.","जापानको राजधानी टोकियो हो।","⺍ + 自 (hair atop a face → head and neck)","道 (みち) = 辶 + 首; 自 (じ) is the bottom","","","","","N3 kanji batch7 vocab_linked kanji_day52 noun"
"指","finger; point","औँला; देखाउनु","N3","シ","ゆび / さ・す","指[ゆび] — finger — औँला<br>指[さ]す — to point at — देखाउनु<br>指定[してい] — designation — तोक्नु<br>指示[しじ] — instruction, direction — निर्देशन<br>指輪[ゆびわ] — ring — औँठी","地図[ちず]を 指[さ]しながら 道[みち]を 説明[せつめい]した。","I explained the route while pointing at the map.","नक्सा देखाउँदै बाटो बुझाएँ।","扌 + 旨 (a hand pointing at something delicious)","持 (も・つ) = 扌 + 寺; 差[さ]す (insert) vs 指[さ]す (point)","","","","","N3 kanji batch7 vocab_linked kanji_day52 noun verb"
"腕","arm; skill","पाखुरा; सीप","N3","ワン","うで","腕[うで] — arm; skill — पाखुरा; सीप<br>腕時計[うでどけい] — wristwatch — हात घडी<br>腕前[うでまえ] — skill, ability — निपुणता<br>腕[うで]が いい — skilled — सिपालु","あの 店[みせ]の 料理人[りょうりにん]は 腕[うで]が いい。","The chef at that place is skilled.","त्यो पसलको भान्से सिपालु छ।","月 + 宛 (the curved body part bending flexibly → arm)","月 here is the flesh radical (as in 腹, 胸, 背)","","","","","N3 kanji batch7 vocab_linked kanji_day52 noun"
"胸","chest, breast; heart (feelings)","छाती","N3","キョウ","むね","胸[むね] — chest; heart (emotionally) — छाती<br>胸[むね]が 痛[いた]い — chest hurts; heartache — छाती दुख्नु<br>度胸[どきょう] — courage, nerve — साहस","階段[かいだん]を 上[のぼ]ったら 胸[むね]が 苦[くる]しくなった。","After climbing the stairs my chest felt tight.","भर्‍याङ चढेपछि छाती गाह्रो भयो।","月 + 匈 (the body part enclosing deep feelings inside → chest)","腕, 背, 腹 — the same 月 flesh radical","","","","","N3 kanji batch7 vocab_linked kanji_day52 noun"
"背","back; height; turn one's back on","पिठ्यूँ; उचाइ","N3","ハイ","せ / せい / そむ・く","背[せ] — back (of the body) — पिठ्यूँ<br>背[せ]が 高[たか]い — tall — अग्लो<br>背中[せなか] — back — ढाड<br>背景[はいけい] — background — पृष्ठभूमि","弟[おとうと]は 私[わたし]より 背[せ]が 高[たか]い。","My younger brother is taller than me.","भाइ मभन्दा अग्लो छ।","北 + 月 (two people turning back-to-back over a body part → back)","北 (きた) is the top; the 月 here is the flesh radical","","","","","N3 kanji batch7 vocab_linked kanji_day53 noun"
"骨","bone","हड्डी","N3","コツ","ほね","骨[ほね] — bone — हड्डी<br>骨折[こっせつ] — bone fracture — हड्डी भाँचिनु<br>骨[ほね]が 折[お]れる — to break a bone; to be tough work — गाह्रो हुनु<br>鉄骨[てっこつ] — steel frame — फलामे संरचना","スキーで 転[ころ]んで 腕[うで]を 骨折[こっせつ]した。","I fell while skiing and fractured my arm.","स्कीइङ गर्दा लडेर पाखुराको हड्डी भाँचियो।","冎 + 月 (a skeletal frame beneath the flesh → bone)","滑 (すべ・る) = 氵 + 骨","","","","","N3 kanji batch7 vocab_linked kanji_day53 noun"
"皮","skin; leather; peel","छाला; बोक्रा","N3","ヒ","かわ","皮[かわ] — skin, peel, hide — बोक्रा, छाला<br>皮膚[ひふ] — skin (medical) — छाला<br>毛皮[けがわ] — fur — प्वाँख/भुत्ला<br>皮[かわ]を むく — to peel — बोक्रा ताछ्नु","りんごの 皮[かわ]を むいてから 食[た]べる。","I peel the apple before eating it.","स्याउको बोक्रा ताछेर खान्छु।","厂 + 又 (a hand peeling back an animal hide → skin)","疲 (つか・れる) = 疒 + 皮; 波 (なみ) = 氵 + 皮; 彼 (かれ) = 彳 + 皮","","","","","N3 kanji batch7 vocab_linked kanji_day53 noun"
"血","blood","रगत","N3","ケツ","ち","血[ち] — blood — रगत<br>血液[けつえき] — blood (medical) — रगत<br>血液型[けつえきがた] — blood type — रक्त समूह<br>出血[しゅっけつ] — bleeding — रक्तस्राव","血液型[けつえきがた]は 何[なに]ですか。","What's your blood type?","तपाईंको रक्त समूह के हो?","丿 + 皿 (a drop of sacrificial liquid in a dish → blood)","皿 (さら, plate) is the bottom — 血 is 皿 with one stroke on top","Which kanji means 'blood'? ＿液型","血 / 皿 / 五","血","血 is 皿 with an extra stroke on top. 皿 alone = plate (お皿).","N3 kanji batch7 vocab_linked kanji_day53 noun confusable"
"筋","muscle; line; logic","मांसपेशी; तर्क","N3","キン","すじ","筋肉[きんにく] — muscle — मांसपेशी<br>筋[すじ] — line; plot; logic — रेखा; कथानक<br>筋[すじ]が 通[とお]る — to make sense — तर्कसंगत हुनु<br>腹筋[ふっきん] — abdominal muscles; sit-ups — पेटको मांसपेशी","運動[うんどう]の 後[あと]で 筋肉[きんにく]が 痛[いた]い。","My muscles hurt after exercising.","व्यायामपछि मांसपेशी दुख्छ।","竹 + 月 + 力 (bamboo-like fibrous flesh providing strength → muscle)","節 (せつ) and 等 (とう) also have 竹 on top","","","","","N3 kanji batch7 vocab_linked kanji_day53 noun"
"暖","warm (air, weather)","न्यानो (हावा)","N3","ダン","あたた・かい / あたた・まる","暖[あたた]かい — warm (weather, air) — न्यानो<br>暖房[だんぼう] — heating — हिटर<br>温暖[おんだん] — warm (climate) — न्यानो हावापानी<br>地球温暖化[ちきゅうおんだんか] — global warming — विश्व तापमान वृद्धि","今日[きょう]は 昨日[きのう]より 暖[あたた]かい。","Today is warmer than yesterday.","आज हिजोभन्दा न्यानो छ।","日 + 爰 (reaching hands out to the sun to feel warm air)","温[あたた]かい (warm liquid/food) vs 暖[あたた]かい (warm air/weather); 援 (えん) = 扌 + 爰","Which あたたかい is for weather? 今日は＿かい","暖 / 温 / 熱","暖","暖かい has 日 (sun) — warm air or weather. 温かい has 氵 (water) — warm food, drink, or a warm person. 熱い = hot.","N3 kanji batch7 vocab_linked kanji_day54 adj confusable"
"温","warm (liquid); temperature","न्यानो (तरल); तापक्रम","N3","オン","あたた・かい / あたた・める","温[あたた]かい — warm (food, drink, person) — न्यानो<br>温[あたた]める — to warm up (food) — तताउनु<br>気温[きおん] — air temperature — तापक्रम<br>体温[たいおん] — body temperature — शरीरको तापक्रम<br>温泉[おんせん] — hot spring — तातोपानी कुण्ड","スープを 電子[でんし] レンジで 温[あたた]めた。","I warmed the soup in the microwave.","सुप माइक्रोवेभमा तताएँ।","氵 + 日 + 皿 (water warmed by the sun in a dish → warm liquid)","暖 (weather) is the pair to keep straight; 湿 (しめ・る) also has 氵 + 日","","","","","N3 kanji batch7 vocab_linked kanji_day54 adj verb"
"涼","cool, refreshing","चिसो, सिरसिरे","N3","リョウ","すず・しい","涼[すず]しい — cool, refreshing — सिरसिरे चिसो<br>涼[すず]む — to cool off — चिसो लिनु<br>納涼[のうりょう] — enjoying the cool of evening — साँझको चिसो","夕方[ゆうがた]に なって 少[すこ]し 涼[すず]しくなった。","It got a little cooler in the evening.","साँझ परेपछि अलि चिसो भयो।","氵 + 京 (water splashing in the capital to bring cool relief)","京 (きょう) is the right half; 冷[つめ]たい is cold to the touch, 涼[すず]しい is pleasantly cool air","","","","","N3 kanji batch7 vocab_linked kanji_day54 adj"
"湿","damp, humid","ओसिलो","N3","シツ","しめ・る","湿気[しっけ] — humidity, moisture — ओसिलोपन<br>湿[しめ]る — to get damp — ओसिनु<br>湿度[しつど] — humidity level — आर्द्रता<br>多湿[たしつ] — high humidity — बढी आर्द्रता","日本[にほん]の 夏[なつ]は 湿気[しっけ]が 多[おお]くて つらい。","Japanese summers are humid and hard to bear.","जापानको गर्मी ओसिलो भएर गाह्रो हुन्छ।","氵 + 日 + 业 (water trapped under the sun on the ground → damp)","温 (おん) also has 氵 + 日 on the left","","","","","N3 kanji batch7 vocab_linked kanji_day54 noun verb"
"乾","dry","सुक्खा","N3","カン","かわ・く / かわ・かす","乾[かわ]く — to dry, become dry — सुक्नु<br>乾[かわ]かす — to dry something — सुकाउनु<br>乾燥[かんそう] — dryness — सुक्खापन<br>乾杯[かんぱい] — cheers, toast — चियर्स","洗濯物[せんたくもの]が まだ 乾[かわ]いていない。","The laundry hasn't dried yet.","धोएको कपडा अझै सुकेको छैन।","𠦝 + 乙 (the morning sun rising to evaporate moisture → dry)","乾[かわ]く (to become dry) vs 渇[かわ]く (to be thirsty, 喉が渇く) — same reading","Which かわく is for laundry drying? 洗濯物が＿く","渇 / 感 / 乾","乾","乾く = something becoming dry (洗濯物, 空気). 渇く = being thirsty (喉が渇く), with 氵 for the body's water.","N3 kanji batch7 vocab_linked kanji_day54 verb confusable"
"雲","cloud","बादल","N3","ウン","くも","雲[くも] — cloud — बादल<br>雨雲[あまぐも] — rain cloud — पानी पर्ने बादल<br>入道雲[にゅうどうぐも] — thundercloud — गर्जने बादल","空[そら]に 白[しろ]い 雲[くも]が 浮[う]かんでいる。","White clouds are floating in the sky.","आकाशमा सेता बादल तैरिरहेका छन्।","雨 + 云 (rain vapor gathering into a cloud)","曇 (くも・る) = 日 + 雲; 電 (でん) and 雪 (ゆき) share the 雨 top","","","","","N3 kanji batch7 vocab_linked kanji_day55 noun"
"曇","cloudy","बादल लाग्नु","N3","ドン","くも・る","曇[くも]る — to become cloudy — बादल लाग्नु<br>曇[くも]り — cloudy weather — बादल लागेको<br>曇天[どんてん] — overcast sky — बादलमय आकाश","明日[あした]は 曇[くも]りのち 雨[あめ]でしょう。","Tomorrow will be cloudy, then rainy.","भोलि बादल लागेर पछि पानी पर्ला।","日 + 雲 (the sun blocked behind a thick cloud)","雲 (くも, the cloud itself) vs 曇り (the cloudy state)","Which kanji is the weather 'cloudy'? 明日は＿り","雪 / 曇 / 雲","曇","曇 has 日 on top of 雲 — the sun hidden, i.e. the weather. 雲 alone is the cloud object.","N3 kanji batch7 vocab_linked kanji_day55 verb confusable"
"降","fall (rain/snow); get off","पर्नु; ओर्लनु","N3","コウ","ふ・る / お・りる","降[ふ]る — to fall (rain, snow) — पर्नु<br>降[お]りる — to get off (a vehicle) — ओर्लनु<br>以降[いこう] — from ... onward — देखि उता<br>乗[の]り 降[お]り — getting on and off — चढ्ने-ओर्लने","次[つぎ]の 駅[えき]で 降[お]りてください。","Please get off at the next station.","अर्को स्टेसनमा ओर्लनुहोस्।","阝 + 夅 (feet walking down from a steep hill)","降[お]りる (get off a vehicle) vs 下[お]りる (go down); 隆 (りゅう) is similar","","","","","N3 kanji batch7 vocab_linked kanji_day55 verb"
"昇","rise, ascend","उदाउनु","N3","ショウ","のぼ・る","昇[のぼ]る — to rise (the sun) — उदाउनु<br>昇進[しょうしん] — promotion (at work) — बढुवा<br>上昇[じょうしょう] — rise, increase — वृद्धि","東[ひがし]の 空[そら]から 日[ひ]が 昇[のぼ]ってきた。","The sun rose from the eastern sky.","पूर्वी आकाशबाट सूर्य उदायो।","日 + 升 (the sun rising like a scoop lifting upward)","登[のぼ]る (climb) / 上[のぼ]る (go up) / 昇[のぼ]る (the sun rises)","","","","","N3 kanji batch7 vocab_linked kanji_day55 verb"
"陸","land","भूमि","N3","リク","—","陸[りく] — land — भूमि<br>大陸[たいりく] — continent — महादेश<br>着陸[ちゃくりく] — landing (aircraft) — अवतरण<br>陸上[りくじょう] — track and field; on land — एथ्लेटिक्स","飛行機[ひこうき]が 無事[ぶじ]に 着陸[ちゃくりく]した。","The plane landed safely.","विमान सकुशल अवतरण गर्‍यो।","阝 + 坴 (hills and piled earth forming dry land)","降 (ふ・る), 際 (さい), 限 (かぎ・る) — the 阝 family","","","","","N3 kanji batch7 vocab_linked kanji_day55 noun"
"健","healthy, strong","स्वस्थ","N3","ケン","すこ・やか","健康[けんこう] — health — स्वास्थ्य<br>健康的[けんこうてき] — healthy (lifestyle) — स्वस्थकर<br>保健[ほけん] — health preservation, hygiene — स्वास्थ्य रक्षा","毎朝[まいあさ] 歩[ある]くのは 健康[けんこう]に いい。","Walking every morning is good for your health.","हरेक बिहान हिँड्नु स्वास्थ्यका लागि राम्रो हो।","亻 + 建 (a person building up their health and vitality)","建 (た・てる) is the right half","","","","","N3 kanji batch7 vocab_linked kanji_day56 adj"
"康","peaceful, healthy","स्वस्थ, शान्त","N3","コウ","—","健康[けんこう] — health — स्वास्थ्य<br>健康診断[けんこうしんだん] — health checkup — स्वास्थ्य परीक्षण<br>小康[しょうこう] — lull, temporary calm — अस्थायी सुधार","会社[かいしゃ]で 毎年[まいとし] 健康診断[けんこうしんだん]が ある。","There's a health checkup at the company every year.","कम्पनीमा हरेक वर्ष स्वास्थ्य परीक्षण हुन्छ।","广 + 隶 (wholesome grain processed under a roof brings peace and health)","唐 (とう) has a similar frame under 广","","","","","N3 kanji batch7 vocab_linked kanji_day56 noun"
"危","danger","खतरा","N3","キ","あぶ・ない / あや・うい","危[あぶ]ない — dangerous — खतरनाक<br>危険[きけん] — danger, hazard — खतरा<br>危機[きき] — crisis — संकट","そこは 危[あぶ]ないから 近[ちか]づかないで。","That place is dangerous, so don't go near it.","त्यो ठाउँ खतरनाक छ, नजिक नजानुहोस्।","⺈ + 厂 + 卩 (a person kneeling precariously at the edge of a cliff)","険 (けん) is the partner kanji in 危険","","","","","N3 kanji batch7 vocab_linked kanji_day56 adj"
"険","steep; dangerous","जोखिम","N3","ケン","けわ・しい","危険[きけん] — danger — खतरा<br>保険[ほけん] — insurance — बिमा<br>冒険[ぼうけん] — adventure — साहसिक यात्रा<br>険[けわ]しい — steep; harsh (expression) — भिरालो; कठोर","会社[かいしゃ]の 健康[けんこう] 保険[ほけん]に 入[はい]っている。","I'm enrolled in the company health insurance.","कम्पनीको स्वास्थ्य बिमामा छु।","阝 + 㑒 (a rugged mountain pass full of steep danger)","験 (けん) = 馬 + 㑒; 検 (けん) = 木 + 㑒 — all three read けん","Which kanji is in 保険 (insurance)? 保＿","検 / 験 / 険","険","険 has 阝 on the left — danger, risk (危険, 保険). 検 has 木 — inspection (検査). 験 has 馬 — 試験.","N3 kanji batch7 vocab_linked kanji_day56 noun confusable"
"保","preserve, keep, maintain","सुरक्षित राख्नु","N3","ホ","たも・つ","保険[ほけん] — insurance — बिमा<br>保存[ほぞん] — preservation, saving — सुरक्षित राख्नु<br>保証[ほしょう] — guarantee, warranty — ग्यारेन्टी<br>保[たも]つ — to maintain, keep — कायम राख्नु","この 商品[しょうひん]には 一年[いちねん]の 保証[ほしょう]が ついている。","This product comes with a one-year warranty.","यो सामानमा एक वर्षको ग्यारेन्टी छ।","亻 + 呆 (a person carrying a child to protect and preserve them)","係 (かかり) and 健 (けん) also start with 亻","","","","","N3 kanji batch7 vocab_linked kanji_day56 verb"
