"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜にわたって","N (span or scope) + にわたって; にわたる + N","over ~; across the whole of ~ (extent of time, space, or scope)","… भरि / … भरमा (पूरै अवधि/क्षेत्र)","工事は三年にわたって行われた。","こうじは さんねんに わたって おこなわれた。","The construction was carried out over three years.","निर्माण तीन वर्षभरि चल्यो।","台風は日本全国にわたって被害を出した。","たいふうは にほん ぜんこくに わたって ひがいを だした。","The typhoon caused damage across the whole of Japan.","आँधीले जापानभरि क्षति पुर्‍यायो।","十回にわたる話し合いの末、合意に達した。","じゅっかいに わたる はなしあいの すえ、ごういに たっした。","After ten rounds of talks, they reached agreement.","दश पटकको वार्तापछि सहमति भयो।","[span N]にわたって、[activity]","Stresses that the whole span was covered; N is a quantity or scope (三年, 全国, 十回, 広い範囲). Formal.","speech uses 〜の間ずっと","にわたって ↔ から〜にかけて","にわたって needs a span/scope noun, not a start-and-end pair; it stresses totality, not vagueness","工事は三年＿＿＿＿行われた。","にわたって","台風は日本全国＿＿＿＿被害を出した。","A にわたって / B にかけて / C にしたがって / D にしては","A にわたって","The whole scope (全国) was covered.","B にかけて requires a から-endpoint pair and a vague range; 全国 is a single scope noun.","","","","N3 grammar range"
"〜かける","V-stem + かける; V-stem + かけの + N; V-stem + かけだ","start to ~ and leave unfinished; be about to ~","… गर्न लागेको / आधा … गरेको","読みかけの本が机の上にある。","よみかけの ほんが つくえの うえに ある。","There's a half-read book on the desk.","आधा पढेको किताब टेबलमाथि छ।","彼は何か言いかけて、黙ってしまった。","かれは なにか いいかけて、だまって しまった。","He started to say something, then went quiet.","उसले केही भन्न लाग्यो, अनि चुप लाग्यो।","電話をかけかけて、やめた。","でんわを かけかけて、やめた。","I started to make a call, then stopped.","फोन गर्न लागेर रोकें।","[V-stem]かけの[N] ・ [V-stem]かけて、[stopped]","The action began but is incomplete, or was on the verge of starting. With 死ぬ, 倒れる it means 'about to'. Not the same as 始める.","same","かける ↔ 始める","始める = began and continued; かける = began and stopped, or about to begin","読み＿＿＿本が机の上にある。","かけの","彼は何か言い＿＿＿、黙ってしまった。","A かけて / B 始めて / C 終わって / D 続けて","A かけて","Began and broke off.","B 始めて would mean he began speaking and went on, but 黙ってしまった says he broke off.","","","","N3 grammar aspect"
"〜っぱなし","V-stem + っぱなし (+ だ / で / の N)","leave ~ as is (neglect); keep ~ing without a break","… गरेको गर्‍यै छोड्नु (बेवास्ता); लगातार …","電気をつけっぱなしで寝てしまった。","でんきを つけっぱなしで ねて しまった。","I fell asleep with the lights left on.","बत्ती बालेको बाल्यै सुतिहालें।","今日は一日中立ちっぱなしで、足が痛い。","きょうは いちにちじゅう たちっぱなしで、あしが いたい。","I was on my feet all day and my legs hurt.","आज दिनभर उभिएको उभियै, खुट्टा दुख्यो।","窓を開けっぱなしにしないでください。","まどを あけっぱなしに しないで ください。","Please don't leave the window open.","झ्याल खुला छोडेर नराख्नुहोस्।","[V-stem]っぱなしで／にする","Something was done and then left without the expected follow-up (closing, turning off), with disapproval; or an action continued without a pause. Negative tone.","this is the colloquial form; written 〜たまま","っぱなし ↔ まま","っぱなし = negligence or no break, disapproving; まま = a neutral unchanged state","電気をつけ＿＿＿＿で寝てしまった。","っぱなし","今日は一日中立ち＿＿＿＿で、足が痛い。","A っぱなし / B ながら / C かけ / D きり","A っぱなし","An action continued all day without a break.","C かけ would mean I started to stand and stopped, but 一日中 says it continued.","A neutral, chosen state with no negligence. 靴を履いた＿＿部屋に入らないでください。","まま","まま fits because it simply describes an unchanged state (shoes on) without any judgement of neglect, and it takes a た-form; っぱなし would imply someone carelessly left shoes on, and it attaches to a verb stem, not a た-form. 履いたまま / 履きっぱなし.","N3 grammar state confusable"
"〜たきり","V-た + きり(で) + negative or continuing state","(has been) ~ ever since, and nothing more","… गरेदेखि (त्यसपछि केही छैन)","彼は朝出かけたきり、まだ帰ってこない。","かれは あさ でかけた きり、まだ かえって こない。","He went out this morning and hasn't come back since.","ऊ बिहान निस्केदेखि अझै फर्केको छैन।","去年会ったきり、一度も連絡していない。","きょねん あった きり、いちども れんらくしていない。","I haven't been in touch once since we met last year.","गत साल भेटेदेखि एक पटक पनि सम्पर्क गरेको छैन।","祖父は倒れたきり、寝たきりになってしまった。","そふは たおれた きり、ねたきりに なって しまった。","My grandfather collapsed and has been bedridden ever since.","हजुरबुबा ढलेदेखि ओछ्यानमै हुनुहुन्छ।","[V-た]きり、[negative / unchanged state]","After the action, the expected next thing never happened; the main clause is negative or a continuing state. N + きり (二人きり = only) is a separate use.","たっきり (colloquial)","たきり ↔ たまま","たきり needs a main clause that stresses 'nothing since'; たまま describes an unchanged state during an action, with no 'nothing since' meaning","彼は朝出かけた＿＿、まだ帰ってこない。","きり","去年会った＿＿、一度も連絡していない。","A きり / B まま / C とたん / D ばかり","A きり","Nothing has happened since the meeting.","B まま would describe an unchanged state during the meeting ('as we met'), but the sentence is about the absence of contact since it.","","","","N3 grammar time"
"〜まま","V-た / V-ない + まま; い-adj + まま; な-adj + な + まま; N + の + まま; この／その／あの + まま","as is; while still ~ (an unchanged state)","… गरेकै अवस्थामा / जस्ताको तस्तै","靴を履いたまま部屋に入らないでください。","くつを はいた まま へやに はいらないで ください。","Please don't enter the room with your shoes on.","जुत्ता लगाएकै कोठामा नछिर्नुहोस्।","昔のままの町並みが残っている。","むかしの ままの まちなみが のこっている。","The old streetscape remains as it was.","पुरानो जस्ताको तस्तै सहरी दृश्य बाँकी छ।","電気をつけたまま出かけてしまった。","でんきを つけた まま でかけて しまった。","I went out with the lights left on.","बत्ती बालेकै निस्किहालें।","[state]まま、[action in that state]","The state set up in the first part continues unchanged while the second action happens. Neutral in itself; any disapproval comes from context.","same","まま ↔ っぱなし; まま ↔ ながら","まま = a state persists; ながら = two actions at once (×歩いたまま話す, ○歩きながら話す)","靴を履いた＿＿部屋に入らないでください。","まま","昔＿＿＿の町並みが残っている。","A のまま / B のきり / C っぱなし / D ながら","A のまま","An unchanged state modifying a noun.","B のきり as 'only' would give 'streets of only the past', which is not a meaning; きり as 'since' needs a た-form.","","","","N3 grammar state"
"〜ずに","V-ない stem + ずに (する → せずに)","without ~ing","… नगरी","朝ご飯を食べずに学校へ行った。","あさごはんを たべずに がっこうへ いった。","I went to school without eating breakfast.","बिहानको खाना नखाई स्कुल गएँ।","何も言わずに、彼は部屋を出て行った。","なにも いわずに、かれは へやを でて いった。","He left the room without saying a word.","केही नभनी ऊ कोठाबाट निस्कियो।","辞書を使わずに、この文章を読んでみよう。","じしょを つかわずに、このぶんしょうを よんで みよう。","Let's try reading this passage without using a dictionary.","शब्दकोश प्रयोग नगरी यो पाठ पढ्ने कोसिस गरौं।","[V-ず]に、[action]","Written/formal equivalent of ないで for 'without doing'. Cannot form a request (×ずにください) — use ないでください.","ないで","ずに ↔ ないで","する → せずに (not しずに); ずに cannot take ください","朝ご飯を食べ＿＿学校へ行った。","ずに","何も言わ＿＿、彼は部屋を出て行った。","A ずに / B ながら / C まま / D きり","A ずに","An action done without a second action.","B ながら would need a positive stem (言いながら) and means 'while saying', the opposite of leaving in silence.","","","","N3 grammar manner"
"〜ついでに","V-dict / V-た + ついでに; N + の + ついでに","while ~ (taking the opportunity); on the way","… गर्दा त्यही मौकामा / … को सिलसिलामा","買い物のついでに、郵便局に寄った。","かいものの ついでに、ゆうびんきょくに よった。","While out shopping, I stopped by the post office.","किनमेल गर्न जाँदा त्यही मौकामा हुलाक पनि गएँ।","出かけるついでに、ごみを出しておいて。","でかける ついでに、ごみを だして おいて。","While you're going out, put the rubbish out too.","बाहिर निस्कँदा त्यही मौकामा फोहोर पनि फाल्दिनू।","東京へ行くついでに、友達に会ってきた。","とうきょうへ いく ついでに、ともだちに あって きた。","Since I was going to Tokyo anyway, I met a friend.","टोकियो जाँदा त्यही मौकामा साथी भेटेर आएँ।","[main errand]ついでに、[secondary errand]","The first action is the main purpose; the second is an extra done conveniently on the same occasion.","same","ついでに ↔ 上に","the second action must be a minor add-on to the first; not for two equally important actions","買い物＿＿＿＿、郵便局に寄った。","のついでに","出かける＿＿＿＿、ごみを出しておいて。","A ついでに / B 上に / C とともに / D 最中に","A ついでに","A small errand added to the main act of going out.","B 上に adds a second fact of the same kind, but ごみを出す is a minor errand done on the occasion of going out, not an added attribute.","","","","N3 grammar occasion"
"〜ほど〜ない","A は B + ほど + negative","A is not as ~ as B","A, B जति … छैन","今年の冬は去年ほど寒くない。","ことしの ふゆは きょねん ほど さむくない。","This winter isn't as cold as last year's.","यो जाडो गत साल जति चिसो छैन।","私は兄ほど背が高くない。","わたしは あに ほど せが たかくない。","I'm not as tall as my brother.","म दाइ जति अग्लो छैन।","思ったほど難しくなかった。","おもった ほど むずかしく なかった。","It wasn't as hard as I thought.","सोचे जति गाह्रो थिएन।","[A]は[B]ほど[negative]","B is the higher standard and A falls short of it. V-た + ほど (思ったほど) = 'not as much as expected'.","same","ほど〜ない ↔ より","with ほど, the item after ほど has MORE; with より, the item after より has LESS (兄ほど高くない = 兄より低い)","今年の冬は去年＿＿寒くない。","ほど","私は兄＿＿背が高くない。","A ほど / B くらい / C まで / D だけ","A ほど","A falls short of the standard B, with a negative predicate.","B くらい ('about as tall as') cannot combine with the negative to mean 'not as tall as'.","Stating that B is the greater one, with a positive predicate. 兄は私＿＿背が高い。","より","より fits because the item before より (兄) is the taller one and the predicate is positive; ほど requires a negative predicate and puts the taller one after ほど. 兄は私より高い / 私は兄ほど高くない.","N3 grammar comparison confusable"
"なかなか〜ない","なかなか + V-ない / V-potential + ない","not easily ~; just won't ~ (despite expectation or effort)","सजिलै … हुँदैन / जति गरे पनि … हुँदैन","何度電話しても、なかなかつながらない。","なんど でんわしても、なかなか つながらない。","No matter how many times I call, it just won't connect.","जति पटक फोन गरे पनि सजिलै लाग्दैन।","バスがなかなか来ない。","バスが なかなか こない。","The bus just isn't coming.","बस आउनै आउँदैन।","この漢字はなかなか覚えられない。","このかんじは なかなか おぼえられない。","I just can't seem to remember this kanji.","यो कान्जी सजिलै सम्झिन सक्दिनँ।","なかなか[V-ない]","Something expected doesn't happen easily or soon; implies impatience or effort. With a positive predicate なかなか means 'quite' — a separate use.","same","なかなか〜ない ↔ 全然〜ない","なかなか〜ない = not readily, still expected eventually; 全然〜ない = not at all","何度電話しても、＿＿＿＿つながらない。","なかなか","バスが＿＿＿＿来ない。","A なかなか / B ずいぶん / C きっと / D ぜひ","A なかなか","Waiting for something that won't come readily.","C きっと ('surely') with 来ない would mean 'surely won't come', a prediction, and loses the impatient-waiting meaning.","","","","N3 grammar degree"
"〜か〜ないかのうちに","V-dict / V-た + か + V-ない + かのうちに","no sooner ~ than ~; almost at the same moment","… गर्नेबित्तिकै (लगभग एकै समयमा)","ベルが鳴るか鳴らないかのうちに、生徒たちは教室を出た。","ベルが なるか ならないかの うちに、せいとたちは きょうしつを でた。","Almost before the bell rang, the students left the classroom.","घण्टी बज्न नपाउँदै विद्यार्थीहरू कक्षाबाट निस्के।","布団に入るか入らないかのうちに、眠ってしまった。","ふとんに はいるか はいらないかの うちに、ねむって しまった。","I fell asleep almost before I got into bed.","ओछ्यानमा पस्न नपाउँदै निदाइहालें।","食べ終わるか終わらないかのうちに、彼は席を立った。","たべおわるか おわらないかの うちに、かれは せきを たった。","He left his seat almost before finishing eating.","खाना सकिन नपाउँदै ऊ उठेर गयो।","[V]か[V-ない]かのうちに、[next action]","The second action comes so fast it overlaps the end of the first; the second action can be deliberate. Narrating past events.","written/narrative","か〜ないかのうちに ↔ たとたん","たとたん = an unexpected reaction after completion; か〜ないかのうちに = near-simultaneous, second action often intentional","ベルが鳴るか鳴らない＿＿＿＿、生徒たちは教室を出た。","かのうちに","布団に入るか入らない＿＿＿＿、眠ってしまった。","A かのうちに / B かの最中に / C かのままに / D かの次第に","A かのうちに","The か〜ないか pattern completes with うちに.","B 最中に would mean 'in the middle of getting in', but か〜ないか requires うちに and expresses overlap with the boundary of the first action.","","","","N3 grammar time"
