"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"葉","leaf","पात","N3","ヨウ","は","葉[は] — leaf — पात<br>言葉[ことば] — word, language — शब्द, भाषा<br>紅葉[こうよう] — autumn leaves — शरदका पात<br>落[お]ち 葉[ば] — fallen leaves — झरेका पात","秋[あき]に なると 葉[は]の 色[いろ]が 変[か]わる。","When autumn comes the leaves change color.","शरद आएपछि पातको रङ बदलिन्छ।","艹 + 世 + 木 (green leaves growing for generations upon a tree)","薬 (くすり) and 若 (わか・い) also have 艹 on top","","","","","N3 kanji batch8 vocab_linked kanji_day61 noun"
"根","root; basis","जरा; आधार","N3","コン","ね","根[ね] — root — जरा<br>根本[こんぽん] — root, fundamental — मूल<br>屋根[やね] — roof — छाना<br>大根[だいこん] — daikon radish — मुला<br>根気[こんき] — perseverance — धैर्य","問題[もんだい]の 根本[こんぽん]から 考[かんが]え 直[なお]そう。","Let's rethink the problem from its root.","समस्यालाई मूलबाटै फेरि सोचौँ।","木 + 艮 (a tree firmly rooted and standing its ground)","限 (かぎ・る) = 阝 + 艮; 眼 (め) = 目 + 艮; 銀 (ぎん) = 金 + 艮","","","","","N3 kanji batch8 vocab_linked kanji_day61 noun"
"農","agriculture","कृषि","N3","ノウ","—","農業[のうぎょう] — agriculture — कृषि<br>農家[のうか] — farmer, farmhouse — किसान<br>農産物[のうさんぶつ] — agricultural produce — कृषि उपज<br>農民[のうみん] — farmers, peasantry — किसान","祖父[そふ]は ずっと 農業[のうぎょう]を していた。","My grandfather farmed all his life.","हजुरबुबाले जीवनभर खेती गर्नुभयो।","曲 + 辰 (cultivating bent rows of crops in early farming seasons)","豊 (ゆた・か) also has 曲 on top","","","","","N3 kanji batch8 vocab_linked kanji_day61 noun"
"資","resources, capital","स्रोत, पुँजी","N3","シ","—","資料[しりょう] — materials, data — कागजात, सामग्री<br>資源[しげん] — resources — स्रोत<br>投資[とうし] — investment — लगानी<br>資格[しかく] — qualification — योग्यता","会議[かいぎ]の 資料[しりょう]を 印刷[いんさつ]しておいた。","I printed the materials for the meeting.","बैठकको कागजात प्रिन्ट गरिराखेँ।","次 + 貝 (the next batch of money used as capital resources)","盗 (ぬす・む) = 次 + 皿 — same top, different bottom","Which kanji is in 資料 (materials)? ＿料","資 / 姿 / 盗","資","資 has 貝 (money/value) at the bottom. 盗 has 皿 — to steal. 姿 has 女 — figure, appearance (姿勢).","N3 kanji batch8 vocab_linked kanji_day62 noun confusable"
"源","source, origin","स्रोत","N3","ゲン","みなもと","資源[しげん] — resources — स्रोत<br>電源[でんげん] — power source, power switch — पावर स्रोत<br>源[みなもと] — source, origin — मूल स्रोत<br>水源[すいげん] — water source — पानीको स्रोत","パソコンの 電源[でんげん]を 切[き]るのを 忘[わす]れた。","I forgot to turn off the computer's power.","कम्प्युटरको पावर बन्द गर्न बिर्सेँ।","氵 + 原 (water springing from its original meadow source)","原 (げん, 原因) is the right half — 源 adds 氵","","","","","N3 kanji batch8 vocab_linked kanji_day62 noun"
"素","element; plain, unadorned","तत्त्व; सादा","N3","ソ / ス","—","素材[そざい] — material — सामग्री<br>要素[ようそ] — element, factor — तत्त्व<br>素直[すなお] — obedient, frank — सोझो<br>素晴[すば]らしい — wonderful — अद्भुत","この 料理[りょうり]は 素材[そざい]の 味[あじ]が よく 分[わ]かる。","In this dish you can really taste the ingredients themselves.","यो परिकारमा सामग्रीकै स्वाद राम्ररी थाहा हुन्छ।","龶 + 糸 (raw silk thread kept plain and unadorned)","系 (けい) and 紀 (き) also involve 糸","","","","","N3 kanji batch8 vocab_linked kanji_day62 noun"
"質","quality; nature; pawn","गुणस्तर","N3","シツ / シチ","—","質問[しつもん] — question — प्रश्न<br>品質[ひんしつ] — quality — गुणस्तर<br>性質[せいしつ] — nature, disposition — स्वभाव<br>質[しつ]が いい — good quality — राम्रो गुणस्तर","何[なに]か 質問[しつもん]が ありますか。","Do you have any questions?","कुनै प्रश्न छ?","斦 + 貝 (weighing two axes against money to judge their quality)","資 (し), 貧 (ひん), 費 (ひ) — the 貝 family","","","","","N3 kanji batch8 vocab_linked kanji_day62 noun"
"例","example; custom","उदाहरण","N3","レイ","たと・える","例[れい] — example — उदाहरण<br>例[たと]えば — for example — उदाहरणका लागि<br>例外[れいがい] — exception — अपवाद<br>実例[じつれい] — concrete example — वास्तविक उदाहरण","例[たと]えば、 この 表現[ひょうげん]は 手紙[てがみ]では 使[つか]いません。","For example, this expression isn't used in letters.","उदाहरणका लागि, यो अभिव्यक्ति चिठीमा प्रयोग हुँदैन।","亻 + 列 (a person standing in line as a clear example)","列 (れつ, row) is the right half; 烈 (れつ) = 列 + 灬","","","","","N3 kanji batch8 vocab_linked kanji_day62 noun"
"案","plan, proposal; worry","योजना, प्रस्ताव","N3","アン","—","案内[あんない] — guidance, showing around — मार्गदर्शन<br>提案[ていあん] — proposal — प्रस्ताव<br>案[あん] — plan, idea — योजना<br>心配[しんぱい]する — see also 案[あん]じる (to worry) — चिन्ता गर्नु","駅[えき]で 道[みち]を 案内[あんない]してもらった。","Someone showed me the way at the station.","स्टेसनमा कसैले बाटो देखाइदियो।","宀 + 女 + 木 (a relaxed woman sitting at a wooden desk working on a plan)","安 (やす・い) = 宀 + 女 — 案 is 安 with 木 underneath","Which kanji is in 案内 (guidance)? ＿内","案 / 安 / 宮","案","案 has 木 under 安. 安 alone = cheap, safe (安い). 宮 = palace (宮殿).","N3 kanji batch8 vocab_linked kanji_day63 noun confusable"
"件","matter, case, item","विषय, मामिला","N3","ケン","—","件[けん] — matter, case — विषय<br>事件[じけん] — incident, case — घटना<br>条件[じょうけん] — condition, terms — सर्त<br>用件[ようけん] — business, matter to discuss — काम","先日[せんじつ]の 件[けん]について お 話[はな]ししたいのですが。","I'd like to talk about the matter from the other day.","अघिल्लो दिनको विषयबारे कुरा गर्न चाहन्छु।","亻 + 牛 (a person dealing with a single cow as a business matter)","牛 (うし) is the right half; 特 (とく) = 牛 + 寺","","","","","N3 kanji batch8 vocab_linked kanji_day63 noun"
"個","individual; counter for objects","व्यक्तिगत; गन्ती शब्द","N3","コ","—","個[こ] — counter for small objects — वस्तु गन्ने शब्द<br>個人[こじん] — individual — व्यक्ति<br>個性[こせい] — individuality — व्यक्तित्व<br>個別[こべつ] — individual, case-by-case — छुट्टाछुट्टै","りんごを 三個[さんこ] ください。","Three apples, please.","तीनवटा स्याउ दिनुहोस्।","亻 + 固 (an individual person standing solid and independent)","固 (かた・い) is the right half — 個 adds 亻","","","","","N3 kanji batch8 vocab_linked kanji_day63 noun"
"号","number, issue; name","नम्बर; अंक","N3","ゴウ","—","番号[ばんごう] — number — नम्बर<br>信号[しんごう] — traffic light, signal — ट्राफिक बत्ती<br>〜 号[ごう] — issue number — अंक<br>記号[きごう] — symbol, sign — चिह्न","次[つぎ]の 信号[しんごう]を 右[みぎ]に 曲[ま]がってください。","Please turn right at the next traffic light.","अर्को ट्राफिक बत्तीमा दायाँ मोड्नुहोस्।","口 + 丂 (calling out with a mouth to announce a number or title)","与 (あた・える) is similar without the 口 on top","","","","","N3 kanji batch8 vocab_linked kanji_day63 noun"
"録","record","अभिलेख","N3","ロク","—","記録[きろく] — record — अभिलेख<br>録音[ろくおん] — audio recording — अडियो रेकर्डिङ<br>録画[ろくが] — video recording — भिडियो रेकर्डिङ<br>登録[とうろく] — registration — दर्ता","会議[かいぎ]の 内容[ないよう]を 録音[ろくおん]しても いいですか。","May I record the content of the meeting?","बैठकको सामग्री रेकर्ड गर्न मिल्छ?","金 + 录 (carving and engraving a permanent record into metal)","緑 (みどり) = 糸 + 录 — same right side, different radical","Which kanji is in 記録 (record)? 記＿","録 / 緑 / 縁","録","録 has 金 (metal) on the left. 緑 has 糸 — the color green (緑色). Both share 录.","N3 kanji batch8 vocab_linked kanji_day63 noun confusable"
"略","abbreviate; omit; strategy","संक्षेप; रणनीति","N3","リャク","—","省略[しょうりゃく] — omission, abbreviation — संक्षेपण<br>略[りゃく] — abbreviation — छोटो रूप<br>戦略[せんりゃく] — strategy — रणनीति<br>略[りゃく]す — to abbreviate — छोट्याउनु","詳[くわ]しい 説明[せつめい]は 省略[しょうりゃく]します。","I'll omit the detailed explanation.","विस्तृत व्याख्या छोड्छु।","田 + 各 (capturing each field requires a careful strategy)","各 (かく) is the right half; 路 (ろ) = 足 + 各; 客 (きゃく) = 宀 + 各","","","","","N3 kanji batch8 vocab_linked kanji_day64 noun verb"
"省","omit; ministry; reflect","छोड्नु; मन्त्रालय","N3","ショウ / セイ","はぶ・く / かえり・みる","省略[しょうりゃく] — omission — संक्षेपण<br>省[はぶ]く — to omit, cut out — छोड्नु<br>反省[はんせい] — reflection, self-examination — आत्मसमीक्षा<br>文部科学省[もんぶかがくしょう] — Ministry of Education — शिक्षा मन्त्रालय","時間[じかん]が ないので この 部分[ぶぶん]は 省[はぶ]きます。","There's no time, so I'll skip this part.","समय नभएकाले यो भाग छोड्छु।","少 + 目 (narrowing one's eyes slightly to reflect and omit the unnecessary)","少 (すく・ない) is the top over 目 (eye)","","","","","N3 kanji batch8 vocab_linked kanji_day64 verb noun"
"億","hundred million","करोड (१० करोड)","N3","オク","—","億[おく] — hundred million — दस करोड<br>一億[いちおく] — one hundred million — दस करोड<br>億万長者[おくまんちょうじゃ] — billionaire — अर्बपति","日本[にほん]の 人口[じんこう]は 約[やく] 一億[いちおく] 二千万人[にせんまんにん]だ。","Japan's population is about 120 million.","जापानको जनसंख्या लगभग १२ करोड हो।","亻 + 意 (a person with a hundred million ideas in mind)","意 (い) is the right half; 憶 (おく, 記憶) = 忄 + 意","Which kanji means 'hundred million'? 一＿","意 / 憶 / 億","億","億 has 亻 on the left — the number. 意 alone = meaning, intention (意見). 憶 has 忄 — memory (記憶).","N3 kanji batch8 vocab_linked kanji_day64 noun confusable"
"護","protect, safeguard","रक्षा गर्नु","N3","ゴ","—","保護[ほご] — protection — संरक्षण<br>看護師[かんごし] — nurse — नर्स<br>介護[かいご] — nursing care — हेरचाह<br>弁護士[べんごし] — lawyer — वकिल","姉[あね]は 病院[びょういん]で 看護師[かんごし]として 働[はたら]いている。","My older sister works as a nurse at a hospital.","दिदी अस्पतालमा नर्सको रूपमा काम गर्नुहुन्छ।","言 + 蒦 (words spoken to defend and protect)","獲 (え・る, 獲得) = 犭 + 蒦 — same right side","","","","","N3 kanji batch8 vocab_linked kanji_day64 verb noun"
"看","watch over, look after","हेरचाह गर्नु","N3","カン","—","看護[かんご] — nursing — नर्सिङ<br>看板[かんばん] — signboard — साइनबोर्ड<br>看病[かんびょう] — nursing (a sick person) — बिरामीको हेरचाह","母[はは]が 風邪[かぜ]の 間[あいだ]、 ずっと 看病[かんびょう]した。","I looked after my mother the whole time she had a cold.","आमा रुघाले बिरामी हुँदा सधैँ हेरचाह गरेँ।","手 + 目 (placing a hand over the eyes to watch over)","着 (き・る) has a similar top over 目","","","","","N3 kanji batch8 vocab_linked kanji_day64 verb noun"
