"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"孫","grandchild","नाति-नातिनी","N3","ソン","まご","孫[まご] — grandchild — नाति-नातिनी<br>子孫[しそん] — descendants — सन्तान<br>孫[まご]の 顔[かお] — grandchild's face — नातिको अनुहार","祖母[そぼ]は 孫[まご]に 会[あ]えて とても 喜[よろこ]んだ。","My grandmother was very happy to see her grandchild.","हजुरआमा नातिलाई भेटेर धेरै खुसी हुनुभयो।","子 + 系 (a child continuing the threads of family lineage → grandchild)","係 (かかり) = 亻 + 系; 系 (けい, lineage)","","","","","N3 kanji batch5 vocab_linked kanji_day35 noun"
"恋","romantic love","प्रेम","N3","レン","こい / こい・しい","恋[こい] — romantic love — प्रेम<br>恋人[こいびと] — boyfriend/girlfriend — प्रेमी/प्रेमिका<br>恋愛[れんあい] — romance, being in love — प्रेम सम्बन्ध<br>失恋[しつれん] — heartbreak — प्रेममा असफलता","彼女[かのじょ]とは 大学[だいがく]の 時[とき]からの 恋人[こいびと]です。","She's been my girlfriend since university.","उनी विश्वविद्यालयदेखिको प्रेमिका हुन्।","亦 + 心 (a heart filled with restless yearning → romantic love)","変 (か・わる) = 亦 + 夂 — same top, different bottom","Which kanji means 'romantic love'? ＿人","恋 / 愛 / 変","恋","恋 has 心 (heart) at the bottom. 変 has 夂 at the bottom — change (変わる). 愛 is love in the broad sense, including family.","N3 kanji batch5 vocab_linked kanji_day36 noun confusable"
"婚","marriage","विवाह","N3","コン","—","結婚[けっこん] — marriage — विवाह<br>結婚式[けっこんしき] — wedding — विवाह समारोह<br>離婚[りこん] — divorce — सम्बन्धविच्छेद<br>婚約[こんやく] — engagement — मगनी","二人[ふたり]は 来年[らいねん] 結婚[けっこん]する 予定[よてい]だ。","The two plan to marry next year.","दुई जना अर्को वर्ष विवाह गर्ने योजनामा छन्।","女 + 昏 (a woman entering a traditional wedding at dusk → marriage)","昏 (こん, dusk) is the right half — weddings were held at dusk","","","","","N3 kanji batch5 vocab_linked kanji_day36 noun"
"供","offer; accompany; child","अर्पण; बालक","N3","キョウ","そな・える / とも","子供[こども] — child — बालबालिका<br>提供[ていきょう] — provision, offering — प्रदान<br>供[そな]える — to offer (to a shrine/altar) — चढाउनु","子供[こども]の ころ、 よく この 公園[こうえん]で 遊[あそ]んだ。","When I was a child I often played in this park.","बच्चा हुँदा प्रायः यही पार्कमा खेल्थेँ।","亻 + 共 (a person holding things together with both hands → offer, accompany)","共 (とも, together) is the right half; 洪 (こう) = 氵 + 共","","","","","N3 kanji batch5 vocab_linked kanji_day36 noun verb"
"互","mutual, each other","परस्पर","N3","ゴ","たが・い","お 互[たが]い — each other — एकअर्का<br>互[たが]いに — mutually — परस्पर<br>相互[そうご] — mutual, reciprocal — पारस्परिक","お 互[たが]いに 助[たす]け 合[あ]うことが 大切[たいせつ]だ。","Helping each other is important.","एकअर्कालाई सघाउनु महत्त्वपूर्ण छ।","互 (interlocking shapes fitting tightly into one another → mutual, each other)","五 (ご, five) — same reading, similar look","Which kanji means 'each other'? お＿い","互 / 五 / 瓦","互","互 has interlocking middle strokes. 五 (five) has a simple 口-like middle. Both read ご.","N3 kanji batch5 vocab_linked kanji_day36 noun confusable"
"訳","translate; reason","अनुवाद; कारण","N3","ヤク","わけ","翻訳[ほんやく] — translation (written) — अनुवाद<br>訳[やく]す — to translate — अनुवाद गर्नु<br>訳[わけ] — reason, meaning — कारण<br>申[もう]し 訳[わけ] ありません — I'm very sorry — माफ गर्नुहोस्<br>言[い]い 訳[わけ] — excuse — बहाना","遅[おく]れて 申[もう]し 訳[わけ] ありません。","I'm very sorry for being late.","ढिलो भएकोमा माफ गर्नुहोस्।","言 + 尺 (measuring words with a ruler to find true meaning → translate, reason)","沢 (さわ) = 氵 + 尺; 択 (たく, 選択) = 扌 + 尺","Which kanji is in 翻訳 (translation)? 翻＿","訳 / 沢 / 択","訳","訳 has 言 (language). 沢 has 氵 (marsh, 金沢). 択 has 扌 (選択).","N3 kanji batch5 vocab_linked kanji_day36 noun verb confusable"
"貸","lend","सापट दिनु","N3","タイ","か・す","貸[か]す — to lend — सापट दिनु<br>貸[か]し 出[だ]し — lending out — ऋण, सापटी<br>賃貸[ちんたい] — rental (property) — भाडा","すみません、 ペンを 貸[か]してもらえますか。","Excuse me, could you lend me a pen?","माफ गर्नुहोस्, कलम सापट दिन सक्नुहुन्छ?","代 + 貝 (handing over money on someone's behalf → lend)","借[か]りる (borrow) — the opposite direction; 代 (か・わる) is the top","Which kanji means 'to lend' (give out)? ペンを＿す","借 / 代 / 貸","貸","貸す = you give it out. 借りる = you take it in. 代 = substitute (代わり).","N3 kanji batch5 vocab_linked kanji_day37 verb confusable"
"借","borrow","सापट लिनु","N3","シャク","か・りる","借[か]りる — to borrow — सापट लिनु<br>借金[しゃっきん] — debt — ऋण<br>借[か]り 手[て] — borrower, tenant — सापट लिने<br>部屋[へや]を 借[か]りる — to rent a room — कोठा भाडामा लिनु","友達[ともだち]から 本[ほん]を 借[か]りた。","I borrowed a book from a friend.","साथीबाट किताब सापट लिएँ।","亻 + 昔 (a person relying on something from the past → borrow)","昔 (むかし) is the right half; 惜 (お・しい) = 忄 + 昔","","","","","N3 kanji batch5 vocab_linked kanji_day37 verb"
"返","return (something)","फिर्ता गर्नु","N3","ヘン","かえ・す / かえ・る","返[かえ]す — to return, give back — फिर्ता गर्नु<br>返事[へんじ] — reply, answer — जवाफ<br>返信[へんしん] — reply (message) — जवाफ<br>払[はら]い 返[かえ]す — to pay back — फिर्ता तिर्नु","借[か]りた 本[ほん]は 来週[らいしゅう] 返[かえ]します。","I'll return the borrowed book next week.","सापट लिएको किताब अर्को हप्ता फिर्ता गर्छु।","辶 + 反 (moving back in reverse to give something back → return)","帰[かえ]る (go home) vs 返[かえ]す (give back) — same reading; 反 (はん) is the inner part","Which かえる is 'give something back'? 本を＿す","変 / 返 / 帰","返","返す = giving an object back. 帰る = a person going home. 変える = changing something.","N3 kanji batch5 vocab_linked kanji_day37 verb confusable"
"預","deposit; entrust","जम्मा गर्नु","N3","ヨ","あず・ける / あず・かる","預[あず]ける — to deposit, leave in someone's care — जम्मा गर्नु<br>預[あず]かる — to look after, hold for someone — राखिदिनु<br>預金[よきん] — bank deposit, savings — बैंक निक्षेप","駅[えき]の ロッカーに 荷物[にもつ]を 預[あず]けた。","I left my luggage in a station locker.","स्टेसनको लकरमा सामान राखेँ।","予 + 頁 (nodding one's head in advance to entrust a deposit)","予 (よ, 予定) is the left half; 頼 (たの・む) and 願 (ねが・う) also end in 頁","","","","","N3 kanji batch5 vocab_linked kanji_day37 verb"
"貯","save up, store","बचत गर्नु","N3","チョ","た・める","貯金[ちょきん] — savings — बचत<br>貯[た]める — to save up — जम्मा गर्नु<br>貯蔵[ちょぞう] — storage — भण्डारण","毎月[まいつき] 少[すこ]しずつ 貯金[ちょきん]している。","I save a little every month.","हरेक महिना अलिअलि बचत गर्छु।","貝 + 宁 (placing money inside a secure space → save up)","財 (ざい), 貨 (か), 費 (ひ) — the 貝 family, all money-related","","","","","N3 kanji batch5 vocab_linked kanji_day37 verb noun"
"富","wealth, riches","धन","N3","フ","と・む / とみ","豊富[ほうふ] — abundant, plentiful — प्रशस्त<br>富[とみ] — wealth — धन<br>富[と]む — to be rich in — प्रचुर हुनु<br>富士山[ふじさん] — Mt. Fuji — फुजी पर्वत","この 国[くに]は 資源[しげん]が 豊富[ほうふ]だ。","This country is rich in resources.","यो देश स्रोतमा प्रशस्त छ।","宀 + 畐 (a roof over a jar full of goods → wealth)","福 (ふく, 幸福) = 礻 + 畐; 副 (ふく, 副社長) = 畐 + 刂","Which kanji is in 豊富 (abundant)? 豊＿","福 / 副 / 富","富","富 has 宀 (roof) on top. 福 has 礻 (祝福, 幸福). 副 has 刂 on the right (副業).","N3 kanji batch5 vocab_linked kanji_day38 noun adj confusable"
"豊","abundant, rich","प्रचुर","N3","ホウ","ゆた・か","豊[ゆた]か — abundant, rich (in quality of life) — सम्पन्न<br>豊富[ほうふ] — plentiful — प्रशस्त<br>豊作[ほうさく] — good harvest — राम्रो उत्पादन","彼[かれ]は 経験[けいけん]が 豊[ゆた]かだ。","He is rich in experience.","उनी अनुभवले सम्पन्न छन्।","曲 + 豆 (a ceremonial vessel overflowing with rich offerings)","豆 (まめ, bean) is the bottom; 曲 (きょく, tune) is the top","","","","","N3 kanji batch5 vocab_linked kanji_day38 adj"
"貧","poor","गरिब","N3","ヒン / ビン","まず・しい","貧[まず]しい — poor — गरिब<br>貧困[ひんこん] — poverty — गरिबी<br>貧乏[びんぼう] — poverty, being broke — गरिबी","彼[かれ]は 貧[まず]しい 家庭[かてい]で 育[そだ]った。","He grew up in a poor household.","उनी गरिब परिवारमा हुर्के।","分 + 貝 (money divided into tiny pieces until none is left → poor)","貸 (か・す), 費 (ひ) — the 貝 family; 分 (わ・ける) is the top","","","","","N3 kanji batch5 vocab_linked kanji_day38 adj"
"産","produce; give birth; property","उत्पादन; जन्म","N3","サン","う・む / う・まれる","生産[せいさん] — production — उत्पादन<br>産業[さんぎょう] — industry — उद्योग<br>お 産[さん] — childbirth — सुत्केरी<br>不動産[ふどうさん] — real estate — घरजग्गा<br>産[う]む — to give birth to; to produce — जन्माउनु","この 工場[こうじょう]では 車[くるま]の 部品[ぶひん]を 生産[せいさん]している。","This factory produces car parts.","यो कारखानाले गाडीका पार्ट्स उत्पादन गर्छ।","立 + 厂 + 生 (new life standing up under a cliff shelter → produce / give birth)","生 (う・まれる) is the bottom; 彦 has a similar top","","","","","N3 kanji batch5 vocab_linked kanji_day38 noun verb"
"財","wealth, property","सम्पत्ति","N3","ザイ","—","財布[さいふ] — wallet — पर्स<br>財産[ざいさん] — assets, property — सम्पत्ति<br>文化財[ぶんかざい] — cultural property — सांस्कृतिक सम्पदा","電車[でんしゃ]の 中[なか]で 財布[さいふ]を なくした。","I lost my wallet on the train.","रेलभित्र पर्स हरायो।","貝 + 才 (using your talent to accumulate money and wealth)","材 (ざい, 材料) = 木 + 才 — same reading, different radical","Which kanji is in 財布 (wallet)? ＿布","才 / 財 / 材","財","財 has 貝 (money shell) on the left. 材 has 木 — material (材料). 才 alone = talent.","N3 kanji batch5 vocab_linked kanji_day38 noun confusable"
"存","exist; know (humble)","अस्तित्व","N3","ソン / ゾン","—","存在[そんざい] — existence — अस्तित्व<br>保存[ほぞん] — preservation, saving (a file) — सुरक्षित राख्नु<br>ご 存[ぞん]じ — knowing (honorific) — थाहा (आदरार्थी)<br>存[ぞん]じる — to know, think (humble) — थाहा हुनु (विनम्र)","ファイルを 保存[ほぞん]するのを 忘[わす]れた。","I forgot to save the file.","फाइल सेभ गर्न बिर्सेँ।","才 + 子 (nurturing a child so they continue to exist)","在 (ざい) = 才 + 土 — the pair in 存在","Which kanji is in 保存 (saving)? 保＿","存 / 在 / 有","存","存 has 子 at the bottom. 在 has 土 at the bottom (存在 uses both). 有 = to have (有名).","N3 kanji batch5 vocab_linked kanji_day39 noun confusable"
"在","exist, be located","हुनु, रहनु","N3","ザイ","あ・る","存在[そんざい] — existence — अस्तित्व<br>現在[げんざい] — present, currently — हाल<br>在庫[ざいこ] — stock, inventory — मौज्दात<br>不在[ふざい] — absence — अनुपस्थिति","申[もう]し 訳[わけ] ありませんが、 その 商品[しょうひん]は 在庫[ざいこ]が ありません。","I'm sorry, but that product is out of stock.","माफ गर्नुहोस्, त्यो सामान स्टकमा छैन।","才 + 土 (a sprout firmly rooted in the earth → exist / be located)","存 (そん) = 才 + 子","","","","","N3 kanji batch5 vocab_linked kanji_day39 verb noun"
"然","so, in that way (suffix)","त्यस्तै (प्रत्यय)","N3","ゼン / ネン","—","全然[ぜんぜん] — (not) at all — बिल्कुल (छैन)<br>自然[しぜん] — nature; natural — प्रकृति<br>突然[とつぜん] — suddenly — अचानक<br>当然[とうぜん] — naturally, of course — स्वाभाविक","突然[とつぜん] 雨[あめ]が 降[ふ]り 出[だ]した。","It suddenly started raining.","अचानक पानी पर्न थाल्यो।","月 + 犬 + 灬 (meat of a dog roasting over fire naturally as it is → so / in that way)","燃 (も・える, burn) = 火 + 然","","","","","N3 kanji batch5 vocab_linked kanji_day39 suffix"
"境","boundary; circumstances","सीमा; परिस्थिति","N3","キョウ","さかい","環境[かんきょう] — environment — वातावरण<br>国境[こっきょう] — national border — सीमाना<br>境[さかい] — boundary — सीमा<br>心境[しんきょう] — state of mind — मनस्थिति","会社[かいしゃ]の 環境[かんきょう]が とても いい。","The company's environment is very good.","कम्पनीको वातावरण धेरै राम्रो छ।","土 + 竟 (the ground where a territory ends → boundary)","鏡 (かがみ, mirror) = 金 + 竟 — same right side","Which kanji is in 環境 (environment)? 環＿","鏡 / 境 / 意","境","境 has 土 (land) on the left — a boundary. 鏡 has 金 (metal) — a mirror. Both share 竟.","N3 kanji batch5 vocab_linked kanji_day39 noun confusable"
"域","area, region","क्षेत्र","N3","イキ","—","地域[ちいき] — region, area — क्षेत्र<br>区域[くいき] — zone, district — क्षेत्र<br>領域[りょういき] — domain, territory — क्षेत्राधिकार","この 地域[ちいき]は 冬[ふゆ]に 雪[ゆき]が 多[おお]い。","This area gets a lot of snow in winter.","यो क्षेत्रमा जाडोमा धेरै हिउँ पर्छ।","土 + 或 (earth marked and defended by a spear → region / area)","感 (かん) has a similar right shape but with 心","","","","","N3 kanji batch5 vocab_linked kanji_day39 noun"
"昼","noon, daytime","दिउँसो","N3","チュウ","ひる","昼[ひる] — noon, daytime — दिउँसो<br>昼[ひる]ご 飯[はん] — lunch — दिउँसोको खाना<br>昼休[ひるやす]み — lunch break — दिउँसोको बिदा<br>昼寝[ひるね] — nap — दिउँसोको निद्रा","昼休[ひるやす]みは 十二時[じゅうにじ]から 一時[いちじ]までです。","The lunch break is from twelve to one.","दिउँसोको बिदा बाह्रदेखि एक बजेसम्म हो।","尺 + 旦 (measuring the sun's highest point at noon)","昼 (day) ↔ 夜 (night); 書 (か・く) has a similar upper structure","","","","","N3 kanji batch5 vocab_linked kanji_day40 noun"
"晩","evening, night","साँझ","N3","バン","—","今晩[こんばん] — this evening — आज साँझ<br>晩[ばん]ご 飯[はん] — dinner — बेलुकाको खाना<br>毎晩[まいばん] — every night — हरेक रात<br>今朝[けさ] ↔ 今晩[こんばん] — this morning / this evening — आज बिहान / आज साँझ","今晩[こんばん] 一緒[いっしょ]に 食事[しょくじ]でも どうですか。","How about dinner together this evening?","आज साँझ सँगै खाना खाने कि?","日 + 免 (the sun escapes below the horizon at evening)","免 (めん, 免許) is the right half; 晩 covers the evening, 夜 the night","","","","","N3 kanji batch5 vocab_linked kanji_day40 noun"
"側","side","तिर, छेउ","N3","ソク","がわ","右側[みぎがわ] — right side — दाहिनेतिर<br>左側[ひだりがわ] — left side — देब्रेतिर<br>側[がわ] — side — तिर<br>内側[うちがわ] — inside — भित्रतिर<br>反対側[はんたいがわ] — opposite side — उल्टोतिर","エスカレーターでは 左側[ひだりがわ]に 立[た]ってください。","Please stand on the left on the escalator.","एस्कलेटरमा देब्रेतिर उभिनुहोस्।","亻 + 則 (a person standing to the side according to the rule)","則 (そく) = 貝 + 刂; 測 (はか・る) = 氵 + 則","","","","","N3 kanji batch5 vocab_linked kanji_day40 noun"
"各","each, every","प्रत्येक","N3","カク","おのおの","各[かく]〜 — each — प्रत्येक<br>各自[かくじ] — each person — व्यक्तिगत रूपमा<br>各駅[かくえき] — each station (local train) — प्रत्येक स्टेसन<br>各国[かっこく] — each country — प्रत्येक देश","資料[しりょう]は 各自[かくじ] 用意[ようい]してください。","Please each prepare your own materials.","कागजात प्रत्येकले आफैँ तयार गर्नुहोस्।","夂 + 口 (each person arrives on foot to speak with their own mouth)","客 (きゃく) = 宀 + 各; 落 (お・ちる) contains 各; 路 (ろ) = 足 + 各","Which kanji means 'each'? ＿自で用意する","名 / 客 / 各","各","各 is bare. 客 adds 宀 on top — guest (お客さん). 名 has 夕 on top — name.","N3 kanji batch5 vocab_linked kanji_day40 noun confusable"
"岸","shore, bank","किनार","N3","ガン","きし","海岸[かいがん] — seashore, coast — समुद्र किनार<br>岸[きし] — bank, shore — किनार<br>対岸[たいがん] — opposite bank — पारिको किनार","週末[しゅうまつ]は 海岸[かいがん]を 散歩[さんぽ]した。","I walked along the coast on the weekend.","सप्ताहन्तमा समुद्र किनारमा हिँडेँ।","山 + 厂 + 干 (mountain cliffs shielding the dry waterbank)","干 (ほ・す) is the bottom; 汗 (あせ) = 氵 + 干","","","","","N3 kanji batch5 vocab_linked kanji_day40 noun"
