"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜うちに","V-dict / V-ている / V-ない + うちに; い-adj + うちに; な-adj + な + うちに; N + の + うちに","while (a state lasts); before it changes","…छँदै / …हुँदै (अवस्था बदलिनुअघि)","熱いうちに食べてください。","あついうちに たべて ください。","Eat it while it's hot.","तातो छँदै खानुहोस्।","若いうちにいろいろな国へ行きたい。","わかいうちに いろいろな くにへ いきたい。","I want to visit many countries while I'm young.","जवान छँदै धेरै देश घुम्न चाहन्छु।","日本語を勉強しているうちに、日本の文化にも興味を持つようになった。","にほんごを べんきょうしているうちに、にほんの ぶんかにも きょうみを もつように なった。","While I was studying Japanese, I naturally became interested in Japanese culture too.","जापानी भाषा सिक्दै जाँदा जापानी संस्कृतिमा पनि रुचि बस्दै गयो।","[state]うちに [action]","Two senses: (1) the action must happen inside a window before the state ends — V-ない + うちに = before X happens; (2) a change happens naturally/unintentionally while the state continues, often V-ている + うちに + 〜ようになる/なる.","same; 〜ないうちに早く","うちに ↔ 間に","間に = neutral time span; うちに adds 'it'll be too late afterwards'; たびに = repeated events, not a window","熱い＿＿＿食べてください。","うちに","若い＿＿＿いろいろな国へ行きたい。","A うちに / B たびに / C ばかりに / D として","A うちに","Youth is a window that ends.","B たびに needs a repeated event; 'every time I'm young' is nonsense.","A call came at some point in a fixed slot. 3時から4時の＿＿＿電話がありました。","間に","間に = at some point within a fixed span; うちに = act before the state disappears. 授業の間に寝てしまった / 明るいうちに帰ろう.","N3 grammar time confusable"
"〜おかげで","V-た / い-adj + おかげで; な-adj + な + おかげで; N + の + おかげで","thanks to ~ (positive result)","…को कारणले / …को कृपाले (राम्रो नतिजा)","先生のおかげで、試験に合格できた。","せんせいの おかげで、しけんに ごうかくできた。","Thanks to my teacher, I passed the exam.","गुरुको कारणले परीक्षा पास गर्न सकें।","毎日勉強したおかげで、漢字が読めるようになった。","まいにち べんきょうした おかげで、かんじが よめるように なった。","Because I studied every day, I can now read kanji.","हरेक दिन पढेकोले अब कान्जी पढ्न सक्ने भएँ।","天気がよかったおかげで、いい写真が撮れた。","てんきが よかった おかげで、いい しゃしんが とれた。","The good weather let me take nice photos.","मौसम राम्रो भएकोले राम्रो फोटो खिच्न पाइयो।","[cause]のおかげで [good result]","Gratitude for a good outcome. おかげさまで = polite set phrase.","おかげさまで; sarcastic use possible: お前のおかげで遅れた","おかげで ↔ せいで","same 'because of'; おかげで = good result, せいで = bad result","先生＿＿＿＿、試験に合格できた。","のおかげで","天気がよかった＿＿＿、いい写真が撮れた。","A せいで / B おかげで / C たびに / D わけで","B おかげで","Good result → gratitude.","A せいで is for bad outcomes; taking nice photos is not something you blame the weather for.","Blaming the weather for a cancelled picnic. 雨＿＿＿、ピクニックが中止になった。","のせいで","Pick by result polarity. 雨のせいで中止になった / 晴れたおかげで実施できた.","N3 grammar cause confusable"
"〜ようにする","V-dict / V-ない + ようにする; 〜ようにしている = habitual effort","make sure to ~; make an effort to ~","…गर्ने कोसिस गर्नु / ध्यान दिएर … गर्नु","甘いものを食べすぎないようにしてください。","あまいものを たべすぎないように して ください。","Please try not to eat too many sweets.","गुलियो धेरै नखाने कोसिस गर्नुहोस्।","毎日30分歩くようにしている。","まいにち さんじゅっぷん あるくように している。","I make a point of walking 30 minutes daily.","हरेक दिन ३० मिनेट हिँड्ने कोसिस गर्छु।","会議に遅れないように、早めに家を出るようにした。","かいぎに おくれないように、はやめに いえを でるように した。","So I wouldn't be late for meetings, I started leaving home early.","मिटिङमा ढिलो नहोस् भनेर चाँडै घर छोड्ने बानी बसालें।","[V-dict / V-ない]ようにする","Speaker's ongoing effort or intention; result not guaranteed.","〜ようにしてる; request: 〜ようにしてね","ようにする ↔ ようになる","ようにする = effort; ようになる = result","甘いものを食べすぎない＿＿＿＿＿ください。","ようにして","健康のために、エレベーターを使わない＿＿＿＿＿。","A ようになった / B ようにしている / C ことになった / D わけではない","B ようにしている","健康のために shows deliberate, ongoing effort.","A ようになった would mean the habit changed by itself, which clashes with a stated purpose.","Your kid finally started eating vegetables on his own. 息子は野菜を食べる＿＿＿＿。","ようになった","Effort vs result. 野菜を食べるようにしている (I try) / 野菜を食べるようになった (it changed).","N3 grammar change confusable"
"〜ことになる","V-dict / V-ない + ことになる; 〜ことになっている = rule or schedule","it has been decided that ~; it turns out that ~; it means that ~","…गर्ने भयो (अरूको निर्णय) / …हुने भयो","来月から大阪に転勤することになった。","らいげつから おおさかに てんきんすることに なった。","It's been decided I'll transfer to Osaka next month.","अर्को महिनादेखि ओसाका सरुवा हुने भयो।","会議は毎週月曜日に行うことになっている。","かいぎは まいしゅう げつようびに おこなうことに なっている。","Meetings are held every Monday (as a rule).","मिटिङ हरेक सोमबार हुने नियम छ।","これでは、全員がやり直すことになるよ。","これでは、ぜんいんが やりなおすことに なるよ。","At this rate everyone will end up redoing it.","यस्तो भए सबैले फेरि गर्नुपर्ने हुन्छ।","[V-dict]ことになる / ことになっている","Decision or outcome outside the speaker's control; ことになっている = fixed rule or arrangement.","〜ことになってる; 〜ことになっちゃった (unwanted outcome)","ことになる ↔ ことにする","なる = decided for you / became; する = you decide","来月から大阪に転勤する＿＿＿＿＿。","ことになった","このアパートでは、ペットを飼ってはいけない＿＿＿＿＿。","A ことにしている / B ことになっている / C ようになっている / D ばかりだ","B ことになっている","A building rule is set by others → ことになっている.","A ことにしている would be the speaker's own policy, not a house rule.","You tell a friend you've chosen to quit drinking. お酒をやめる＿＿＿＿。","ことにした","Who decided? やめることにした (I chose) / やめることになった (doctor ordered / circumstances).","N3 grammar decision confusable"
"〜ところだ（動作の段階）","V-た + ところだ; V-dict + ところ (about to); V-ている + ところ (in the middle of)","about to ~ / in the middle of ~ / just did ~ (stage of an action)","गर्न लाग्दै / गर्दै गरेको / भर्खरै गरेको (कार्यको चरण)","今、家に帰ったところです。","いま、いえに かえったところ です。","I just got home this second.","म अहिले भर्खरै घर आइपुगेको हुँ।","今、資料を作っているところなので、少し待ってください。","いま、しりょうを つくっているところ なので、すこし まって ください。","I'm in the middle of making the materials, so please wait a bit.","अहिले सामग्री बनाइरहेको छु, अलिकति पर्खनुहोस्।","今からちょうど出かけるところです。","いまから ちょうど でかけるところ です。","I'm just about to go out now.","अहिले नै निस्कने बेला भएको छु।","[V-た]ところだ ・ [V-dict]ところだ ・ [V-ている]ところだ","Pinpoints an exact stage of an action: dict = before, ている = during, た = right after. Usually with 今. (Different from 〜(よ)うとしたところに/へ〜, where ところに/へ marks the exact moment another event interrupts — that's a separate pattern, not this one.)","〜たとこ / 〜てるとこ (ところ → とこ)","たところ ↔ たばかり","たところ = objective instant, usually with 今; たばかり = subjective recency, can modify nouns","今、家に帰った＿＿＿です。","ところ","今、資料を作っている＿＿＿なので、少し待ってください。","A ところ / B ばかり / C たびに / D うちに","A ところ","ている + ところ = in the middle of.","B ばかり after ている reads as 'doing nothing but', not 'in the middle of'.","Explaining a month after moving that you still don't know the area. 先月引っ越した＿＿＿＿。","ばかりだ","Instant vs felt-recent. 今着いたところ / 先週始めたばかり.","N3 grammar time stage confusable"
"〜ために（目的）","V-dict + ために; N + の + ために","in order to ~; for the sake of ~","…गर्नका लागि / …को लागि","日本で働くために、日本語を勉強している。","にほんで はたらくために、にほんごを べんきょうしている。","I'm studying Japanese in order to work in Japan.","जापानमा काम गर्नका लागि जापानी पढिरहेको छु।","家族のために、毎日がんばっている。","かぞくの ために、まいにち がんばっている。","I work hard every day for my family.","परिवारका लागि हरेक दिन मेहनत गर्छु।","車を買うために、お金をためている。","くるまを かうために、おかねを ためている。","I'm saving money to buy a car.","गाडी किन्नका लागि पैसा जम्मा गर्दैछु।","[V-dict / Nの]ために [action]","Purpose use needs a volitional verb and the same subject. The other meaning is cause ('because of').","same; casual ため","ために ↔ ように","volitional + same subject → ために; potential / negative / non-volitional → ように","車を買う＿＿＿、お金をためている。","ために","家族＿＿＿、毎日がんばっている。","A のために / B のように / C のせいで / D のたびに","A のために","Beneficiary: for the sake of.","B のように = 'like my family' (comparison), not beneficiary.","Studying so you'll be able to read a newspaper. 新聞が読める＿＿＿、漢字を勉強している。","ように","読める is potential → ように. 新聞を読むために / 新聞が読めるように.","N3 grammar purpose confusable"
"〜わけがない","plain + わけがない (な-adj + な, N + の / である)","there's no way ~; it's impossible that ~","… हुनै सक्दैन / … हुने कुरै छैन","そんな安い値段で買えるわけがないだろう。","そんな やすい ねだんで かえるわけが ない だろう。","You can't possibly buy it that cheap.","त्यति सस्तोमा किन्न सकिने कुरै छैन।","あんなに強い人が初心者に負けるわけがない。","あんなに つよい ひとが しょしんしゃに まけるわけが ない。","No way someone that strong loses to a beginner.","त्यति बलियो मान्छे नयाँसँग हार्ने कुरै छैन।","彼が嘘をつくわけがない。信じている。","かれが うそを つくわけが ない。しんじている。","There's no way he'd lie. I trust him.","उसले झुट बोल्ने कुरै छैन। म विश्वास गर्छु।","[plain]わけがない","Strong, emotional denial based on reasoning; ≒ はずがない.","わけない (が dropped); わけねえ (rough)","わけがない ↔ わけではない","がない = total denial; ではない = partial denial","そんな安い値段で買える＿＿＿＿＿だろう。","わけがない","彼が嘘をつく＿＿＿＿。信じている。","A わけではない / B わけがない / C わけにはいかない / D わけだ","B わけがない","信じている demands total denial.","A わけではない would be a half-denial ('it's not that he lies, but…'), which clashes with 信じている.","Someone assumes you hate natto because you rarely eat it; you correct them mildly. 納豆が嫌いな＿＿＿＿＿。ただ、毎日は食べないだけだ。","わけではない","Total vs partial. 食べられないわけがない / 食べないわけではない.","N3 grammar denial confusable"
"〜だけでなく〜も","N / plain form + だけでなく(て)、〜も; な-adj + な + だけでなく","not only ~ but also ~","… मात्र होइन, … पनि","彼は英語だけでなく、中国語も話せる。","かれは えいごだけでなく、ちゅうごくごも はなせる。","He speaks not only English but also Chinese.","उसले अंग्रेजी मात्र होइन, चिनियाँ पनि बोल्न सक्छ।","この店は安いだけでなく、味もいい。","このみせは やすいだけでなく、あじも いい。","This place isn't just cheap; the food's good too.","यो पसल सस्तो मात्र होइन, स्वाद पनि राम्रो छ।","平日だけでなく週末も働かなければならない。","へいじつだけでなく しゅうまつも はたらかなければ ならない。","I have to work weekends, not just weekdays.","हप्ताको दिन मात्र होइन, सप्ताहन्त पनि काम गर्नुपर्छ।","[X]だけでなく [Y]も","The second item is the emphasised addition; も (or まで / さえ) is near-obligatory in the second clause.","だけじゃなく(て)","だけでなく ↔ ばかりでなく (formal synonym)","second clause needs も / まで / さえ; do not end the second clause with だけ","彼は英語＿＿＿＿＿、中国語も話せる。","だけでなく","この店は安い＿＿＿＿＿、味もいい。","A だけでなく / B ばかりに / C しか / D わけで","A だけでなく","Adds a second positive point, marked by も.","B ばかりに = 'just because', leading to a bad result; nothing bad follows here.","","","","N3 grammar addition"
"〜てばかりいる","V-て + ばかりいる; N + ばかり + V","do nothing but ~; keep ~ing (critical tone)","… मात्र गरिरहनु (आलोचनात्मक)","息子はゲームをしてばかりいる。","むすこは ゲームを してばかり いる。","My son does nothing but play games.","छोरा गेम मात्र खेलिरहन्छ।","泣いてばかりいないで、何かしよう。","ないてばかり いないで、なにか しよう。","Stop just crying and do something.","रोएर मात्र नबस, केही गरौं।","彼は文句を言ってばかりいる。","かれは もんくを いってばかり いる。","He does nothing but complain.","ऊ गुनासो मात्र गरिरहन्छ।","[V-て]ばかりいる ・ [N]ばかり[V]","Disapproval of one-sidedness. Not the same as たばかり.","〜てばっかり(いる) / 〜てばっか","てばかりいる ↔ たばかり","て-form + ばかり = only doing; た-form + ばかり = just did","息子はゲームをして＿＿＿＿いる。","ばかり","泣いて＿＿＿いないで、何かしよう。","A ばかり / B だけ / C ところ / D たびに","A ばかり","てばかりいる is the set pattern for 'nothing but'.","B だけ after a て-form is not the idiom; てだけいる is unnatural.","You just ate lunch, so you're full. 昼ご飯を食べ＿＿＿＿だから、お腹がいっぱいだ。","たばかり","The verb form decides the meaning. 食べてばかりいる (does nothing but eat) / 食べたばかりだ (just ate).","N3 grammar habit confusable"
"〜によって","N + によって / により / による + N","by (agent/means); due to; depending on","…द्वारा / …को कारणले / …अनुसार","国によって習慣が違う。","くにに よって しゅうかんが ちがう。","Customs differ depending on the country.","देश अनुसार चलन फरक हुन्छ।","この建物は有名な建築家によって設計された。","このたてものは ゆうめいな けんちくかに よって せっけいされた。","This building was designed by a famous architect.","यो भवन एक प्रसिद्ध वास्तुकारद्वारा डिजाइन गरिएको हो।","地震によって多くの家が壊れた。","じしんに よって おおくの いえが こわれた。","Many houses were destroyed by the earthquake.","भूकम्पको कारणले धेरै घर भत्किए।","[N]によって [passive V] ・ [N]によって違う／変わる","Three uses: agent in a passive, cause, 'depending on'. Formal/written register.","rare in casual speech; casual = で / で違う / のせいで","によって ↔ に (passive agent) / にとって","によって is the strong/formal choice for the agent of a passive with creation/discovery verbs (設計する、発明する、建てる、書く, etc.); the 'depending on' reading needs a 違う／変わる-type predicate","国＿＿＿＿習慣が違う。","によって","この建物は有名な建築家＿＿＿＿設計された。","A によって / B にとって / C として / D について","A によって","Agent of a passive with a creation verb.","B にとって = 'for the architect' (viewpoint), not the doer.","","","","N3 grammar means cause"
