#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
常識	117	常識[じょうしき]	じょうしき	noun	noun	common sense	सामान्य ज्ञान; लोकव्यवहार	電車[でんしゃ]の 中[なか]で 電話[でんわ]しないのは 常識[じょうしき]だ。	Not making phone calls on the train is common sense.	彼[かれ]は 常識[じょうしき]がない。	He has no common sense.	国[くに]によって 常識[じょうしき]は 違[ちが]う。	Common sense differs by country.	常識がある・ない／非常識な	非常識 = lacking common sense (strong criticism). Culture-loaded word.	N3 batch2 day5 noun
種類	118	種類[しゅるい]	しゅるい	noun	noun	kind; type; variety	प्रकार; किसिम	この 店[みせ]にはパンの 種類[しゅるい]が 多[おお]い。	This shop has many kinds of bread.	どんな 種類[しゅるい]の 音楽[おんがく]が 好[す]きですか。	What kind of music do you like?	ごみは 種類[しゅるい]ごとに 分[わ]けてください。	Please separate the garbage by type.	〜の種類／種類が多い・少ない／種類ごとに	Counter: 一種類, 二種類.	N3 batch2 day5 noun
順番	119	順番[じゅんばん]	じゅんばん	noun	noun	order; turn	पालो; क्रम	順番[じゅんばん]を 守[まも]って 並[なら]んでください。	Please keep your place in line.	名前[なまえ]を 呼[よ]ばれるまで、 順番[じゅんばん]を 待[ま]った。	I waited my turn until my name was called.	順番[じゅんばん]に 自己紹介[じこしょうかい]をしましょう。	Let us introduce ourselves in order.	順番を待つ・守る／順番に＋V	順番に = in turn. 五十音順 = alphabetical (kana) order.	N3 batch2 day5 noun
気に入る	120	気[き]に 入[い]る	きにいる	verb	v5 expression	to like; to take a liking to	मन पर्नु	この 部屋[へや]がとても 気[き]に 入[い]りました。	I really like this room.	彼[かれ]は 新[あたら]しい 靴[くつ]を 気[き]に 入[い]っている。	He is fond of his new shoes.	気[き]に 入[い]らなければ、 返品[へんぴん]できます。	If you do not like it, you can return it.	Aが／Aを気に入る／お気に入り	お気に入り = a favourite (also browser bookmarks). 好き (state) vs 気に入る (take a liking).	N3 batch2 day5 verb
付き合う	121	付[つ]き 合[あ]う	つきあう	verb	v5 intransitive	to date; to keep company; to accompany	सँगै हिँड्नु; प्रेम सम्बन्धमा हुनु	二人[ふたり]は 三年間[さんねんかん] 付[つ]き 合[あ]っている。	The two have been dating for three years.	買[か]い 物[もの]に 付[つ]き 合[あ]ってくれない？	Will you come shopping with me?	彼[かれ]とは 仕事[しごと]の 上[うえ]だけの 付[つ]き 合[あ]いだ。	My relationship with him is strictly work.	Aと付き合う／Aに付き合う（accompany）	と = relationship; に = tag along. Noun: 付き合い.	N3 batch2 day5 verb
役立つ	122	役立[やくだ]つ	やくだつ	verb	v5 intransitive	to be useful	काम लाग्नु; उपयोगी हुनु	この 辞書[じしょ]は 勉強[べんきょう]に 役立[やくだ]つ。	This dictionary is useful for studying.	旅行[りょこう]で 学[まな]んだことが 仕事[しごと]に 役立[やくだ]った。	What I learned from traveling was useful in my work.	皆[みな]さんの 役[やく]に 立[た]てば、うれしいです。	I will be glad if this is of use to you all.	Aに役立つ／役に立つ	役立つ = 役に立つ. 役立たず = useless (person) — harsh.	N3 batch2 day5 verb
効く	123	効[き]く	きく	verb	v5 intransitive	to be effective; to work	असर गर्नु; काम गर्नु (औषधि)	この 薬[くすり]は 頭痛[ずつう]によく 効[き]く。	This medicine works well on headaches.	冷房[れいぼう]が 効[き]きすぎて 寒[さむ]い。	The air conditioning is working too well and it is cold.	宣伝[せんでん]が 効[き]いて、 客[きゃく]が 増[ふ]えた。	The advertising worked and customers increased.	Aに効く／効き目がある	Homophone 聞く／聴く. 効き目 = effect. Related noun: 効果 (batch 1).	N3 batch2 day5 verb
かなり	124	かなり	かなり	adv	adverb	quite; considerably	निकै; धेरै हदसम्म	今日[きょう]はかなり 寒[さむ]いですね。	It is quite cold today, is it not.	駅[えき]までかなり 距離[きょり]がある。	It is a fair distance to the station.	彼[かれ]の 日本語[にほんご]はかなりのレベルだ。	His Japanese is at quite a high level.	かなり＋adj／V／かなりの＋N	Between まあまあ and 非常に. Written in kana.	N3 batch2 day5 adv
とにかく	125	とにかく	とにかく	adv	adverb	anyway; in any case	जे भए पनि; जसरी पनि	難[むずか]しいことは 後[あと]で 考[かんが]えて、とにかく 始[はじ]めよう。	Think about the hard parts later — anyway, let us start.	とにかく 暑[あつ]い 一日[いちにち]だった。	It was, above all, a hot day.	理由[りゆう]はとにかく、ルールはルールだ。	Whatever the reason, rules are rules.	とにかく＋V／理由はとにかく	とりあえず = for now; とにかく = at any rate. Kana only.	N3 batch2 day5 adv
述べる	126	述[の]べる	のべる	verb	v1 transitive	to state; to mention	बताउनु; उल्लेख गर्नु	会議[かいぎ]で 意見[いけん]を 述[の]べた。	I stated my opinion at the meeting.	筆者[ひっしゃ]はこの 問題[もんだい]について 何[なに]と 述[の]べていますか。	What does the author say about this problem?	理由[りゆう]を 簡単[かんたん]に 述[の]べます。	I will state the reasons briefly.	Aを述べる／〜と述べる／筆者が述べていること	THE reading-section verb: 筆者が述べていること appears in almost every N3 exam. Written/formal 言う.	N3 batch2 day6 verb
従う	127	従[したが]う	したがう	verb	v5 intransitive	to follow; to obey	पालना गर्नु; अनुसरण गर्नु	社員[しゃいん]は 会社[かいしゃ]のルールに 従[したが]わなければならない。	Employees must follow company rules.	医者[いしゃ]の 指示[しじ]に 従[したが]って、 薬[くすり]を 飲[の]んでいる。	I take my medicine following my doctor's instructions.	説明書[せつめいしょ]に 従[したが]って 組[く]み 立[た]ててください。	Please assemble it following the manual.	Aに従う／Aに従って（N3 grammar）	〜に従って also = as ~ changes (grammar point). Takes に.	N3 batch2 day6 verb
任せる	128	任[まか]せる	まかせる	verb	v1 transitive	to entrust; to leave (to someone)	जिम्मा दिनु; छोड्नु	この 仕事[しごと]は 私[わたし]に 任[まか]せてください。	Please leave this job to me.	店[みせ] 選[えら]びは 君[きみ]に 任[まか]せるよ。	I will leave the choice of restaurant to you.	大事[だいじ]なことを 人[ひと]に 任[まか]せきりにしない 方[ほう]がいい。	It is better not to leave important things entirely to others.	AにBを任せる／お任せします	おまかせ at a sushi shop = chef's choice. 任せきり = leaving it all to someone.	N3 batch2 day6 verb
確かめる	129	確[たし]かめる	たしかめる	verb	v1 transitive	to confirm; to make sure	यकिन गर्नु; जाँच्नु	出[で]かける 前[まえ]に、ドアの 鍵[かぎ]を 確[たし]かめた。	Before going out, I checked the door lock.	事実[じじつ]かどうか、 自分[じぶん]の 目[め]で 確[たし]かめたい。	I want to confirm with my own eyes whether it is true.	電話[でんわ]で 時間[じかん]を 確[たし]かめてから 行[い]こう。	Let us check the time by phone before going.	Aを確かめる／〜かどうか確かめる	Same family as 確認する (formal) and 確か. Spoken: チェックする.	N3 batch2 day6 verb
思いつく	130	思[おも]いつく	おもいつく	verb	v5 transitive	to think of; to come up with	फुर्नु; उपाय सुझ्नु	いいアイデアを 思[おも]いついた。	I came up with a good idea.	名前[なまえ]がどうしても 思[おも]いつかない。	I just cannot think of a name.	思[おも]いついたことを 全部[ぜんぶ]メモしておこう。	Let us note down everything that comes to mind.	Aを思いつく／ふと思いつく	思い出す = recall (existing memory); 思いつく = a new idea pops up.	N3 batch2 day6 verb
申し込む	131	申[もう]し 込[こ]む	もうしこむ	verb	v5 transitive	to apply; to sign up	आवेदन दिनु; दर्ता गर्नु	十二月[じゅうにがつ]の 試験[しけん]に 申[もう]し 込[こ]んだ。	I applied for the December exam.	インターネットで 簡単[かんたん]に 申[もう]し 込[こ]むことができます。	You can easily apply online.	参加[さんか]を 希望[きぼう]する 人[ひと]は、 金曜日[きんようび]までに 申[もう]し 込[こ]んでください。	Those who wish to participate, please apply by Friday.	Aに申し込む／申し込み（noun）	Noun 申し込み pairs with 締め切り (batch 1). Register for JLPT = 試験に申し込む.	N3 batch2 day6 verb
受け取る	132	受[う]け 取[と]る	うけとる	verb	v5 transitive	to receive; to accept	प्राप्त गर्नु; बुझ्नु (सामान)	コンビニで 荷物[にもつ]を 受[う]け 取[と]った。	I picked up my package at the convenience store.	メールを 受[う]け 取[と]りました。	I received your email.	彼[かれ]は 私[わたし]の 冗談[じょうだん]を 本気[ほんき]に 受[う]け 取[と]った。	He took my joke seriously.	Aを受け取る／〜と受け取る（interpret as）	もらう (casual) → 受け取る (neutral/formal). Also = interpret.	N3 batch2 day6 verb
引き受ける	133	引[ひ]き 受[う]ける	ひきうける	verb	v1 transitive	to take on; to accept (a task)	जिम्मा लिनु; स्वीकार गर्नु	難[むずか]しい 仕事[しごと]だが、 引[ひ]き 受[う]けることにした。	It is a difficult job, but I decided to take it on.	彼[かれ]は 会[かい]の 司会[しかい]を 引[ひ]き 受[う]けてくれた。	He agreed to be the MC for the event.	何[なん]でも 引[ひ]き 受[う]けると、 後[あと]で 大変[たいへん]になる。	If you take on everything, it gets tough later.	Aを引き受ける	Accept responsibility/work. Opposite move: 断る (batch 1).	N3 batch2 day6 verb
取り消す	134	取[と]り 消[け]す	とりけす	verb	v5 transitive	to cancel; to retract	रद्द गर्नु; फिर्ता लिनु	ホテルの 予約[よやく]を 取[と]り 消[け]した。	I cancelled the hotel reservation.	今[いま]の 発言[はつげん]を 取[と]り 消[け]します。	I retract what I just said.	一度[いちど] 送[おく]った 注文[ちゅうもん]は 取[と]り 消[け]せません。	Orders once placed cannot be cancelled.	Aを取り消す／取り消し	キャンセルする is the everyday word; 取り消す is native/formal. 取消ボタン on forms.	N3 batch2 day6 verb
変更	135	変更[へんこう]	へんこう	verb	noun / suru-verb	change; alteration (plans, settings)	परिवर्तन (योजना, समय)	予定[よてい]を 変更[へんこう]しました。	I changed the schedule.	出発[しゅっぱつ] 時間[じかん]に 変更[へんこう]があります。	There is a change to the departure time.	パスワードは 定期的[ていきてき]に 変更[へんこう]した 方[ほう]がいい。	You should change your password regularly.	Aを変更する／変更がある／変更点	変更 = deliberate change to plans/settings; 変化 = natural change.	N3 batch2 day6 verb
中止	136	中止[ちゅうし]	ちゅうし	verb	noun / suru-verb	cancellation; calling off	रद्द (कार्यक्रम)	台風[たいふう]のため、 祭[まつ]りは 中止[ちゅうし]になった。	The festival was called off because of the typhoon.	雨[あめ]でも 試合[しあい]は 中止[ちゅうし]しません。	Even if it rains, the match will not be cancelled.	計画[けいかく]は 中止[ちゅうし]するべきだと 思[おも]う。	I think the plan should be stopped.	Aが中止になる／Aを中止する	中止になる (it gets cancelled) vs 中止する (someone cancels). Pair with 延期. Listening staple.	N3 batch2 day6 verb
延期	137	延期[えんき]	えんき	verb	noun / suru-verb	postponement	स्थगन; मिति सार्नु	運動会[うんどうかい]は 来週[らいしゅう]に 延期[えんき]された。	The sports day was postponed to next week.	会議[かいぎ]の 延期[えんき]をお 知[し]らせします。	We inform you of the meeting's postponement.	出発[しゅっぱつ]を 一日[いちにち] 延期[えんき]することにした。	We decided to postpone departure by one day.	Aを（Bに）延期する／延期になる	中止 = cancelled entirely; 延期 = moved to later. Both on the listening section constantly.	N3 batch2 day6 verb
到着	138	到着[とうちゃく]	とうちゃく	verb	noun / suru-verb	arrival	आइपुग्नु; आगमन	電車[でんしゃ]は 十五分[じゅうごふん] 遅[おく]れて 到着[とうちゃく]した。	The train arrived fifteen minutes late.	到着[とうちゃく]したら、 連絡[れんらく]してください。	Please contact me when you arrive.	ホテルへの 到着[とうちゃく] 時間[じかん]を 教[おし]えてください。	Please tell me your arrival time at the hotel.	Aに到着する／到着時間	Opposite: 出発. 着く is the everyday verb.	N3 batch2 day6 verb
遅刻	139	遅刻[ちこく]	ちこく	verb	noun / suru-verb	being late (for a set time)	ढिलो आउनु	寝坊[ねぼう]して、 学校[がっこう]に 遅刻[ちこく]した。	I overslept and was late for school.	遅刻[ちこく]する 場合[ばあい]は、 必[かなら]ず 連絡[れんらく]してください。	If you are going to be late, be sure to contact us.	彼[かれ]は 遅刻[ちこく]が 多[おお]い。	He is often late.	Aに遅刻する／遅刻が多い	遅刻 = late for a set time; 遅れる = be delayed generally. 寝坊 = oversleeping.	N3 batch2 day6 verb
移動	140	移動[いどう]	いどう	verb	noun / suru-verb	movement; moving (place to place)	सर्नु; स्थानान्तरण	会場[かいじょう]まではバスで 移動[いどう]します。	We will move to the venue by bus.	席[せき]を 移動[いどう]してもいいですか。	May I move seats?	移動[いどう] 中[ちゅう]に 資料[しりょう]を 読[よ]んだ。	I read the materials while in transit.	Aに／Aへ移動する／移動中	引っ越し = moving house; 移動 = moving position. 移動中 = on the move.	N3 batch2 day6 verb
料金	141	料金[りょうきん]	りょうきん	noun	noun	fee; charge; fare	शुल्क; भाडा	電気[でんき] 料金[りょうきん]が 上[あ]がった。	Electricity charges went up.	この 駐車場[ちゅうしゃじょう]の 料金[りょうきん]は 一時間[いちじかん] 三百円[さんびゃくえん]だ。	This parking lot's fee is 300 yen per hour.	追加[ついか] 料金[りょうきん]はかかりません。	There is no additional charge.	〜料金（電気料金・追加料金）／料金がかかる	料金 = charge for a service; 値段 = price of goods; 費用 = expenses overall.	N3 batch2 day6 noun
費用	142	費用[ひよう]	ひよう	noun	noun	expense; cost	खर्च	旅行[りょこう]の 費用[ひよう]は 一人[ひとり] 五万円[ごまんえん]ぐらいだ。	The cost of the trip is about 50,000 yen per person.	引[ひ]っ 越[こ]しには 思[おも]ったより 費用[ひよう]がかかった。	Moving cost more than I expected.	費用[ひよう]を 抑[おさ]える 方法[ほうほう]を 考[かんが]えよう。	Let us think of ways to keep costs down.	費用がかかる／費用を抑える	費用 = total costs; 料金 = a set fee. 〜費 suffix: 交通費, 生活費, 参加費.	N3 batch2 day6 noun
割引	143	割引[わりびき]	わりびき	noun	noun / suru-verb	discount	छुट	学生[がくせい]は 二割引[にわりびき]になります。	Students get 20 percent off.	割引[わりびき]クーポンを 使[つか]った。	I used a discount coupon.	この 商品[しょうひん]は 割引[わりびき]できません。	This item cannot be discounted.	〜割引（学生割引）／割引になる	二割引 = 20% off (割 = 10%). 学割 = student discount (abbreviation).	N3 batch2 day6 noun
計算	144	計算[けいさん]	けいさん	verb	noun / suru-verb	calculation	हिसाब; गणना	合計[ごうけい]を 計算[けいさん]してください。	Please calculate the total.	計算[けいさん]が 合[あ]わない。	The numbers do not add up.	彼女[かのじょ]は 計算[けいさん]が 速[はや]い。	She is quick at arithmetic.	Aを計算する／計算が合う・速い	計算に入れる = take into account. 暗算 = mental arithmetic.	N3 batch2 day6 verb
貯金	145	貯金[ちょきん]	ちょきん	verb	noun / suru-verb	savings; saving money	बचत	毎月[まいつき] 三万円[さんまんえん] 貯金[ちょきん]している。	I save 30,000 yen every month.	貯金[ちょきん]が 少[すこ]しずつ 増[ふ]えてきた。	My savings have been growing little by little.	旅行[りょこう]のために 貯金[ちょきん]を 始[はじ]めた。	I started saving for a trip.	貯金する／貯金がある・増える	貯金 = savings; 預金 (よきん) = bank deposit (formal). Verb: 貯める.	N3 batch2 day6 verb
節約	146	節約[せつやく]	せつやく	verb	noun / suru-verb	saving; economizing	किफायत; खर्च घटाउनु	電気[でんき]を 節約[せつやく]しましょう。	Let us save electricity.	外食[がいしょく]を 減[へ]らして、 食費[しょくひ]を 節約[せつやく]している。	I am cutting eating out to economize on food costs.	時間[じかん]の 節約[せつやく]になる 方法[ほうほう]を 探[さが]している。	I am looking for ways to save time.	Aを節約する／〜の節約になる	節約 = using less; 貯金 = putting money aside. 節電・節水 = saving electricity/water.	N3 batch2 day6 verb
給料	147	給料[きゅうりょう]	きゅうりょう	noun	noun	salary; pay	तलब	給料[きゅうりょう]は 毎月[まいつき] 二十五日[にじゅうごにち]に 出[で]る。	Pay comes out on the 25th of each month.	給料[きゅうりょう]が 上[あ]がってうれしい。	I am happy my salary went up.	給料日[きゅうりょうび] 前[まえ]で、お 金[かね]がない。	It is just before payday and I have no money.	給料が出る・上がる／給料日	給料 = everyday word; 給与 = formal HR term. 月給/時給 = monthly/hourly pay.	N3 batch2 day6 noun
税金	148	税金[ぜいきん]	ぜいきん	noun	noun	tax	कर	給料[きゅうりょう]から 税金[ぜいきん]が 引[ひ]かれる。	Taxes are deducted from your salary.	税金[ぜいきん]の 使[つか]い 方[かた]に 関心[かんしん]がある。	I am interested in how taxes are used.	この 値段[ねだん]に 税金[ぜいきん]は 含[ふく]まれていますか。	Is tax included in this price?	税金を払う／税金が引かれる／税込・税抜	消費税 = consumption tax; 税込 = tax included. 〜税 suffix works widely.	N3 batch2 day6 noun
残業	149	残業[ざんぎょう]	ざんぎょう	verb	noun / suru-verb	overtime work	ओभरटाइम	今日[きょう]は 残業[ざんぎょう]で 帰[かえ]りが 遅[おそ]くなる。	I will be home late today because of overtime.	毎日[まいにち] 残業[ざんぎょう]するのは 体[からだ]に 良[よ]くない。	Working overtime every day is not good for your health.	残業代[ざんぎょうだい]はちゃんと 出[で]ますか。	Is overtime actually paid?	残業する／残業が多い／残業代	Japan-life essential. 定時 = regular closing time; 定時で帰る = leave on time.	N3 batch2 day6 verb
出張	150	出張[しゅっちょう]	しゅっちょう	verb	noun / suru-verb	business trip	कामको सिलसिलामा यात्रा	来週[らいしゅう]、 大阪[おおさか]に 出張[しゅっちょう]します。	I am going on a business trip to Osaka next week.	部長[ぶちょう]は 今[いま] 出張[しゅっちょう] 中[ちゅう]です。	The department head is away on business now.	出張[しゅっちょう]の 予定[よてい]が 急[きゅう]に 決[き]まった。	The business trip was suddenly decided.	Aに出張する／出張中	出張中 = away on business (phone phrase). 日帰り出張 = a day business trip.	N3 batch2 day6 verb
進める	151	進[すす]める	すすめる	verb	v1 transitive	to advance; to move forward (work, plans)	अघि बढाउनु	計画[けいかく]を 予定[よてい] 通[どお]りに 進[すす]めましょう。	Let us move the plan forward as scheduled.	準備[じゅんび]を 進[すす]めています。	We are proceeding with preparations.	話[はなし]を 先[さき]に 進[すす]めてもいいですか。	May I move the discussion forward?	Aを進める（計画・準備・話）	Homophone trap: 進める (advance) vs 勧める (recommend). Exam loves this pair.	N3 batch2 day7 verb
勧める	152	勧[すす]める	すすめる	verb	v1 transitive	to recommend; to encourage	सिफारिस गर्नु; सल्लाह दिनु	医者[いしゃ]に 運動[うんどう]を 勧[すす]められた。	The doctor recommended I exercise.	友達[ともだち]に 勧[すす]められた 本[ほん]を 読[よ]んでいる。	I am reading a book my friend recommended.	この 店[みせ]のカレーはお 勧[すす]めです。	The curry at this place is recommended.	AにBを勧める／お勧め	おすすめ on menus = house recommendation. See 進める note — same reading.	N3 batch2 day7 verb
加える	153	加[くわ]える	くわえる	verb	v1 transitive	to add	थप्नु	スープに 塩[しお]を 少[すこ]し 加[くわ]えてください。	Please add a little salt to the soup.	リストに 名前[なまえ]を 加[くわ]えた。	I added a name to the list.	説明[せつめい]を 付[つ]け 加[くわ]えます。	I will add an explanation.	AにBを加える／付け加える	加える (vt) ↔ 加わる (vi). 〜に加えて = in addition to (N3 grammar).	N3 batch2 day7 verb
