"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"眠","sleep, sleepy","निद्रा","N3","ミン","ねむ・る / ねむ・い","眠[ねむ]い — sleepy — निद्रा लागेको<br>眠[ねむ]る — to sleep, be asleep — सुत्नु<br>睡眠[すいみん] — sleep — निद्रा<br>居眠[いねむ]り — dozing off — बसीबसी निदाउनु","昨夜[ゆうべ] あまり 眠[ねむ]れなかった。","I couldn't sleep well last night.","हिजो राति राम्ररी सुत्न सकिनँ।","目 + 民 (eyes closing as the people fall asleep)","民 (みん, people) — 眠 is 民 with 目; 眼 (め) = 目 + 艮","Which kanji means 'sleep'? あまり＿れなかった","眼 / 眠 / 民","眠","眠 = 目 + 民 (eyes closed). 民 alone = people (国民). 眼 = 目 + 艮 (眼鏡).","N3 kanji batch3 vocab_linked kanji_day19 verb adj confusable"
"寝","lie down, go to bed","सुत्नु","N3","シン","ね・る / ね・かす","寝[ね]る — to go to bed, lie down — सुत्नु<br>寝坊[ねぼう] — oversleeping — ढिलो उठ्नु<br>昼寝[ひるね] — nap — दिउँसोको निद्रा<br>寝室[しんしつ] — bedroom — सुत्ने कोठा","昨日[きのう]は 十二時[じゅうにじ]に 寝[ね]た。","I went to bed at twelve yesterday.","हिजो बाह्र बजे सुतेँ।","宀 + 爿 + ⺕ + 又 (lying on a bed under a roof to sleep)","眠[ねむ]る = be asleep; 寝[ね]る = lie down / go to bed","","","","","N3 kanji batch3 vocab_linked kanji_day19 verb"
"忘","forget","बिर्सनु","N3","ボウ","わす・れる","忘[わす]れる — to forget — बिर्सनु<br>忘[わす]れ 物[もの] — forgotten item — बिर्सेको सामान<br>忘年会[ぼうねんかい] — year-end party — वर्षान्त पार्टी","傘[かさ]を 電車[でんしゃ]に 忘[わす]れてしまった。","I left my umbrella on the train.","छाता रेलमा बिर्सेँ।","亡 + 心 (a thought perishes from the heart)","忙 (いそが・しい) = 忄 + 亡 — same parts, different arrangement; 亡 (な・くなる)","Which kanji means 'forget'? 傘を＿れた","忙 / 亡 / 忘","忘","忘 has 心 underneath 亡 — forget. 忙 has 忄 beside 亡 — busy (忙しい). 亡 alone = die / lose.","N3 kanji batch3 vocab_linked kanji_day19 verb confusable"
"慣","get used to","बानी पर्नु","N3","カン","な・れる / な・らす","慣[な]れる — to get used to — बानी पर्नु<br>習慣[しゅうかん] — habit, custom — बानी<br>慣[な]れ — familiarity, being used to — बानी","日本[にほん]の 生活[せいかつ]にも だいぶ 慣[な]れてきた。","I've gotten quite used to life in Japan.","जापानको जीवनमा निकै बानी परिसक्यो।","忄 + 貫 (piercing a habit into the heart until accustomed)","貫 (つらぬ・く) — 慣 without 忄","","","","","N3 kanji batch3 vocab_linked kanji_day19 verb"
"覚","remember; wake; sense","सम्झनु; ब्युँझनु","N3","カク","おぼ・える / さ・める","覚[おぼ]える — to memorize, remember — कण्ठ गर्नु, सम्झनु<br>目[め]が 覚[さ]める — to wake up — ब्युँझनु<br>感覚[かんかく] — sense, feeling — अनुभूति<br>自覚[じかく] — self-awareness — आत्मबोध","新[あたら]しい 単語[たんご]を 毎日[まいにち] 二十[にじゅう] 覚[おぼ]える。","I memorize twenty new words every day.","हरेक दिन बीसवटा नयाँ शब्द कण्ठ गर्छु।","⺍ + 冖 + 見 (seeing clearly under a crown as senses awaken)","学 (まな・ぶ) — same top, but 子 underneath instead of 見","Which kanji means 'remember / perceive'? 単語を＿える","党 / 覚 / 学","覚","覚 has 見 (see) underneath — perceiving. 学 has 子 — study. 党 has 兄 — political party.","N3 kanji batch3 vocab_linked kanji_day19 verb confusable"
"汚","dirty","फोहोर","N3","オ","きたな・い / よご・れる / よご・す","汚[きたな]い — dirty — फोहोर<br>汚[よご]れる — to get dirty — फोहोर हुनु<br>汚[よご]す — to make dirty — फोहोर पार्नु<br>汚染[おせん] — pollution — प्रदूषण","白[しろ]い シャツが 泥[どろ]で 汚[よご]れた。","The white shirt got dirty with mud.","सेतो सर्ट हिलोले फोहोर भयो।","氵 + 亏 (stagnant water turning dirty)","汗 (あせ, sweat) = 氵 + 干 — nearly identical","Which kanji means 'dirty'? シャツが＿れた","汚 / 汗 / 河","汚","汚 has a hooked bottom stroke (亏). 汗 has a straight 干. 河 has 可.","N3 kanji batch3 vocab_linked kanji_day20 adj verb confusable"
"洗","wash","धुनु","N3","セン","あら・う","洗[あら]う — to wash — धुनु<br>洗濯[せんたく] — laundry — कपडा धुने<br>洗面所[せんめんじょ] — washroom — हात-मुख धुने ठाउँ<br>手洗[てあら]い — washing hands; restroom — हात धुने; शौचालय","食事[しょくじ]の 前[まえ]に 手[て]を 洗[あら]いなさい。","Wash your hands before eating.","खानुअघि हात धोऊ।","氵 + 先 (putting hands first into water to wash)","先 (さき) — 洗 is 先 with 氵","","","","","N3 kanji batch3 vocab_linked kanji_day20 verb"
"汗","sweat","पसिना","N3","カン","あせ","汗[あせ] — sweat — पसिना<br>汗[あせ]を かく — to sweat — पसिना आउनु<br>冷[ひ]や 汗[あせ] — cold sweat — चिसो पसिना","走[はし]ったので 汗[あせ]を たくさん かいた。","I sweated a lot because I ran.","दौडेकाले धेरै पसिना आयो।","氵 + 干 (water drying on the skin as sweat)","汚 (きたな・い) = 氵 + 亏; 干 (ほ・す, dry)","Which kanji means 'sweat'? ＿をかく","汚 / 汗 / 干","汗","汗 = 氵 + 干 (straight vertical). 汚 has a hooked bottom (亏). 干 alone = dry (干す).","N3 kanji batch3 vocab_linked kanji_day20 noun confusable"
"押","push, press","थिच्नु","N3","オウ","お・す / お・さえる","押[お]す — to push, press — थिच्नु, धकेल्नु<br>押[お]さえる — to hold down; to keep in check — थिचेर राख्नु<br>押[お]し 入[い]れ — closet — भित्ते दराज","この ボタンを 押[お]すと ドアが 開[あ]く。","If you press this button, the door opens.","यो बटन थिचे ढोका खुल्छ।","扌 + 甲 (pressing a hand firmly against an armored shell)","引 (ひ・く, pull) — the opposite on doors; 伸 (の・びる) = 亻 + 申","","","","","N3 kanji batch3 vocab_linked kanji_day20 verb"
"引","pull; draw","तान्नु","N3","イン","ひ・く / ひ・ける","引[ひ]く — to pull; to look up (dictionary); to catch (a cold) — तान्नु<br>引[ひ]っ 越[こ]す — to move house — घर सर्नु<br>割引[わりびき] — discount — छुट<br>引[ひ]き 出[だ]す — to withdraw (money); to pull out — (पैसा) निकाल्नु<br>引退[いんたい] — retirement — सेवानिवृत्ति","風邪[かぜ]を 引[ひ]いて 会社[かいしゃ]を 休[やす]んだ。","I caught a cold and took the day off.","रुघा लागेर अफिस बिदा लिएँ।","弓 + 丨 (drawing back the string of a bow to pull)","弓 (ゆみ, bow); 強 (つよ・い) = 弓 + 虽","","","","","N3 kanji batch3 vocab_linked kanji_day20 verb"
"抜","pull out; skip; surpass","निकाल्नु; छोड्नु","N3","バツ","ぬ・く / ぬ・ける","抜[ぬ]く — to pull out; to skip; to overtake — निकाल्नु, छोड्नु<br>抜[ぬ]ける — to come out; to be missing — निस्कनु; छुट्नु<br>手[て]を 抜[ぬ]く — to cut corners — अल्छी गर्नु<br>追[お]い 抜[ぬ]く — to overtake — उछिन्नु","朝[あさ]ご 飯[はん]を 抜[ぬ]くのは 体[からだ]に 良[よ]くない。","Skipping breakfast is bad for you.","बिहानको खाना छोड्नु शरीरका लागि राम्रो होइन।","扌 + 友 (a hand reaching out to pull a friend out)","友 (とも); 技 (わざ) = 扌 + 支","","","","","N3 kanji batch3 vocab_linked kanji_day21 verb"
"折","fold; break (snap)","पट्याउनु; भाँच्नु","N3","セツ","お・る / お・れる","折[お]る — to fold; to break (a bone/stick) — पट्याउनु; भाँच्नु<br>折[お]れる — to snap, break — भाँचिनु<br>折[お]り 紙[がみ] — origami — कागज पट्याउने कला<br>骨折[こっせつ] — bone fracture — हड्डी भाँचिनु","転[ころ]んで 足[あし]の 骨[ほね]を 折[お]った。","I fell and broke a bone in my leg.","लडेर खुट्टाको हड्डी भाँचियो।","扌 + 斤 (a hand using an axe to snap and fold wood)","断 (ことわ・る) also has 斤 on the right","","","","","N3 kanji batch3 vocab_linked kanji_day21 verb"
"抱","hold, embrace","अँगालो हाल्नु, बोक्नु","N3","ホウ","だ・く / かか・える / いだ・く","抱[だ]く — to hold in one's arms, hug — अँगालो हाल्नु<br>抱[かか]える — to carry in arms; to have (a problem) — बोक्नु; (समस्या) हुनु<br>抱[いだ]く — to hold (a feeling, a dream) — (भावना) राख्नु","彼[かれ]は 大[おお]きな 問題[もんだい]を 抱[かか]えている。","He has a big problem on his hands.","उससँग ठूलो समस्या छ।","扌 + 包 (hands wrapping around someone to embrace)","包 (つつ・む, wrap); 泡 (あわ, bubble) = 氵 + 包","","","","","N3 kanji batch3 vocab_linked kanji_day21 verb"
"捨","throw away","फाल्नु","N3","シャ","す・てる","捨[す]てる — to throw away — फाल्नु<br>ごみを 捨[す]てる — to throw out garbage — फोहोर फाल्नु<br>見捨[みす]てる — to abandon — त्याग्नु<br>四捨五入[ししゃごにゅう] — rounding off — राउन्ड गर्ने","ここに ごみを 捨[す]てないでください。","Please don't throw garbage here.","यहाँ फोहोर नफाल्नुहोस्।","扌 + 舎 (using hands to throw away trash outside the cottage)","拾 (ひろ・う, pick up) = 扌 + 合 — the opposite, and it looks alike","Which kanji means 'throw away'? ごみを＿てる","舎 / 拾 / 捨","捨","捨 has 舎 on the right — throw away. 拾 has 合 on the right — pick up. Opposites that look similar.","N3 kanji batch3 vocab_linked kanji_day21 verb confusable"
"拾","pick up","टिप्नु","N3","シュウ","ひろ・う","拾[ひろ]う — to pick up — टिप्नु<br>拾[ひろ]い 物[もの] — found item — भेटिएको सामान<br>タクシーを 拾[ひろ]う — to hail a taxi — ट्याक्सी लिनु","道[みち]で 財布[さいふ]を 拾[ひろ]って 交番[こうばん]に 届[とど]けた。","I found a wallet on the street and took it to the police box.","बाटोमा पर्स भेटेर पुलिस चौकीमा बुझाएँ।","扌 + 合 (hands coming together to pick up an item)","捨 (す・てる) = 扌 + 舎","Which kanji means 'pick up'? 財布を＿った","給 / 捨 / 拾","拾","拾 = 扌 + 合 — pick up. 捨 = 扌 + 舎 — throw away. 給 = 糸 + 合 (給料).","N3 kanji batch3 vocab_linked kanji_day21 verb confusable"
"渡","cross; hand over","पार गर्नु; दिनु","N3","ト","わた・る / わた・す","渡[わた]る — to cross — पार गर्नु<br>渡[わた]す — to hand over — दिनु, हस्तान्तरण गर्नु<br>手渡[てわた]す — to hand directly — हातमा दिनु","この 書類[しょるい]を 田中[たなか]さんに 渡[わた]してください。","Please hand this document to Tanaka.","यो कागजात तानाकाजीलाई दिनुहोस्।","氵 + 度 (measuring water depth to cross over)","度 (ど) — 渡 is 度 with 氵","Which kanji means 'cross / hand over'? 書類を＿す","渡 / 度 / 席","渡","渡 has 氵 — crossing water. 度 alone = degree / times (一度). 席 has 巾 underneath (座席).","N3 kanji batch3 vocab_linked kanji_day22 verb confusable"
"遅","late; slow","ढिलो","N3","チ","おそ・い / おく・れる","遅[おそ]い — late; slow — ढिलो<br>遅[おく]れる — to be late, delayed — ढिलो हुनु<br>遅刻[ちこく] — lateness — ढिलो आउनु<br>手遅[ておく]れ — too late — धेरै ढिलो","電車[でんしゃ]が 遅[おく]れて 会議[かいぎ]に 遅刻[ちこく]した。","The train was delayed and I was late for the meeting.","रेल ढिलो भएर बैठकमा ढिलो पुगेँ।","辶 + 犀 (moving slowly along the road like a heavy rhinoceros)","屋 (や) has a similar 尸 top","","","","","N3 kanji batch3 vocab_linked kanji_day22 adj verb"
"倒","fall over, collapse","ढल्नु","N3","トウ","たお・れる / たお・す","倒[たお]れる — to fall over, collapse — ढल्नु<br>倒[たお]す — to knock down — ढाल्नु<br>面倒[めんどう] — trouble, bother — झन्झट<br>倒産[とうさん] — bankruptcy — दिवालिया","台風[たいふう]で 木[き]が 倒[たお]れた。","A tree fell over in the typhoon.","आँधीले रूख ढल्यो।","亻 + 到 (a person who reaches their limit and collapses)","到 (とう, arrive) = 至 + 刂 — 倒 is 到 with 亻","Which kanji means 'fall over'? 木が＿れた","到 / 倒 / 至","倒","倒 has 亻 — a person falling. 到 without 亻 = arrive (到着). 至 = reach.","N3 kanji batch3 vocab_linked kanji_day22 verb confusable"
"迷","lost; hesitate","हराउनु; अलमलिनु","N3","メイ","まよ・う","迷[まよ]う — to get lost; to hesitate — हराउनु; अलमलिनु<br>迷惑[めいわく] — nuisance, trouble — झन्झट<br>迷子[まいご] — lost child — हराएको बच्चा","どちらを 買[か]うか 迷[まよ]っている。","I can't decide which one to buy.","कुन किन्ने भन्नेमा अलमलमा छु।","辶 + 米 (grains of rice scattered on a road make you lose your way)","米 (こめ) — 迷 is 米 with 辶; 送 (おく・る)","","","","","N3 kanji batch3 vocab_linked kanji_day22 verb"
"到","arrive, reach","पुग्नु","N3","トウ","—","到着[とうちゃく] — arrival — आगमन<br>到達[とうたつ] — reaching, attainment — पुग्नु<br>到底[とうてい] — (not) possibly — कुनै पनि हालतमा (छैन)","飛行機[ひこうき]は 予定[よてい]より 三十分[さんじゅっぷん] 遅[おく]れて 到着[とうちゃく]した。","The plane arrived thirty minutes behind schedule.","विमान तालिकाभन्दा तीस मिनेट ढिलो आइपुग्यो।","至 + 刂 (a sword arriving precisely at its destination)","倒 (たお・れる) = 亻 + 到","","","","","N3 kanji batch3 vocab_linked kanji_day22 noun"
"込","crowded; put into","भीड; भित्र","N3","—","こ・む / こ・める","込[こ]む — to be crowded — भीड हुनु<br>申[もう]し 込[こ]む — to apply — आवेदन दिनु<br>振[ふ]り 込[こ]む — to transfer (bank) — बैंक ट्रान्सफर गर्नु<br>込[こ]める — to put (feeling) into — (भावना) राख्नु","朝[あさ]の 電車[でんしゃ]は いつも 込[こ]んでいる。","The morning train is always crowded.","बिहानको रेलमा सधैँ भीड हुन्छ।","辶 + 入 (walking straight into a crowded space)","入 (はい・る) — 込 is 入 with 辶","","","","","N3 kanji batch3 vocab_linked kanji_day23 verb"
"掛","hang; apply; take (time)","झुन्ड्याउनु; लाग्नु","N3","—","か・ける / か・かる","掛[か]ける — to hang; to put on (glasses); to make (a call) — झुन्ड्याउनु; लगाउनु<br>掛[か]かる — to hang; to take (time/money) — लाग्नु<br>腰掛[こしか]ける — to sit down — बस्नु<br>出[で] 掛[か]ける — to go out — बाहिर जानु","コートを ハンガーに 掛[か]けてください。","Please hang your coat on the hanger.","कोट ह्याङ्गरमा झुन्ड्याउनुहोस्।","扌 + 圭 + 卜 (a hand hanging a tablet on a divination post)","街 (まち) shares 圭","","","","","N3 kanji batch3 vocab_linked kanji_day23 verb"
"替","exchange, replace","साट्नु","N3","タイ","か・える / か・わる","着替[きが]える — to change clothes — कपडा फेर्नु<br>両替[りょうがえ] — currency exchange — पैसा साट्ने<br>取[と]り 替[か]える — to replace — साट्नु<br>替[か]わる — to be replaced — साटिनु","空港[くうこう]で 円[えん]を ドルに 両替[りょうがえ]した。","I exchanged yen for dollars at the airport.","विमानस्थलमा येन डलरमा साटेँ।","夫 + 夫 + 日 (two men taking turns replacing each other day by day)","変[か]える (change nature) / 代[か]える (substitute) / 替[か]える (swap) — all read かえる","Which かえる is 'swap for an equivalent'? 円をドルに＿える","変 / 代 / 替","替","替 = swap one thing for an equivalent (両替, 着替え). 変 = change in nature (変化). 代 = substitute on behalf of (代わりに).","N3 kanji batch3 vocab_linked kanji_day23 verb confusable"
"頼","request; rely","अनुरोध; भर पर्नु","N3","ライ","たの・む / たよ・る","頼[たの]む — to ask, request — अनुरोध गर्नु<br>頼[たよ]る — to rely on — भर पर्नु<br>依頼[いらい] — request (formal) — अनुरोध<br>信頼[しんらい] — trust — भरोसा","友達[ともだち]に 引[ひ]っ 越[こ]しの 手伝[てつだ]いを 頼[たの]んだ。","I asked a friend to help me move.","साथीलाई घर सर्न सघाउन भनेँ।","束 + 頁 (carrying a bundle on one's head, relying on others to help)","願 (ねが・う) also ends in 頁; 束 (たば)","","","","","N3 kanji batch3 vocab_linked kanji_day23 verb"
"逆","reverse, opposite","उल्टो","N3","ギャク","さか / さか・らう","逆[ぎゃく] — reverse, opposite — उल्टो<br>逆[ぎゃく]に — conversely — उल्टै<br>逆[さか]らう — to go against — विरोध गर्नु<br>逆転[ぎゃくてん] — reversal — उल्टो हुनु","地図[ちず]を 逆[ぎゃく]に 見[み]ていた。","I was looking at the map upside down.","नक्सा उल्टो हेरिरहेको थिएँ।","辶 + 屰 (an upside-down person walking in the reverse direction)","","","","","","N3 kanji batch3 vocab_linked kanji_day23 noun"
"幸","happiness, luck","खुसी, भाग्य","N3","コウ","さいわ・い / しあわ・せ","幸[しあわ]せ — happiness — खुसी<br>幸福[こうふく] — happiness (formal) — सुख<br>幸運[こううん] — good luck — भाग्य<br>幸[さいわ]い — fortunately — भाग्यवश","家族[かぞく]と 過[す]ごす 時間[じかん]が 一番[いちばん] 幸[しあわ]せだ。","Time spent with family is the happiest.","परिवारसँग बिताएको समय सबैभन्दा खुसीको हो।","土 + ￥ (finding wealth buried in the earth brings happiness and luck)","辛 (から・い, spicy / hard) — one stroke different; 達 has 幸 inside","Which kanji means 'happiness'? ＿せ","辛 / 苦 / 幸","幸","幸 has 土 on top. 辛 has 立 on top — spicy / painful (辛い). One stroke separates them. 苦 = suffering.","N3 kanji batch3 vocab_linked kanji_day24 noun adj confusable"
"昔","long ago","उहिले","N3","セキ","むかし","昔[むかし] — long ago, old days — उहिले<br>昔話[むかしばなし] — old tale — पुरानो कथा<br>大昔[おおむかし] — ancient times — धेरै पहिले","昔[むかし]は この 辺[へん]に 何[なに]も なかった。","Long ago there was nothing around here.","उहिले यो वरिपरि केही थिएन।","廿 + 日 (twenty suns and days passed, referring to long ago)","借 (か・りる) = 亻 + 昔; 惜 (お・しい) = 忄 + 昔","Which kanji means 'long ago'? ＿はここに何もなかった","惜 / 借 / 昔","昔","昔 is bare — old days. 借 has 亻 — borrow (借りる). 惜 has 忄 — regrettable (惜しい).","N3 kanji batch3 vocab_linked kanji_day24 noun confusable"
"若","young; if","जवान; यदि","N3","ジャク","わか・い / も・し","若[わか]い — young — जवान<br>若者[わかもの] — young people — युवा<br>若[も]し — if — यदि<br>若手[わかて] — young (staff) — जवान कर्मचारी","若[わか]いうちに いろいろな 経験[けいけん]を したほうがいい。","You should have many experiences while you're young.","जवान हुँदै विभिन्न अनुभव गर्नु राम्रो।","艹 + 右 (young sprouts picked by hand on the right)","右 (みぎ); 苦 (くる・しい) = 艹 + 古","Which kanji means 'young'? ＿い","若 / 苦 / 右","若","若 = 艹 + 右. 苦 = 艹 + 古 — suffering (苦しい). 右 = right.","N3 kanji batch3 vocab_linked kanji_day24 adj confusable"
"老","old age","बुढ्यौली","N3","ロウ","お・いる / ふ・ける","老人[ろうじん] — elderly person — वृद्ध<br>老[お]いる — to grow old — बूढो हुनु<br>老後[ろうご] — one's old age — बुढेसकाल","日本[にほん]では 老人[ろうじん]の 数[かず]が 増[ふ]えている。","The number of elderly people in Japan is increasing.","जापानमा वृद्धको सङ्ख्या बढिरहेको छ।","耂 + 匕 (an elder leaning on a cane in old age)","考 (かんが・える) = 耂 + 丂; 者 (もの) = 耂 + 日","Which kanji means 'old age'? ＿人","者 / 考 / 老","老","老 has 匕 underneath. 考 has 丂 (考える). 者 has 日 (person).","N3 kanji batch3 vocab_linked kanji_day24 noun confusable"
"命","life; order","जीवन; आदेश","N3","メイ / ミョウ","いのち","命[いのち] — life — जीवन, प्राण<br>生命[せいめい] — life (biological) — जीवन<br>命令[めいれい] — order, command — आदेश<br>一生懸命[いっしょうけんめい] — with all one's might — पूरा मेहनतले<br>運命[うんめい] — fate — नियति","医者[いしゃ]は 患者[かんじゃ]の 命[いのち]を 救[すく]った。","The doctor saved the patient's life.","डाक्टरले बिरामीको ज्यान बचाए।","亼 + 口 + 卩 (a leader giving an authoritative life-or-death order to a kneeling subject)","令 (れい) — 命 is 令 with 口; 冷 (つめ・たい) = 冫 + 令","Which kanji means 'life'? ＿を救う","令 / 冷 / 命","命","命 has 口 on the left under 人. 令 has no 口 (命令 uses both). 冷 has 冫 (冷たい).","N3 kanji batch3 vocab_linked kanji_day24 noun confusable"
