"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜ものだ（一般的な性質）","V-dict / い-adj / な-adj-な + ものだ; V-ない + ものではない","that's how ~ is; people generally ~ (a general truth or social norm)","… हुने नै हो / सामान्यतया … हुन्छ","人は誰でも失敗するものだ。","ひとは だれでも しっぱいする ものだ。","Everyone makes mistakes; that's how people are.","सबैले गल्ती गर्ने नै हो।","年を取ると、昔のことを思い出すものだ。","としを とると、むかしの ことを おもいだす ものだ。","As you age, you naturally recall the past.","उमेर बढेपछि पुराना कुरा सम्झिने नै हो।","人前でそんなことを言うものではない。","ひとまえで そんなことを いう もの ではない。","You shouldn't say such things in front of others.","अरूको अगाडि त्यस्तो कुरा भन्नुहुँदैन।","[general behaviour]ものだ ・ [V-dict]ものではない","States a general truth or a social norm applying to people at large. ものではない = one shouldn't. The nostalgic use (よく遊んだものだ) is a separate use.","もんだ (colloquial pronunciation)","ものだ ↔ ことだ","ものだ = a general truth for everyone; ことだ = advice to this particular listener","人は誰でも失敗する＿＿＿。","ものだ","人前でそんなことを言う＿＿＿＿＿。","A ものではない / B ことではない / C わけではない / D はずではない","A ものではない","A social norm about what one should not do.","C わけではない would partially deny a claim ('it's not that people say such things'), not state a norm against saying them.","Advice to one person who wants to pass. 合格したければ、毎日勉強する＿＿＿。","ことだ","ことだ fits because it gives advice to a specific listener after a conditional; ものだ would state a general truth about everyone, which 合格したければ does not set up. 勉強することだ / 人は失敗するものだ.","N3 grammar norm confusable"
"〜ものか","V-dict / い-adj / な-adj-な + ものか","as if ~!; I'll never ~ (emphatic refusal or denial)","… गर्ने कुरै छैन! (जोडदार अस्वीकार)","あんな店、二度と行くものか。","あんなみせ、にどと いく ものか。","I'll never go to that shop again.","त्यस्तो पसलमा फेरि जाने कुरै छैन।","彼の言うことなど、信じるものか。","かれの いうこと など、しんじる ものか。","As if I'd believe what he says.","उसको कुरा विश्वास गर्ने कुरै छैन।","こんな寒い日に泳ぐものか。","こんな さむい ひに およぐ ものか。","As if anyone would swim on a day this cold.","यस्तो चिसो दिनमा पौडने कुरै छैन।","[V-dict]ものか","Emphatic refusal or denial, spoken with feeling; not a real question. Mostly used about oneself.","もんか (colloquial); polite ものですか","ものか ↔ わけがない","ものか is the speaker's emotional refusal; わけがない is a reasoned denial of possibility","あんな店、二度と行く＿＿＿。","ものか","彼の言うことなど、信じる＿＿＿。","A ものか / B ものだ / C ことか / D はずだ","A ものか","An emphatic refusal to believe him.","B ものだ would state believing him as a general truth, the opposite of the refusal that など signals.","","","","N3 grammar refusal"
"〜ものだから","plain + ものだから (な-adj + な, N + な)","because ~ (excuse or explanation for something unexpected)","… भएकोले (बहाना / सफाइ)","道が混んでいたものだから、遅れてしまいました。","みちが こんで いた もの だから、おくれて しまいました。","The roads were jammed, which is why I'm late.","बाटो जाम थियो, त्यसैले ढिलो भयो।","あまりに安かったものだから、つい買ってしまった。","あまりに やすかった もの だから、つい かって しまった。","It was so cheap that I ended up buying it.","धेरै सस्तो थियो, त्यसैले किनिहालें।","急いでいたものですから、ご挨拶もせずに失礼しました。","いそいで いた もの ですから、ごあいさつも せずに しつれいしました。","I was in a hurry, so I left without saying hello — my apologies.","हतारमा थिएँ, त्यसैले अभिवादन नगरी गएँ, माफ गर्नुहोला।","[cause]ものだから、[unintended result]","Explains or excuses something the speaker did or that happened, often with つい / しまう. Not for planned actions.","もんだから; polite ものですから","ものだから ↔ から","used for excuses and unintended results; unnatural for a deliberate plan (×安いものだから買う予定だ)","道が混んでいた＿＿＿＿＿、遅れてしまいました。","ものだから","あまりに安かった＿＿＿＿＿、つい買ってしまった。","A ものだから / B ものなら / C ものの / D ものか","A ものだから","An excuse for an unintended purchase, signalled by つい.","D ものか would be an emphatic refusal ('as if I'd buy it'), contradicting 買ってしまった.","","","","N3 grammar excuse"
"〜っけ","plain past / です・ます past + っけ (だ + っけ for nouns)","what was it again? (checking a half-remembered fact)","के थियो नि? (बिर्सिएको कुरा सोध्दा)","会議は何時からだっけ。","かいぎは なんじからだっけ。","What time was the meeting again?","बैठक कति बजेदेखि थियो नि?","彼の名前、何て言ったっけ。","かれの なまえ、なんて いったっけ。","What was his name again?","उसको नाम के थियो नि?","明日は休みでしたっけ。","あしたは やすみ でしたっけ。","Tomorrow was a day off, wasn't it?","भोलि बिदा थियो होइन?","[half-remembered fact]っけ","Asks the listener, or oneself, to confirm something once known but now hazy. Casual; でしたっけ is the polite form.","this is itself the colloquial form; not used in writing","っけ ↔ でしょう","used only for things you once knew and forgot; not for new information (×これは何っけ about an unknown object)","会議は何時から＿＿＿。","だっけ","明日は休みでし＿＿＿。","A たっけ / B ましょう / C そうだ / D ものか","A たっけ","Politely checking a fact you half remember.","B ましょう proposes doing something together, which cannot confirm whether tomorrow is a day off.","","","","N3 grammar question"
"〜させてもらう／させていただく","V-causative + てもらう / ていただく","let me ~ (humbly asking or announcing that you will do something)","… गर्न पाऊँ / अनुमति लिएर … गर्छु","すみませんが、今日は早く帰らせてもらいます。","すみませんが、きょうは はやく かえらせて もらいます。","Excuse me, but I'll be leaving early today.","माफ गर्नुहोला, आज चाँडै फर्कन्छु।","この件については、後日ご説明させていただきます。","このけんに ついては、ごじつ ごせつめい させて いただきます。","Allow me to explain this matter at a later date.","यो विषयबारे पछि व्याख्या गर्न पाऊँ।","写真を撮らせていただいてもよろしいですか。","しゃしんを とらせて いただいても よろしい ですか。","May I take a photo?","फोटो खिच्न पाऊँ कि?","[V-causative]ていただきます / てもよろしいですか","Humble form: you present your own action as something permitted by the listener. Used in business and service situations.","させてもらう is the plain-polite level; させていただく is humble","させてもらう ↔ てもらう","the causative marks YOUR action done with permission; てもらう marks the OTHER person's action done for you","すみませんが、今日は早く帰ら＿＿＿＿＿＿。","せてもらいます","この件については、後日ご説明さ＿＿＿＿＿＿＿。","A せていただきます / B せてもらえます / C れていただきます / D せられます","A せていただきます","The speaker will explain, framed humbly as permitted by the listener.","D 説明させられます is the causative-passive ('I am made to explain'), which turns a polite offer into a complaint about being forced.","Someone else does something for your benefit. 友達に空港まで送っ＿＿＿＿。","てもらった","てもらう fits because the friend performs the action for you; させてもらう would mean you did the driving with their permission, reversing who acts. 送ってもらった / 車を使わせてもらった.","N3 grammar humble confusable"
"〜てもかまわない","V-て / い-adj-くて / な-adj-で / N-で + もかまわない","it's fine to ~; I don't mind if ~","… गरे पनि हुन्छ / फरक पर्दैन","ここに座ってもかまいませんか。","ここに すわっても かまいません か。","Do you mind if I sit here?","यहाँ बसे हुन्छ?","鉛筆で書いてもかまいません。","えんぴつで かいても かまいません。","Writing in pencil is fine.","सिसाकलमले लेखे पनि हुन्छ।","少し高くてもかまわないので、質のいいものがほしい。","すこし たかくても かまわない ので、しつの いい ものが ほしい。","I don't mind if it's a bit expensive; I want something of good quality.","अलि महँगो भए पनि फरक पर्दैन, गुणस्तरीय चाहियो।","[V-て]もかまわない / かまいませんか","Grants or requests permission with the sense 'no objection'; slightly more formal than てもいい.","same; casual てもいい","てもかまわない ↔ なくてもいい","てもかまわない = doing it is acceptable; なくてもいい = not doing it is acceptable","ここに座って＿＿＿＿＿＿か。","もかまいません","鉛筆で書いて＿＿＿＿＿＿。","A もかまいません / B はいけません / C もしかたがない / D ばかりです","A もかまいません","Grants permission to use pencil.","B てはいけません forbids it, the opposite of the permission the sentence gives.","","","","N3 grammar permission"
"〜てほしい","V-て + ほしい; V-ないで + ほしい","I want you to ~ (a request directed at someone else)","म चाहन्छु कि तपाईंले … गर्नुहोस्","もう少し静かにしてほしい。","もう すこし しずかに して ほしい。","I'd like you to be a bit quieter.","अलि शान्त होस् भन्ने चाहन्छु।","君にはこの仕事を続けてほしい。","きみには このしごとを つづけて ほしい。","I want you to stay on this job.","तिमीले यो काम जारी राख भन्ने चाहन्छु।","私のことは心配しないでほしい。","わたしの ことは しんぱいしないで ほしい。","I don't want you to worry about me.","मेरो चिन्ता नगर भन्ने चाहन्छु।","[person]に [V-て]ほしい","The speaker wants someone else to act; the person acted upon is marked with に. Direct, so soften it in polite contexts (てほしいんですが).","same","てほしい ↔ たい","てほしい = you want ANOTHER person to act; たい = you want to act yourself","もう少し静かにして＿＿＿。","ほしい","君にはこの仕事を続けて＿＿＿。","A ほしい / B たい / C みたい / D らしい","A ほしい","君には marks the other person as the one who should act.","B 続けたい would express the speaker's own wish to continue, but 君には assigns the action to the listener.","","","","N3 grammar request"
"〜かどうか","plain + かどうか (な-adj / N drop だ)","whether or not ~","… हो कि होइन","彼が来るかどうか、まだわからない。","かれが くるか どうか、まだ わからない。","I still don't know whether he's coming.","ऊ आउँछ कि आउँदैन, अझै थाहा छैन।","この情報が正しいかどうか、確認してください。","このじょうほうが ただしいか どうか、かくにんして ください。","Please check whether this information is correct.","यो जानकारी सही हो कि होइन, जाँच्नुहोस्।","参加できるかどうか、明日までにお知らせします。","さんかできるか どうか、あしたまでに おしらせします。","I'll let you know by tomorrow whether I can attend.","सहभागी हुन सक्छु कि सक्दिनँ, भोलिसम्म खबर गर्छु।","[plain]かどうか、[わかる／確認する／知らせる]","Embeds a yes-no question inside a larger sentence; the main verb is one of knowing, checking, deciding, or telling. With a question word, use just か (どこに行くか).","same","かどうか ↔ か (with question word)","かどうか only for yes-no questions; with 何・どこ・誰 use plain か (×何を買うかどうか)","彼が来る＿＿＿＿、まだわからない。","かどうか","この情報が正しい＿＿＿＿、確認してください。","A かどうか / B かどうかに / C のかどうかを / D どうか","A かどうか","A yes-no question embedded under 確認する.","D どうか alone is not the embedding form; the か is required to mark the embedded question.","Embedding a question that already has a question word. どこで買った＿、教えてください。","か","Plain か fits because どこで already makes it a question and かどうか only embeds yes-no questions; どこで買ったかどうか is ungrammatical. どこで買ったか / 買ったかどうか.","N3 grammar embedding confusable"
"〜ざるを得ない","V-ない stem + ざるを得ない (する → せざるを得ない)","have no choice but to ~ (unwillingly)","बाध्य भएर … गर्नुपर्छ","台風のため、イベントは中止せざるを得なかった。","たいふうの ため、イベントは ちゅうしせざるを えなかった。","Because of the typhoon, we had no choice but to cancel the event.","आँधीका कारण कार्यक्रम रद्द गर्नै पर्‍यो।","上司の命令なので、従わざるを得ない。","じょうしの めいれいな ので、したがわざるを えない。","It's my boss's order, so I have no choice but to obey.","हाकिमको आदेश भएकाले मान्नै पर्छ।","証拠がある以上、認めざるを得ない。","しょうこが ある いじょう、みとめざるを えない。","Given that there's evidence, I have to admit it.","प्रमाण भएपछि स्वीकार्नै पर्छ।","[external pressure]ので、[V-ざる]を得ない","External circumstances force the action against the speaker's wishes; formal and written. する becomes せざる.","speech uses しかない","ざるを得ない ↔ しかない","する → せざるを得ない, never しざる; the force is external, not a personal choice among options","台風のため、イベントは中止＿＿＿＿＿＿＿。","せざるを得なかった","上司の命令なので、従わ＿＿＿＿＿＿。","A ざるを得ない / B ないことはない / C ようがない / D てはならない","A ざるを得ない","An order from above leaves no room to refuse.","C ようがない would say there is no method of obeying, but an order is perfectly possible to obey — the issue is that refusing is not an option.","","","","N3 grammar obligation"
"〜も〜ば〜も","N + も + V-ば / い-adj-ければ + N + も","not only ~ but also ~ (listing two parallel points)","… पनि … , … पनि (दुवै कुरा)","彼は英語も話せば、中国語も話せる。","かれは えいごも はなせば、ちゅうごくごも はなせる。","He speaks English and Chinese too.","उसले अंग्रेजी पनि बोल्छ, चिनियाँ पनि बोल्छ।","あの店は値段も安ければ、味もいい。","あのみせは ねだんも やすければ、あじも いい。","That shop is cheap and the food is good too.","त्यो पसल सस्तो पनि छ, स्वाद पनि राम्रो छ।","彼女は仕事もできれば、人柄もいい。","かのじょは しごとも できれば、ひとがらも いい。","She's good at her job and a good person too.","उनी काममा पनि सक्षम छिन्, स्वभाव पनि राम्रो छ।","[A]も[V-ば]、[B]も[V]","Lists two facts of the same polarity about one subject; both clauses take も. Distinct from ば〜ほど.","same","も〜ば〜も ↔ ば〜ほど","the two halves are DIFFERENT items, each with も; ば〜ほど repeats the SAME word for a proportional increase","彼は英語も話せ＿、中国語も話せる。","ば","あの店は値段も安けれ＿、味もいい。","A ば / B ほど / C ても / D たら","A ば","Two separate qualities listed, each marked with も.","B ほど needs the same word repeated for a proportional relation (安ければ安いほど), but 値段 and 味 are different items.","","","","N3 grammar addition"
