"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"届","reach; deliver, report","पुग्नु, पुर्‍याउनु","N3","—","とど・く / とど・ける","届[とど]く — to arrive, reach — पुग्नु<br>届[とど]ける — to deliver; to report (to an office) — पुर्‍याउनु<br>届[とど]け — notification form — सूचना पत्र","昨日[きのう] 注文[ちゅうもん]した 本[ほん]が 届[とど]いた。","The book I ordered yesterday arrived.","हिजो अर्डर गरेको किताब आइपुग्यो।","尸 + 由 (a person 尸 with a clear reason/route 由 to deliver a report)","屈 (くつ, bend) = 尸 + 出","","","","","N3 kanji batch1 vocab_linked kanji_day3 verb"
"迎","welcome, go to meet","स्वागत, लिन जानु","N3","ゲイ","むか・える","迎[むか]える — to welcome, go to meet — स्वागत गर्नु, लिन जानु<br>迎[むか]え — pick-up — लिन जाने काम<br>歓迎[かんげい] — welcome — स्वागत","駅[えき]まで 友達[ともだち]を 迎[むか]えに 行[い]った。","I went to the station to pick up my friend.","साथीलाई लिन स्टेसनसम्म गएँ।","辶 + 卬 (advancing along the road 辶 looking up 卬 to welcome a guest)","仰 (あお・ぐ, look up) = 亻 + 卬","","","","","N3 kanji batch1 vocab_linked kanji_day3 verb"
"壊","break, destroy","बिगार्नु, बिग्रनु","N3","カイ","こわ・す / こわ・れる","壊[こわ]れる — to break (intr.) — बिग्रनु<br>壊[こわ]す — to break (tr.) — बिगार्नु<br>破壊[はかい] — destruction — विनाश","スマホを 落[お]として 壊[こわ]してしまった。","I dropped my phone and broke it.","फोन खसाएर बिगारेँ।","土 + 褱 (earth 土 crumbling inside pocketed garments 褱 → break, destroy)","懐 (なつ・かしい, nostalgic) = 忄 + 褱","","","","","N3 kanji batch1 vocab_linked kanji_day3 verb"
"結","tie; conclude","बाँध्नु; निष्कर्ष","N3","ケツ","むす・ぶ","結[むす]ぶ — to tie; to conclude — बाँध्नु<br>結果[けっか] — result — नतिजा<br>結婚[けっこん] — marriage — विवाह<br>結局[けっきょく] — in the end, after all — अन्ततः","靴[くつ]の ひもを しっかり 結[むす]んだ。","I tied my shoelaces tightly.","जुत्ताको फित्ता कसेर बाँधेँ।","糸 + 吉 (tying 糸 a knot for good fortune 吉 to conclude a pact)","給 (きゅう, supply) = 糸 + 合","","","","","N3 kanji batch1 vocab_linked kanji_day3 verb noun"
"果","fruit; result","फल; नतिजा","N3","カ","は・たす / は・てる","結果[けっか] — result — नतिजा<br>効果[こうか] — effect — प्रभाव<br>果[は]たす — to fulfill, carry out — पूरा गर्नु<br>果物[くだもの] — fruit — फलफूल","試験[しけん]の 結果[けっか]は 来週[らいしゅう] 分[わ]かる。","The exam results will be known next week.","परीक्षाको नतिजा अर्को हप्ता थाहा हुन्छ।","田 + 木 (fruit 田 hanging from the branches of a tree 木 as the final result)","東 (east) — 日 through 木; 巣 (す, nest); 課 (か, section) = 言 + 果","Which kanji is in 結果 (result)? 結＿","東 / 巣 / 果","果","果: 田 sits on top of 木. 東: 日 is threaded through the middle of 木 (east). 巣 has ⺍ on top (nest).","N3 kanji batch1 vocab_linked kanji_day3 noun confusable"
"原","origin; field","मूल; मैदान","N3","ゲン","はら","原因[げんいん] — cause — कारण<br>原料[げんりょう] — raw material — कच्चा पदार्थ<br>原則[げんそく] — principle — सिद्धान्त<br>野原[のはら] — field, plain — मैदान","事故[じこ]の 原因[げんいん]は まだ 分[わ]からない。","The cause of the accident is still unknown.","दुर्घटनाको कारण अझै थाहा छैन।","厂 + 泉 (a spring flowing from beneath a cliff is the river's origin)","源 (みなもと, source) = 氵 + 原; 願 (ねが・う, wish) = 原 + 頁","Which kanji is in 原因 (cause)? ＿因","願 / 原 / 源","原","原 is bare. 源 adds 氵 (資源, 電源). 願 adds 頁 on the right (お願い).","N3 kanji batch1 vocab_linked kanji_day4 noun confusable"
"因","cause","कारण","N3","イン","—","原因[げんいん] — cause — कारण<br>要因[よういん] — factor — कारक<br>一因[いちいん] — one cause, a factor — एउटा कारण","ストレスが 病気[びょうき]の 原因[げんいん]に なることもある。","Stress can sometimes be the cause of illness.","तनाव रोगको कारण पनि बन्न सक्छ।","囗 + 大 (a person enclosed by consequences seeks the root cause)","困 (こま・る, trouble) = 囗 + 木; 囚 (prisoner) = 囗 + 人","Which kanji is in 要因 (factor)? 要＿","困 / 囚 / 因","因","因 has 大 inside the box. 困 has 木 inside (困る). 囚 has 人 inside (prisoner).","N3 kanji batch1 vocab_linked kanji_day4 noun confusable"
"影","shadow; influence","छाया; प्रभाव","N2 (影響 is N3 vocab)","エイ","かげ","影響[えいきょう] — influence, effect — प्रभाव<br>影[かげ] — shadow — छाया<br>撮影[さつえい] — photographing, filming — फोटो/भिडियो खिच्ने","天気[てんき]は 気分[きぶん]に 影響[えいきょう]する。","Weather affects mood.","मौसमले मुडमा प्रभाव पार्छ।","景 + 彡 (rays of light falling across a bright scene cast a shadow)","景 (けい, scenery) — 影 is 景 plus 彡","Which kanji is in 影響 (influence, effect)? ＿響","響 / 影 / 景","影","影 = 景 + 彡 (the three strokes on the right). 景 alone is scenery (景色). 響 is the second kanji of the word.","N3 kanji batch1 vocab_linked kanji_day4 noun confusable"
"響","echo, resound","गुञ्जनु","N2 (影響 is N3 vocab)","キョウ","ひび・く","影響[えいきょう] — influence, effect — प्रभाव<br>響[ひび]く — to echo, resound — गुञ्जनु<br>音響[おんきょう] — acoustics, sound — ध्वनि","鐘[かね]の 音[おと]が 町[まち]に 響[ひび]いた。","The sound of the bell echoed through the town.","घण्टको आवाज सहरभरि गुञ्जियो।","郷 + 音 (sound traveling across the hometown village echoes and resounds)","郷 (きょう, hometown) — 響 is 郷 with 音 underneath","","","","","N3 kanji batch1 vocab_linked kanji_day4 verb noun"
"状","condition; letter, form","अवस्था; पत्र","N3","ジョウ","—","状況[じょうきょう] — situation — परिस्थिति<br>状態[じょうたい] — state, condition — अवस्था<br>症状[しょうじょう] — symptom — लक्षण<br>年賀状[ねんがじょう] — New Year's card — नयाँ वर्षको कार्ड","今[いま]の 状況[じょうきょう]を 説明[せつめい]してください。","Please explain the current situation.","हालको परिस्थिति बताउनुहोस्।","丬 + 犬 (a guard dog standing beside a wooden board displays its loyal condition)","情 (じょう, feeling) — same reading; 壮 (そう) = 丬 + 士","Which kanji is in 状況 (situation)? ＿況","状 / 情 / 壮","状","状 = 丬 + 犬 (dog on the right). 情 has 忄 + 青 — feeling (感情). Both read じょう; the word decides which.","N3 kanji batch1 vocab_linked kanji_day4 noun confusable"
"況","situation, circumstances","परिस्थिति","N2 (状況 is N3 vocab)","キョウ","—","状況[じょうきょう] — situation — परिस्थिति<br>不況[ふきょう] — recession — मन्दी<br>近況[きんきょう] — recent situation — हालको अवस्था","会社[かいしゃ]の 状況[じょうきょう]は あまり 良[よ]くない。","The company's situation isn't very good.","कम्पनीको अवस्था त्यति राम्रो छैन।","氵 + 兄 (an older brother standing in rising water evaluates the situation)","兄 (あに, older brother) — 況 is 兄 with 氵","","","","","N3 kanji batch1 vocab_linked kanji_day5 noun"
"態","state; attitude","अवस्था; व्यवहार","N2 (状態 is N3 vocab)","タイ","—","状態[じょうたい] — state, condition — अवस्था<br>態度[たいど] — attitude — व्यवहार<br>事態[じたい] — situation (serious) — स्थिति","彼[かれ]の 態度[たいど]は とても 失礼[しつれい]だった。","His attitude was very rude.","उसको व्यवहार धेरै अशिष्ट थियो।","能 + 心 (the ability of one's heart shapes their attitude and mental state)","能 (のう, ability) — 態 is 能 with 心 underneath; 熊 (くま, bear) is 能 with 灬","Which kanji is in 態度 (attitude)? ＿度","能 / 態 / 熊","態","態 has 心 under 能 (state of mind → state/attitude). 能 alone is ability (可能). 熊 has 灬 (fire dots) — bear.","N3 kanji batch1 vocab_linked kanji_day5 noun confusable"
"識","knowledge, discern","ज्ञान, चेतना","N3","シキ","—","意識[いしき] — consciousness, awareness — चेतना<br>知識[ちしき] — knowledge — ज्ञान<br>常識[じょうしき] — common sense — सामान्य ज्ञान","健康[けんこう]に 対[たい]する 意識[いしき]が 高[たか]まっている。","Awareness of health is rising.","स्वास्थ्यप्रति चेतना बढ्दै छ।","言 + 戠 (using precise words to distinguish markings demonstrates true knowledge)","織 (お・る, weave) = 糸 + 戠; 職 (しょく, job) = 耳 + 戠","Which kanji is in 知識 (knowledge)? 知＿","識 / 織 / 職","識","識 has 言 (speech) on the left — knowing. 織 has 糸 (thread) — weaving. 職 has 耳 — job (職業).","N3 kanji batch1 vocab_linked kanji_day5 noun confusable"
"標","mark, sign; target","चिह्न; लक्ष्य","N3","ヒョウ","—","目標[もくひょう] — goal, target — लक्ष्य<br>標準[ひょうじゅん] — standard — मानक<br>標識[ひょうしき] — sign (road sign) — संकेत चिह्न","今年[ことし]の 目標[もくひょう]は N3に 合格[ごうかく]することだ。","This year's goal is to pass N3.","यस वर्षको लक्ष्य N3 पास गर्नु हो।","木 + 票 (a wooden post displaying a paper sign serves as a landmark or mark)","票 (ひょう, vote/ticket) — 標 is 票 with 木; 漂 (ただよ・う, drift) is 票 with 氵","Which kanji is in 目標 (goal, target)? 目＿","漂 / 票 / 標","標","標 has 木 on the left — a wooden signpost/marker. 票 alone is vote/ticket (投票). 漂 has 氵 — drifting.","N3 kanji batch1 vocab_linked kanji_day5 noun confusable"
"際","occasion; edge; international","अवसर, बेला","N3","サイ","きわ","実際[じっさい] — actually, in reality — वास्तवमा<br>国際[こくさい] — international — अन्तर्राष्ट्रिय<br>〜の 際[さい]に — at the time of, when — को बेलामा<br>交際[こうさい] — dating, association — सम्बन्ध","実際[じっさい]に 行[い]ってみると、 思[おも]ったより 遠[とお]かった。","When I actually went, it was farther than I thought.","साँच्चै गएर हेर्दा सोचेभन्दा टाढा रहेछ।","阝 + 祭 (gathering at the border wall for a festival marks a momentous occasion)","祭 (まつ・り, festival) — 際 is 祭 with 阝; 察 (さつ) = 宀 + 祭","Which kanji is in 国際 (international)? 国＿","際 / 祭 / 察","際","際 has 阝 on the left. 祭 alone is festival (お祭り). 察 has 宀 on top (警察, 観察).","N3 kanji batch1 vocab_linked kanji_day5 noun confusable"
"経","pass through; manage","बित्नु; व्यवस्थापन","N3","ケイ / キョウ","へ・る","経験[けいけん] — experience — अनुभव<br>経済[けいざい] — economy — अर्थतन्त्र<br>経営[けいえい] — management — व्यवस्थापन<br>経[へ]る — to pass (time), go through — बित्नु","海外[かいがい]で 働[はたら]いた 経験[けいけん]が ある。","I have experience working abroad.","विदेशमा काम गरेको अनुभव छ।","糸 + 圣 (threads passing through a loom symbolize managing the flow of affairs)","軽 (かる・い, light) = 車 + 圣; 径 (けい, path) = 彳 + 圣","Which kanji is in 経験 (experience)? ＿験","軽 / 経 / 径","経","経 has 糸 on the left. 軽 has 車 — light (軽い). 径 has 彳 — path/diameter (直径).","N3 kanji batch1 vocab_linked kanji_day6 noun verb confusable"
"験","test, examine","परीक्षा, अनुभव","N3","ケン","—","経験[けいけん] — experience — अनुभव<br>試験[しけん] — exam — परीक्षा<br>実験[じっけん] — experiment — प्रयोग<br>体験[たいけん] — (personal) experience — अनुभव","来週[らいしゅう] 日本語[にほんご]の 試験[しけん]が ある。","I have a Japanese exam next week.","अर्को हप्ता जापानी भाषाको परीक्षा छ।","馬 + 㑒 (gathering horses together to test and examine their fitness)","検 (けん, inspect) = 木 + 㑒; 険 (けん, danger) = 阝 + 㑒 — all three read けん","Which kanji is in 試験 (exam)? 試＿","検 / 験 / 険","験","験 has 馬 (horse) on the left. 検 has 木 — inspection (検査). 険 has 阝 — danger (危険). Same reading, the word decides.","N3 kanji batch1 vocab_linked kanji_day6 noun confusable"
"必","certainly; necessarily","अवश्य","N3","ヒツ","かなら・ず","必[かなら]ず — certainly, without fail — अवश्य<br>必要[ひつよう] — necessary — आवश्यक<br>必死[ひっし] — desperate, frantic — जीवनमरणको<br>必[かなら]ずしも〜ない — not necessarily — जरुरी छैन कि","明日[あした]は 必[かなら]ず 来[き]てください。","Please be sure to come tomorrow.","भोलि अवश्य आउनुहोस्।","心 + 丿 (a decisive slash right through the heart confirms it will certainly happen)","心 (こころ, heart) — 必 has one extra diagonal stroke; 秘 (ひ, secret) = 禾 + 必","Which kanji is in 必要 (necessary)? ＿要","心 / 秘 / 必","必","必 is 心 plus one extra diagonal stroke. 心 alone is heart. 秘 adds 禾 on the left (秘密).","N3 kanji batch1 vocab_linked kanji_day6 adverb confusable"
"要","need; main point","आवश्यक; मुख्य कुरा","N3","ヨウ","い・る / かなめ","必要[ひつよう] — necessary — आवश्यक<br>重要[じゅうよう] — important — महत्त्वपूर्ण<br>要[い]る — to need — चाहिनु<br>要求[ようきゅう] — demand, request — माग","この 仕事[しごと]には 経験[けいけん]が 必要[ひつよう]だ。","This job requires experience.","यो काममा अनुभव आवश्यक छ।","覀 + 女 (a woman focusing on her waist as the vital main point)","腰 (こし, waist) = 月 + 要","","","","","N3 kanji batch1 vocab_linked kanji_day6 noun verb"
"全","all, whole","सबै, पूरा","N3","ゼン","まった・く / すべ・て","全部[ぜんぶ] — all — सबै<br>全然[ぜんぜん] — (not) at all — बिल्कुल (छैन)<br>安全[あんぜん] — safety — सुरक्षा<br>全[まった]く — completely; (not) at all — पूर्णतया<br>全[すべ]て — all, everything — सबै","宿題[しゅくだい]は 全部[ぜんぶ] 終[お]わった。","I finished all the homework.","गृहकार्य सबै सकियो।","人 + 王 (a king bringing all people under his shelter to form a complete whole)","金 (かね, gold) — 金 has two extra dots at the bottom; 会 (あ・う) has 云 under 人","Which kanji is in 全部 (all)? ＿部","会 / 金 / 全","全","全 = 人 over 王, no dots. 金 has 王 with two extra dots. 会 has 云 underneath.","N3 kanji batch1 vocab_linked kanji_day6 noun adverb confusable"
"部","part; department","भाग; विभाग","N3","ブ","—","全部[ぜんぶ] — all — सबै<br>部分[ぶぶん] — part — भाग<br>部屋[へや] — room — कोठा<br>部長[ぶちょう] — department head — विभाग प्रमुख<br>部活[ぶかつ] — club activities — क्लब गतिविधि","この 部分[ぶぶん]が 一番[いちばん] 難[むずか]しい。","This part is the hardest.","यो भाग सबैभन्दा गाह्रो छ।","咅 + 阝 (dividing a town into distinct sections → department, part)","都 (と, capital) = 者 + 阝 — same right side, different left","Which kanji is in 部分 (part)? ＿分","部 / 都 / 郡","部","部 has 咅 (立 over 口) on the left. 都 has 者 on the left — capital (東京都). 郡 (ぐん, district) has 君.","N3 kanji batch1 vocab_linked kanji_day7 noun confusable"
"表","surface; express; table","सतह; व्यक्त गर्नु; तालिका","N3","ヒョウ","おもて / あらわ・す","表[あらわ]す — to express, show — व्यक्त गर्नु<br>発表[はっぴょう] — announcement, presentation — प्रस्तुति<br>表現[ひょうげん] — expression — अभिव्यक्ति<br>表[おもて] — front side, surface — अगाडिको भाग<br>表情[ひょうじょう] — facial expression — अनुहारको भाव","来週[らいしゅう] 研究[けんきゅう]の 結果[けっか]を 発表[はっぴょう]する。","I'll present my research results next week.","अर्को हप्ता अनुसन्धानको नतिजा प्रस्तुत गर्छु।","毛 + 衣 (fur showing on the outside of clothing → surface, express)","裏 (うら, back side) — the opposite; 表す vs 現す are both あらわす (express vs reveal)","Which kanji is in 発表 (announcement, presentation)? 発＿","衣 / 裏 / 表","表","表 = 毛-like top over 衣 (surface, outside). 裏 wraps 里 inside 衣 — the back/inside. 衣 alone is clothing.","N3 kanji batch1 vocab_linked kanji_day7 noun verb confusable"
"現","appear; present, current","देखा पर्नु; हाल","N3","ゲン","あらわ・れる / あらわ・す","現[あらわ]れる — to appear — देखा पर्नु<br>現在[げんざい] — present, currently — हाल<br>表現[ひょうげん] — expression — अभिव्यक्ति<br>現実[げんじつ] — reality — यथार्थ<br>現金[げんきん] — cash — नगद","現在[げんざい]、 東京[とうきょう]に 住[す]んでいます。","I currently live in Tokyo.","हाल टोकियोमा बस्छु।","王 + 見 (a jewel that becomes visible → appear, present)","見 (み・る) — 現 is 見 with 王; 規 (き, rule) = 夫 + 見","Which kanji is in 現在 (present, currently)? ＿在","見 / 規 / 現","現","現 has 王 on the left. 見 alone is 'see'. 規 has 夫 on the left — rule (規則).","N3 kanji batch1 vocab_linked kanji_day7 noun verb confusable"
"実","real, actual; fruit","वास्तविक; फल","N3","ジツ","み / みの・る","実[じつ]は — actually, to tell the truth — खासमा<br>実際[じっさい] — actually, in reality — वास्तवमा<br>事実[じじつ] — fact — तथ्य<br>実[み] — fruit, nut, seed — फल<br>実現[じつげん] — realization (of a plan) — साकार हुनु","実[じつ]は、 来月[らいげつ] 会社[かいしゃ]を 辞[や]めるつもりです。","Actually, I plan to quit the company next month.","खासमा, अर्को महिना कम्पनी छोड्ने विचार छ।","宀 + 龶 (a rich harvest stored under a roof → fruit, real)","","","","","","N3 kanji batch1 vocab_linked kanji_day7 noun adverb"
"確","certain, confirm","निश्चित, पुष्टि","N3","カク","たし・か / たし・かめる","確[たし]か — certain; if I remember correctly — निश्चित; सायद<br>確[たし]かめる — to confirm, check — पक्का गर्नु<br>確認[かくにん] — confirmation — पुष्टि<br>正確[せいかく] — accurate — सही","出発[しゅっぱつ]の 時間[じかん]を もう 一度[いちど] 確認[かくにん]した。","I confirmed the departure time once more.","प्रस्थान समय फेरि एकपटक पुष्टि गरेँ।","石 + 隺 (as solid and firm as a stone on a high perch → certain, confirm)","権 (けん, right) and 観 (かん, view) look similar on the right side","","","","","N3 kanji batch1 vocab_linked kanji_day7 verb adj"
"認","recognize, admit, approve","स्वीकार्नु, पहिचान गर्नु","N3","ニン","みと・める","認[みと]める — to recognize, admit, approve — स्वीकार गर्नु<br>確認[かくにん] — confirmation — पुष्टि<br>承認[しょうにん] — approval — स्वीकृति","彼[かれ]は 自分[じぶん]の ミスを 認[みと]めた。","He admitted his mistake.","उसले आफ्नो गल्ती स्वीकार गर्‍यो।","言 + 忍 (patiently speaking to acknowledge the truth → recognize, admit)","忍 (しの・ぶ, endure) — 認 is 忍 with 言","","","","","N3 kanji batch1 vocab_linked kanji_day8 verb"
"関","relation; barrier, gate","सम्बन्ध; नाका","N3","カン","せき / かか・わる","関係[かんけい] — relationship — सम्बन्ध<br>関心[かんしん] — interest, concern — चासो<br>〜に 関[かん]して — regarding — सम्बन्धमा<br>玄関[げんかん] — entrance (of a house) — प्रवेशद्वार<br>関[かか]わる — to be involved with — संलग्न हुनु","私[わたし]は その 事件[じけん]とは 関係[かんけい]が ない。","I have nothing to do with that incident.","मेरो त्यो घटनासँग कुनै सम्बन्ध छैन।","門 + 关 (a barrier bolt barring a gateway → gate, relation)","開 (あ・ける, open), 閉 (し・める, close), 間 (あいだ) — all 門 kanji, different insides","Which kanji is in 関係 (relationship)? ＿係","間 / 関 / 開","関","関 has 关 inside 門. 開 has 开 inside — open. 間 has 日 inside — between/time.","N3 kanji batch1 vocab_linked kanji_day8 noun verb confusable"
"係","connection; person in charge","सम्बन्ध; जिम्मेवार व्यक्ति","N3","ケイ","かかり / かか・る","関係[かんけい] — relationship — सम्बन्ध<br>係[かかり] — person in charge — जिम्मेवार व्यक्ति<br>係員[かかりいん] — staff in charge — जिम्मेवार कर्मचारी","受付[うけつけ]の 係[かかり]の 人[ひと]に 聞[き]いてください。","Please ask the person in charge at reception.","रिसेप्सनको जिम्मेवार व्यक्तिलाई सोध्नुहोस्।","亻 + 系 (a person tied to duties by threads of connection → person in charge, connection)","系 (けい, system, lineage) — 係 is 系 with 亻; 孫 (まご, grandchild) = 子 + 系","Which kanji is in 係員 (staff in charge)? ＿員","係 / 孫 / 系","係","係 has 亻 on the left — a person connected. 系 alone is system/lineage (体系). 孫 has 子 — grandchild.","N3 kanji batch1 vocab_linked kanji_day8 noun confusable"
"反","anti, opposite, reverse","विपरीत, विरोध","N3","ハン","—","反対[はんたい] — opposition; opposite — विरोध; उल्टो<br>反省[はんせい] — reflection, regret — आत्मसमीक्षा<br>違反[いはん] — violation — उल्लङ्घन<br>反応[はんのう] — reaction, response — प्रतिक्रिया","両親[りょうしん]は 私[わたし]の 留学[りゅうがく]に 反対[はんたい]している。","My parents oppose my studying abroad.","आमाबुबा मेरो विदेश पढ्न जाने कुराको विरोधमा छन्।","厂 + 又 (a hand pushing back against a cliff → opposite, reverse)","友 (とも, friend) — similar shape; 板 (いた, board) = 木 + 反","","","","","N3 kanji batch1 vocab_linked kanji_day8 noun"
