#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
相手	14	相手[あいて]	あいて	noun	noun	the other party; partner; opponent	अर्को पक्ष; सामुन्नेको व्यक्ति	相手[あいて]の 気持[きも]ちを 考[かんが]えて 話[はな]しましょう。	Let us speak considering the other person's feelings.	試合[しあい]の 相手[あいて]はとても 強[つよ]かった。	Our opponent in the match was very strong.	相談[そうだん]する 相手[あいて]がいなくて 困[こま]っている。	I am troubled because I have no one to consult with.	〜の相手／V-る相手／Aを相手にする	話し相手 = someone to talk to; 結婚相手 = marriage partner. Reading あいて.	N3 batch1 day1 noun
全体	15	全体[ぜんたい]	ぜんたい	noun	noun	the whole; entire	सम्पूर्ण; समग्र	クラス 全体[ぜんたい]で 話[はな]し 合[あ]った。	The whole class discussed it together.	全体[ぜんたい]の 三割[さんわり]が 賛成[さんせい]した。	30% of the total agreed.	まず 全体[ぜんたい]を 見[み]てから、 細[こま]かい 部分[ぶぶん]を 考[かんが]えよう。	Let us look at the whole first, then think about the details.	N＋全体／全体の＋N／全体的に（は）	全体的に = overall. Pair with 部分.	N3 batch1 day1 noun
部分	16	部分[ぶぶん]	ぶぶん	noun	noun	part; portion	भाग; अंश	この 部分[ぶぶん]の 意味[いみ]が 分[わ]かりません。	I do not understand the meaning of this part.	壊[こわ]れた 部分[ぶぶん]だけ 交換[こうかん]した。	We replaced only the broken part.	大部分[だいぶぶん]の 人[ひと]が 賛成[さんせい]している。	The majority of people are in favor.	〜の部分／一部分／大部分	大部分 = the majority; 一部 (いちぶ) = a part / some.	N3 batch1 day1 noun
結局	17	結局[けっきょく]	けっきょく	adv	adverb	in the end; after all	अन्ततः; आखिरमा	いろいろ 考[かんが]えたが、 結局[けっきょく] 行[い]かないことにした。	I thought about it a lot, but in the end I decided not to go.	結局[けっきょく]、 誰[だれ]も 来[こ]なかった。	In the end, nobody came.	結局[けっきょく]は 自分[じぶん]で 決[き]めるしかない。	Ultimately you have to decide for yourself.	結局（は）＋結論／結局〜ことになった	Very common in speech. Often slightly resigned: after all that...	N3 batch1 day1 adv
つまり	18	つまり	つまり	adv	conjunction	in other words; that is to say	अर्थात्; भन्नुको मतलब	彼[かれ]は 私[わたし]の 母[はは]の 弟[おとうと]、つまりおじです。	He is my mother's younger brother, in other words my uncle.	つまり、 明日[あした]は 来[こ]られないということですね。	So what you mean is you cannot come tomorrow, right?	費用[ひよう]が 足[た]りない。つまり、 計画[けいかく]は 無理[むり]だ。	There is not enough money. In short, the plan is impossible.	A。つまりB。／つまり〜ということだ	In reading passages, つまり restates the main point; the answer to a content question is often right after it.	N3 batch1 day1 adv
一方	19	一方[いっぽう]	いっぽう	adv	noun / conjunction	on the other hand; one side; keeps on -ing	अर्कोतर्फ; अर्को पक्षमा	兄[あに]は 静[しず]かだ。 一方[いっぽう]、 弟[おとうと]はとてもにぎやかだ。	My older brother is quiet. My younger brother, on the other hand, is very lively.	物価[ぶっか]は 上[あ]がる 一方[いっぽう]だ。	Prices just keep on rising.	彼[かれ]は 働[はたら]く 一方[いっぽう]で、 大学[だいがく]にも 通[かよ]っている。	While he works, he also attends university.	A。一方、B／V-る一方だ（keeps on -ing）／V-る一方で（while）	Three N3 grammar uses in one word. 一方通行 = one-way street.	N3 batch1 day1 adv
それぞれ	20	それぞれ	それぞれ	adv	adverb / noun	each; respectively	प्रत्येक; आ-आफ्नो	人[ひと]にはそれぞれ 考[かんが]え 方[かた]がある。	Each person has their own way of thinking.	参加者[さんかしゃ]はそれぞれ 自己[じこ] 紹介[しょうかい]をした。	Each participant introduced themselves.	生徒[せいと]はそれぞれの 教科書[きょうかしょ]を 持[も]ってきた。	Each student brought their own textbook.	それぞれの＋N／それぞれ＋V	Always in kana. Prefix synonym: 各〜 (各国, 各自).	N3 batch1 day1 adv
増える	21	増[ふ]える	ふえる	verb	v1 intransitive	to increase; to grow in number	बढ्नु	最近[さいきん]、 外国人[がいこくじん] 観光客[かんこうきゃく]が 増[ふ]えている。	Foreign tourists have been increasing lately.	体重[たいじゅう]が 三[さん]キロ 増[ふ]えた。	My weight went up by three kilos.	仕事[しごと]が 増[ふ]えて、 休[やす]む 時間[じかん]がない。	Work has increased and I have no time to rest.	Aが増える／Aが（数量）増える	Pair: 増える (vi) ↔ 増やす (vt). Noun form: 増加 (ぞうか).	N3 batch1 day1 verb
増やす	22	増[ふ]やす	ふやす	verb	v5 transitive	to increase (something)	बढाउनु	勉強[べんきょう] 時間[じかん]を 増[ふ]やすことにした。	I decided to increase my study time.	会社[かいしゃ]は 社員[しゃいん]を 増[ふ]やす 予定[よてい]だ。	The company plans to increase its staff.	語彙[ごい]を 増[ふ]やすには、 毎日[まいにち] 読[よ]むことだ。	To build vocabulary, you have to read every day.	AがBを増やす	Exam trap: 増える vs 増やす. If there is a を, it is 増やす.	N3 batch1 day1 verb
減る	23	減[へ]る	へる	verb	v5 intransitive	to decrease; to go down	घट्नु	この 町[まち]の 人口[じんこう]は 年々[ねんねん] 減[へ]っている。	The population of this town is decreasing year by year.	運動[うんどう]したので、お 腹[なか]が 減[へ]った。	I exercised, so I am hungry.	事故[じこ]の 数[かず]が 減[へ]らない。	The number of accidents is not going down.	Aが減る／お腹が減る	お腹が減る = get hungry. Casual male speech: 腹減った. Pair: 減らす (vt).	N3 batch1 day1 verb
減らす	24	減[へ]らす	へらす	verb	v5 transitive	to reduce; to cut down	घटाउनु	医者[いしゃ]に 塩[しお]を 減[へ]らすように 言[い]われた。	The doctor told me to cut down on salt.	会社[かいしゃ]はコストを 減[へ]らそうとしている。	The company is trying to reduce costs.	ゴミを 減[へ]らすために、 買[か]い 物[もの] 袋[ぶくろ]を 持[も]って 行[い]く。	To reduce waste, I bring a shopping bag.	AがBを減らす／Bを減らすために	Noun form: 減少 (げんしょう). Pair: 減る (vi).	N3 batch1 day1 verb
現在	25	現在[げんざい]	げんざい	noun	noun / adverb	the present; currently	हाल; वर्तमान	現在[げんざい]、 東京[とうきょう]に 住[す]んでいます。	I currently live in Tokyo.	現在[げんざい]の 状況[じょうきょう]を 報告[ほうこく]します。	I will report on the current situation.	過去[かこ]・ 現在[げんざい]・ 未来[みらい]について 考[かんが]えた。	I thought about the past, present and future.	現在（は）／現在の＋N／現在＋時刻	Formal/written; spoken = 今. Set: 過去 – 現在 – 未来／将来.	N3 batch1 day1 noun
影響	26	影響[えいきょう]	えいきょう	noun	noun / suru-verb	influence; effect	प्रभाव; असर	台風[たいふう]の 影響[えいきょう]で、 電車[でんしゃ]が 止[と]まった。	Because of the typhoon, the trains stopped.	親[おや]の 言葉[ことば]は 子[こ]どもに 大[おお]きな 影響[えいきょう]を 与[あた]える。	A parent's words have a big influence on a child.	睡眠[すいみん] 不足[ぶそく]は 仕事[しごと]に 影響[えいきょう]する。	Lack of sleep affects work.	AがBに影響を与える／AがBに影響する／〜の影響で	〜の影響で = due to the effects of (news staple). 悪影響 = bad influence.	N3 batch1 day2 noun
目的	27	目的[もくてき]	もくてき	noun	noun	purpose; aim	उद्देश्य	日本[にほん]に 来[き]た 目的[もくてき]は 何[なん]ですか。	What was your purpose for coming to Japan?	目的[もくてき]を 持[も]って 勉強[べんきょう]した 方[ほう]がいい。	It is better to study with a purpose.	この 会[かい]の 目的[もくてき]は 意見[いけん] 交換[こうかん]です。	The purpose of this meeting is exchanging opinions.	〜の目的／目的を持つ／V-る目的で	目的 = purpose; 目標 (もくひょう) = concrete target. 目的地 = destination.	N3 batch1 day2 noun
原因	28	原因[げんいん]	げんいん	noun	noun	cause	कारण	火事[かじ]の 原因[げんいん]はまだ 分[わ]かっていない。	The cause of the fire is still unknown.	失敗[しっぱい]の 原因[げんいん]を 考[かんが]えてみよう。	Let us think about the cause of the failure.	ストレスが 原因[げんいん]で 病気[びょうき]になる 人[ひと]がいる。	Some people get sick because of stress.	〜の原因／Aが原因で／原因を調べる	Reading げんいん (not げいいん). Pair: 原因 ↔ 結果.	N3 batch1 day2 noun
理解	29	理解[りかい]	りかい	verb	noun / suru-verb	understanding; comprehension	बुझाइ; बुझ्नु	先生[せんせい]の 説明[せつめい]をよく 理解[りかい]できた。	I understood the teacher's explanation well.	文化[ぶんか]の 違[ちが]いを 理解[りかい]することが 大切[たいせつ]だ。	It is important to understand cultural differences.	彼[かれ]は 私[わたし]の 気持[きも]ちを 理解[りかい]してくれた。	He understood my feelings.	Aを理解する／Aが理解できる／理解がある	分かる = everyday understand; 理解する = comprehend (formal). ご理解ください on notices.	N3 batch1 day2 verb
判断	30	判断[はんだん]	はんだん	verb	noun / suru-verb	judgment; decision	निर्णय; फैसला	自分[じぶん]で 判断[はんだん]してください。	Please judge for yourself.	状況[じょうきょう]を 見[み]て、 判断[はんだん]しましょう。	Let us look at the situation and make a call.	彼[かれ]の 判断[はんだん]は 正[ただ]しかった。	His judgment was correct.	Aを判断する／〜と判断する／判断が正しい・難しい	判断 = judgment call; 決定 = formal decision; 決める = everyday decide.	N3 batch1 day2 verb
伝える	31	伝[つた]える	つたえる	verb	v1 transitive	to convey; to tell; to pass on	बताउनु; सुनाउनु	田中[たなか]さんによろしく 伝[つた]えてください。	Please give my regards to Tanaka-san.	自分[じぶん]の 気持[きも]ちをうまく 伝[つた]えられなかった。	I could not convey my feelings well.	この 伝統[でんとう]を 次[つぎ]の 世代[せだい]に 伝[つた]えたい。	I want to pass this tradition on to the next generation.	AにBを伝える／〜と伝える／よろしくお伝えください	お伝えします = business: I will let them know. Pair: 伝わる (vi).	N3 batch1 day2 verb
伝わる	32	伝[つた]わる	つたわる	verb	v5 intransitive	to be conveyed; to get across; to be handed down	(कुरा) पुग्नु; बुझिनु	私[わたし]の 気持[きも]ちが 彼[かれ]に 伝[つた]わった。	My feelings got through to him.	日本語[にほんご]が 下手[へた]でも、 気持[きも]ちは 伝[つた]わります。	Even if your Japanese is poor, your feelings get across.	この 祭[まつ]りは 三百年[さんびゃくねん] 前[まえ]から 伝[つた]わっている。	This festival has been handed down for 300 years.	AがBに伝わる／〜から伝わる	Spoken: 伝わった？ = Did that make sense? Also physical: 音・熱が伝わる.	N3 batch1 day2 verb
守る	33	守[まも]る	まもる	verb	v5 transitive	to protect; to keep (a promise, a rule)	रक्षा गर्नु; (वाचा) पालना गर्नु	約束[やくそく]は 必[かなら]ず 守[まも]ります。	I will definitely keep my promise.	ルールを 守[まも]らない 人[ひと]がいる。	There are people who do not follow the rules.	親[おや]は 子[こ]どもを 守[まも]るものだ。	Parents are supposed to protect their children.	Aを守る（約束・時間・ルール・人）	Two senses: protect (人を守る) and keep/observe (時間を守る = be punctual). Opposite: 破る (やぶる).	N3 batch1 day2 verb
求める	34	求[もと]める	もとめる	verb	v1 transitive	to seek; to request; to want	खोज्नु; माग गर्नु	会社[かいしゃ]は 経験[けいけん]のある 人[ひと]を 求[もと]めている。	The company is looking for experienced people.	客[きゃく]は 店[みせ]に 説明[せつめい]を 求[もと]めた。	The customer demanded an explanation from the shop.	人[ひと]は 誰[だれ]でも 幸[しあわ]せを 求[もと]めている。	Everyone seeks happiness.	AにBを求める／Aを求めている	Formal. 求人 (きゅうじん) = job openings. Spoken: 欲しがる／探す.	N3 batch1 day2 verb
与える	35	与[あた]える	あたえる	verb	v1 transitive	to give; to grant; to cause (influence, damage)	दिनु; प्रदान गर्नु	先生[せんせい]は 学生[がくせい]に 宿題[しゅくだい]を 与[あた]えた。	The teacher gave the students homework.	台風[たいふう]は 農業[のうぎょう]に 大[おお]きな 被害[ひがい]を 与[あた]えた。	The typhoon caused great damage to agriculture.	彼[かれ]の 話[はなし]はみんなにいい 印象[いんしょう]を 与[あた]えた。	His talk gave everyone a good impression.	AにBを与える（影響・印象・被害・チャンス）	Not everyday give (あげる); used with abstract objects. Very frequent in exam reading.	N3 batch1 day2 verb
得る	36	得[え]る	える	verb	v1 transitive	to obtain; to gain	प्राप्त गर्नु	旅行[りょこう]で 多[おお]くの 経験[けいけん]を 得[え]た。	I gained a lot of experience through travel.	情報[じょうほう]を 得[え]る 方法[ほうほう]はたくさんある。	There are many ways to obtain information.	彼[かれ]の 協力[きょうりょく]を 得[え]て、 仕事[しごと]が 早[はや]く 終[お]わった。	With his cooperation, the work finished early.	Aを得る（情報・知識・経験・利益・許可）	Also read うる in V-うる/える = can (あり得る = possible). Formal; spoken = 手に入れる／もらう.	N3 batch1 day2 verb
含む	37	含[ふく]む	ふくむ	verb	v5 transitive	to include; to contain	समावेश गर्नु; समेट्नु	この 値段[ねだん]は 税金[ぜいきん]を 含[ふく]んでいます。	This price includes tax.	参加者[さんかしゃ]は 私[わたし]を 含[ふく]めて 十人[じゅうにん]です。	There are ten participants including me.	この 飲[の]み 物[もの]には 砂糖[さとう]がたくさん 含[ふく]まれている。	This drink contains a lot of sugar.	AはBを含む／Aを含めて／Bが含まれている	含めて (from 含める, vt) = including. 含まれる = is included. 税込 = tax included.	N3 batch1 day2 verb
超える	38	超[こ]える	こえる	verb	v1 transitive	to exceed; to go over	नाघ्नु; पार गर्नु	気温[きおん]が 三十五度[さんじゅうごど]を 超[こ]えた。	The temperature exceeded 35 degrees.	参加者[さんかしゃ]は 百人[ひゃくにん]を 超[こ]えるだろう。	The participants will probably exceed 100 people.	予算[よさん]を 超[こ]えないように 気[き]をつけている。	I am being careful not to go over budget.	Aを超える（数量・限界・予想）	超える = exceed a number/limit; 越える = cross a mountain/border. 超 (ちょう) as slang = super.	N3 batch1 day2 verb
向かう	39	向[む]かう	むかう	verb	v5 intransitive	to head toward; to face	तर्फ जानु; …तिर लाग्नु	今[いま]、 駅[えき]に 向[む]かっています。	I am heading to the station now.	机[つくえ]に 向[む]かって 勉強[べんきょう]した。	I sat at the desk and studied.	病気[びょうき]は 良[よ]い 方向[ほうこう]に 向[む]かっている。	The illness is heading in a good direction.	Aに向かう／Aに向かって＋V	向かっています = on my way (text message). Related: 向こう (over there), 向く (to face).	N3 batch1 day2 verb
過ごす	40	過[す]ごす	すごす	verb	v5 transitive	to spend (time); to pass	(समय) बिताउनु	週末[しゅうまつ]は 家族[かぞく]と 過[す]ごしました。	I spent the weekend with my family.	日本[にほん]で 三年間[さんねんかん] 過[す]ごした。	I spent three years in Japan.	楽[たの]しい 時間[じかん]をお 過[す]ごしください。	Please have a pleasant time.	（時間）を（場所・人と）過ごす	Object is always time. 過ぎる (vi) = time passes. Spoken: どう過ごしてた？ = What have you been up to?	N3 batch1 day2 verb
環境	41	環境[かんきょう]	かんきょう	noun	noun	environment; surroundings	वातावरण	環境[かんきょう]を 守[まも]るために、リサイクルをしている。	I recycle in order to protect the environment.	新[あたら]しい 環境[かんきょう]に 慣[な]れるまで 時間[じかん]がかかった。	It took time to get used to the new environment.	子[こ]どもにはいい 環境[かんきょう]で 育[そだ]ってほしい。	I want my child to grow up in a good environment.	環境を守る／環境に慣れる／〜環境（職場環境・自然環境）	Natural environment and also surroundings/setting. Reading かんきょう.	N3 batch1 day2 noun
効果	42	効果[こうか]	こうか	noun	noun	effect; effectiveness	असर; प्रभावकारिता	この 薬[くすり]は 効果[こうか]がある。	This medicine is effective.	運動[うんどう]の 効果[こうか]が 出[で]てきた。	The effects of exercise are starting to show.	効果的[こうかてき]な 勉強[べんきょう] 方法[ほうほう]を 探[さが]している。	I am looking for an effective study method.	Aに効果がある／効果が出る／効果的な	効果 = effect of a thing (medicine, method); 影響 = influence on something. Verb: 効く (きく).	N3 batch1 day2 noun
条件	43	条件[じょうけん]	じょうけん	noun	noun	condition; terms	शर्त	この 仕事[しごと]の 条件[じょうけん]は 悪[わる]くない。	The conditions of this job are not bad.	条件[じょうけん]に 合[あ]うアパートが 見[み]つからない。	I cannot find an apartment that meets my conditions.	三[みっ]つの 条件[じょうけん]を 満[み]たす 必要[ひつよう]がある。	Three conditions need to be met.	条件に合う／条件を満たす／〜という条件で	条件を満たす = meet the conditions. 無条件 = unconditional.	N3 batch1 day2 noun
責任	44	責任[せきにん]	せきにん	noun	noun	responsibility	जिम्मेवारी	自分[じぶん]の 行動[こうどう]に 責任[せきにん]を 持[も]ってください。	Please take responsibility for your actions.	この 失敗[しっぱい]の 責任[せきにん]は 私[わたし]にあります。	The responsibility for this failure lies with me.	責任感[せきにんかん]の 強[つよ]い 人[ひと]だ。	He is a person with a strong sense of responsibility.	Aに責任を持つ／責任がある／責任を取る	責任を取る = take responsibility (resign etc). 責任感 = sense of responsibility.	N3 batch1 day2 noun
状態	45	状態[じょうたい]	じょうたい	noun	noun	state; condition	अवस्था	患者[かんじゃ]の 状態[じょうたい]は 良[よ]くなってきた。	The patient's condition has been improving.	この 中古車[ちゅうこしゃ]は 状態[じょうたい]がいい。	This used car is in good condition.	疲[つか]れて、 何[なに]も 考[かんが]えられない 状態[じょうたい]だった。	I was so tired I was in a state where I could not think.	〜の状態／状態がいい・悪い／V-ている状態	状態 = condition of a thing/person; 状況 = surrounding circumstances. 健康状態 = state of health.	N3 batch1 day2 noun
印象	46	印象[いんしょう]	いんしょう	noun	noun	impression	छाप	彼[かれ]の 第一[だいいち] 印象[いんしょう]はとても 良[よ]かった。	My first impression of him was very good.	この 映画[えいが]は 強[つよ]く 印象[いんしょう]に 残[のこ]った。	This film left a strong impression on me.	日本人[にほんじん]は 親切[しんせつ]だという 印象[いんしょう]を 受[う]けた。	I got the impression that Japanese people are kind.	印象がいい・悪い／印象を受ける／印象に残る／印象を与える	印象に残る = memorable. 第一印象 = first impression.	N3 batch1 day2 noun
性格	47	性格[せいかく]	せいかく	noun	noun	personality; character	स्वभाव; चरित्र	彼女[かのじょ]は 明[あか]るい 性格[せいかく]だ。	She has a cheerful personality.	兄弟[きょうだい]でも 性格[せいかく]は 全然[ぜんぜん] 違[ちが]う。	Even siblings have totally different personalities.	性格[せいかく]が 合[あ]わなくて、 別[わか]れた。	We broke up because our personalities did not match.	性格がいい・明るい・合う／〜な性格	Homophone trap: 性格 (personality, noun) vs 正確 (accurate, na-adj).	N3 batch1 day2 noun
態度	48	態度[たいど]	たいど	noun	noun	attitude; manner	व्यवहार; रवैया	彼[かれ]の 態度[たいど]は 失礼[しつれい]だった。	His attitude was rude.	店員[てんいん]の 態度[たいど]が 良[よ]かったので、また 行[い]きたい。	The staff's manner was good, so I want to go again.	態度[たいど]を 改[あらた]めなさい。	Change your attitude.	態度がいい・悪い・大きい／〜に対する態度	態度が大きい = arrogant. 態度を改める = change one's attitude.	N3 batch1 day2 noun
価値	49	価値[かち]	かち	noun	noun	value; worth	मूल्य; महत्व	この 絵[え]には 高[たか]い 価値[かち]がある。	This painting has high value.	読[よ]む 価値[かち]のある 本[ほん]だ。	It is a book worth reading.	お 金[かね]の 価値[かち]が 下[さ]がっている。	The value of money is falling.	価値がある／V-る価値がある（worth doing）／価値が高い・低い	V-る価値がある = worth V-ing (N3). 価値観 = values / worldview.	N3 batch1 day2 noun
資料	50	資料[しりょう]	しりょう	noun	noun	materials; documents; data	कागजात; सामग्री	会議[かいぎ]の 資料[しりょう]を 準備[じゅんび]した。	I prepared the materials for the meeting.	この 資料[しりょう]を 見[み]ながら 説明[せつめい]します。	I will explain while looking at this document.	図書館[としょかん]で 歴史[れきし]の 資料[しりょう]を 調[しら]べた。	I researched historical materials at the library.	資料を作る・配る・集める	資料 = handouts/reference docs; 書類 (しょるい) = official paperwork; データ = data.	N3 batch1 day2 noun
締め切り	51	締[し]め 切[き]り	しめきり	noun	noun	deadline	अन्तिम मिति; म्याद	レポートの 締[し]め 切[き]りは 金曜日[きんようび]です。	The report's deadline is Friday.	締[し]め 切[き]りに 間[ま]に 合[あ]わなかった。	I did not make the deadline.	申[もう]し 込[こ]みの 締[し]め 切[き]りが 近[ちか]い。	The application deadline is near.	〜の締め切り／締め切りに間に合う・遅れる／締め切りを守る	Often written 締切 or 〆切 on notices. Verb: 締め切る = to close (applications).	N3 batch1 day3 noun
機会	52	機会[きかい]	きかい	noun	noun	opportunity; chance	अवसर; मौका	日本語[にほんご]を 話[はな]す 機会[きかい]があまりない。	I do not have many opportunities to speak Japanese.	また 機会[きかい]があれば、ぜひ 行[い]きたい。	If there is another chance, I would love to go.	この 機会[きかい]に、 新[あたら]しいことに 挑戦[ちょうせん]してみよう。	Let us take this opportunity to try something new.	V-る機会がある・ない／この機会に／機会を逃す	Homophone: 機械 (machine). チャンス is the casual version. この機会に = on this occasion.	N3 batch1 day3 noun
