"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜にしては","N / plain V + にしては","for ~ (contrary to what you'd expect of that category)","… को तुलनामा त (अपेक्षाभन्दा फरक)","彼は初心者にしては上手だ。","かれは しょしんしゃ にしては じょうずだ。","He's good for a beginner.","ऊ नयाँ भएर पनि राम्रो छ।","この値段にしては、いい品物だ。","このねだん にしては、いい しなものだ。","For this price, it's a good item.","यो मूल्यको तुलनामा राम्रो सामान हो।","十年も日本にいるにしては、日本語が下手だ。","じゅうねんも にほんに いる にしては、にほんごが へただ。","For someone who's been in Japan ten years, his Japanese is poor.","दश वर्ष जापानमा बसेको तुलनामा जापानी कमजोर छ।","[standard]にしては、[unexpected evaluation]","Evaluates against the norm for that category and finds a mismatch, better or worse. The noun is a specific fact about the subject.","same","にしては ↔ にしても; にしては ↔ として","にしては compares against a category norm; にしても concedes 'even granting X'; として states a role","彼は初心者＿＿＿＿上手だ。","にしては","この値段＿＿＿＿、いい品物だ。","A にしては / B にしても / C にとって / D として","A にしては","Quality is judged relative to what the price would lead you to expect.","B にしても would concede the price and then expect something negative ('even at this price, it's bad'); the sentence praises relative to the price.","Conceding a point before objecting. 忙しい＿＿＿＿、連絡ぐらいはできるはずだ。","にしても","にしても fits because it concedes 'busy' and then insists on a minimum; にしては would evaluate performance relative to busy people ('for a busy person, …'), which is not the meaning. 忙しいにしても連絡はできる / 忙しいにしてはよくやっている.","N3 grammar evaluation confusable"
"〜にしても","N / plain + にしても; X にしても Y にしても","even if ~; even granting ~; whether X or Y","… भए पनि (मान्दा पनि)","忙しいにしても、連絡ぐらいはできるはずだ。","いそがしい にしても、れんらくぐらいは できる はずだ。","Even if you're busy, you can at least get in touch.","व्यस्त भए पनि खबर त गर्न सकिन्छ।","冗談にしても、言っていいことと悪いことがある。","じょうだん にしても、いって いいことと わるいことが ある。","Even as a joke, there are things you shouldn't say.","ठट्टा भए पनि भन्न हुने र नहुने कुरा हुन्छ।","行くにしても行かないにしても、早く決めたほうがいい。","いく にしても いかない にしても、はやく きめたほうが いい。","Whether you go or not, you should decide soon.","जाने भए पनि नजाने भए पनि चाँडै निर्णय गर्नु राम्रो।","[conceded X]にしても、[objection]","Concedes X and then adds an objection or a condition that still applies. Paired (XにしてもYにしても) = whether X or Y.","にしたって (colloquial)","にしても ↔ にしては","にしても is concessive; にしては is evaluative","冗談＿＿＿＿、言っていいことと悪いことがある。","にしても","行く＿＿＿＿行かない＿＿＿＿、早く決めたほうがいい。","A にしても / B にしては / C にとって / D において","A にしても","Paired concession: whether X or Y.","B にしては evaluates against a norm ('for someone who goes…'), which makes no sense in a whether-or-not structure.","","","","N3 grammar concession"
"〜に反して","N + に反して; に反する + N","contrary to ~ (an expectation, prediction, or rule)","… को विपरीत","予想に反して、試合は簡単に終わった。","よそうに はんして、しあいは かんたんに おわった。","Contrary to expectations, the match ended easily.","अपेक्षाविपरीत खेल सजिलै सकियो।","親の期待に反して、彼は大学をやめた。","おやの きたいに はんして、かれは だいがくを やめた。","Against his parents' hopes, he quit university.","आमाबुबाको आशाविपरीत उसले विश्वविद्यालय छोड्यो।","規則に反する行為は許されない。","きそくに はんする こういは ゆるされない。","Actions that violate the rules are not permitted.","नियमविपरीत काम गर्न पाइँदैन।","[expectation / rule]に反して、[actual outcome]","The noun is an expectation, prediction, hope, or rule; formal.","written/formal; speech uses と違って","に反して ↔ に対して","に反して = goes against an expectation or rule; に対して = toward a target, or 'in contrast with' between two different things","予想＿＿＿＿、試合は簡単に終わった。","に反して","親の期待＿＿＿＿、彼は大学をやめた。","A に反して / B に対して / C にとって / D について","A に反して","The outcome goes against the parents' hopes.","B に対して would make 親の期待 the target of an action ('toward their hopes'), but the sentence says the outcome went against them.","A contrast between two different people. 兄は静かなの＿＿＿＿、弟はよくしゃべる。","に対して","に対して fits because it sets two different subjects side by side; に反して needs a noun that is an expectation, prediction, or rule, and 兄は静か is none of those. 予想に反して / 兄に対して弟は.","N3 grammar contrast confusable"
"〜どころか","N / plain + どころか (な-adj + な / plain)","far from ~; not just ~ but (the opposite or something more extreme)","… त कहाँ हो कहाँ, … (उल्टो)","漢字どころか、ひらがなも読めない。","かんじ どころか、ひらがなも よめない。","Never mind kanji, he can't even read hiragana.","कान्जी त कहाँ हो कहाँ, हिरागाना पनि पढ्न सक्दैन।","薬を飲んだら、よくなるどころか、もっとひどくなった。","くすりを のんだら、よくなる どころか、もっと ひどく なった。","After taking the medicine, far from getting better, it got worse.","औषधी खाएपछि निको हुनु त कहाँ, झन् बिग्रियो।","彼は貯金どころか、借金がある。","かれは ちょきん どころか、しゃっきんが ある。","Savings? He's got debts.","बचत त कहाँ हो कहाँ, उसको ऋण छ।","[expected X]どころか、[more extreme or opposite Y]","Rejects X as far off and states something more extreme or the opposite; the second clause often has も / さえ + negative, or an opposite.","same","どころか ↔ だけでなく","だけでなく adds a second item on the same side; どころか denies the first and goes to the extreme or the opposite","漢字＿＿＿＿、ひらがなも読めない。","どころか","薬を飲んだら、よくなる＿＿＿＿、もっとひどくなった。","A どころか / B だけでなく / C ばかりでなく / D 上に","A どころか","Denies the expected improvement and states the opposite.","B だけでなく would say he got better and additionally got worse, a contradiction; どころか denies the improvement.","","","","N3 grammar emphasis"
"〜さえ〜ば","N + さえ + V-ば; V-stem + さえすれば; V-て + さえいれば; い-adj-く + さえあれば; な-adj / N + でさえあれば","if only ~; as long as ~ (that one condition suffices)","… मात्र भए पुग्छ / … भए मात्रै","時間さえあれば、もっと勉強できるのに。","じかん さえ あれば、もっと べんきょうできる のに。","If only I had time, I could study more.","समय मात्र भए अझ धेरै पढ्न सक्थें।","この薬を飲みさえすれば、すぐ治る。","このくすりを のみ さえ すれば、すぐ なおる。","As long as you take this medicine, you'll recover quickly.","यो औषधी खाए मात्र पुग्छ, छिट्टै निको हुन्छ।","君が元気でさえいれば、それでいい。","きみが げんきで さえ いれば、それで いい。","As long as you're well, that's enough.","तिमी स्वस्थ भए मात्रै पुग्छ।","[X]さえ[V-ば]、[result]","X is the single sufficient condition; nothing else matters.","same","さえ〜ば ↔ さえ (emphasis)","さえ + ば = sufficient condition; さえ without ば = 'even' (extreme example)","時間＿＿＿＿＿、もっと勉強できるのに。","さえあれば","この薬を飲み＿＿＿＿＿、すぐ治る。","A さえすれば / B さえしても / C だけで / D ばかりで","A さえすれば","The sole condition for the promised result.","B さえしても is concessive ('even if you take it'), but すぐ治る is the result the condition guarantees, not something that holds regardless.","An extreme example, not a condition. 彼は忙しくて、日曜日＿＿休めない。","さえ","さえ alone fits because it marks 日曜日 as the least-expected case ('not even Sunday'); さえ〜ば would turn it into a condition, which needs a ば clause and a result that follows from it. 日曜日さえ休めない / 日曜日さえあれば休める.","N3 grammar condition confusable"
"〜さえ（強調）","N + さえ; N + でさえ; particle + さえ (にさえ, とさえ)","even ~ (extreme example, mostly with negatives)","… समेत / … पनि (चरम उदाहरण)","忙しくて、昼ご飯を食べる時間さえない。","いそがしくて、ひるごはんを たべる じかん さえ ない。","I'm so busy I don't even have time for lunch.","यति व्यस्त छु कि खाजा खाने समयसमेत छैन।","そんなことは子供でさえ知っている。","そんなことは こども でさえ しっている。","Even a child knows that.","त्यो त बच्चाले समेत जान्दछ।","熱が高くて、水さえ飲めなかった。","ねつが たかくて、みず さえ のめなかった。","The fever was so high I couldn't even drink water.","ज्वरो यति थियो कि पानीसमेत पिउन सकिनँ।","[extreme example]さえ [negative]","Picks the least-expected item to show the extremity: if even this, then of course the rest. Mostly with negatives.","speech often uses も / まで instead","さえ ↔ まで; さえ ↔ さえ〜ば","さえ = even (least expected case); まで = even, going as far as (an added extreme, often neutral or positive)","忙しくて、昼ご飯を食べる時間＿＿ない。","さえ","そんなことは子供＿＿＿知っている。","A でさえ / B でさえあれば / C にしては / D だけで","A でさえ","A child is the least-expected knower, used as the extreme example.","B でさえあれば sets a condition ('as long as it's a child'), but the sentence states a fact using a child as the extreme case.","","","","N3 grammar emphasis"
"〜こそ","N / phrase + こそ; からこそ","precisely ~; ~ is the one (emphasis)","… नै (जोड)","今度こそ合格したい。","こんど こそ ごうかくしたい。","This time for sure I want to pass.","यस पटक त पक्कै पास हुन चाहन्छु।","難しいからこそ、やる価値がある。","むずかしい からこそ、やる かちが ある。","Precisely because it's hard, it's worth doing.","गाह्रो भएकैले गर्न लायक छ।","これこそ私が探していた本だ。","これこそ わたしが さがしていた ほんだ。","This is exactly the book I was looking for.","यही नै मैले खोजिरहेको किताब हो।","[X]こそ ・ [reason]からこそ","Singles out X as the one that matters; からこそ = the very reason, often an unexpected one.","こちらこそ (set phrase)","こそ ↔ だけ","こそ emphasises without excluding others; だけ excludes them","今度＿＿合格したい。","こそ","難しい＿＿＿＿、やる価値がある。","A からこそ / B ばかりに / C せいか / D どころか","A からこそ","Difficulty is presented as the very reason for value.","B ばかりに makes 難しい the regretted cause of a bad result, but 価値がある is positive.","","","","N3 grammar emphasis"
"〜しかない","V-dict + しかない","have no choice but to ~","… गर्नुबाहेक उपाय छैन","終電がなくなったので、歩いて帰るしかない。","しゅうでんが なくなった ので、あるいて かえる しかない。","The last train is gone, so I have no choice but to walk home.","अन्तिम ट्रेन छुटेकोले हिँडेर फर्कनुबाहेक उपाय छैन।","誰も手伝ってくれないなら、自分でやるしかない。","だれも てつだって くれない なら、じぶんで やる しかない。","If no one helps, I'll just have to do it myself.","कसैले सहयोग नगरे आफैं गर्नुबाहेक उपाय छैन।","この病気は手術するしかないそうだ。","このびょうきは しゅじゅつする しかない そうだ。","I hear surgery is the only option for this illness.","यो रोगमा शल्यक्रिया गर्नुबाहेक उपाय छैन रे।","[situation]、[V-dict]しかない","The verb is the only remaining option; resigned tone.","same; formal ほかない","しかない ↔ しか〜ない (limitation)","V-dict + しかない = only option; N + しか + V-ない = only N","終電がなくなったので、歩いて帰る＿＿＿＿。","しかない","誰も手伝ってくれないなら、自分でやる＿＿＿＿。","A しかない / B ことはない / C わけがない / D はずがない","A しかない","No help available → doing it yourself is the only option.","B ことはない would say there's no need to do it yourself, the opposite of the situation described.","Limiting a noun, not stating an only option. 財布に百円＿＿ない。","しか","しか + ない fits because it limits the noun 百円 and the negative belongs to the verb ある ('only 100 yen'); V-dict + しかない would make an action the sole option, but there is no action here. 百円しかない (only 100 yen) / 歩くしかない (no choice but to walk).","N3 grammar limitation confusable"
"〜てからでないと","V-て + からでないと (also てからでなければ) + negative / impossibility","unless ~ first, (can't ~)","पहिले … नगरी (हुँदैन / सकिँदैन)","登録してからでないと、このサービスは使えません。","とうろくして からでないと、このサービスは つかえません。","You can't use this service unless you register first.","पहिले दर्ता नगरी यो सेवा प्रयोग गर्न सकिँदैन।","上司に確認してからでないと、お答えできません。","じょうしに かくにんして からでないと、おこたえ できません。","I can't answer until I've checked with my boss.","हाकिमसँग नसोधी जवाफ दिन सक्दिनँ।","準備運動をしてからでないと、けがをするかもしれない。","じゅんびうんどうを して からでないと、けがを するかも しれない。","If you don't warm up first, you might get hurt.","वार्मअप नगरी चोट लाग्न सक्छ।","[V-て]からでないと、[negative / cannot / problem]","The first action is a prerequisite; the main clause is negative or states a problem.","てからじゃないと (casual)","てからでないと ↔ てから","てから = neutral sequence with any ending; てからでないと = prerequisite, ending must be negative or a problem","登録して＿＿＿＿＿＿、このサービスは使えません。","からでないと","上司に確認して＿＿＿＿＿、お答えできません。","A からでないと / B からでも / C からこそ / D からか","A からでないと","Checking is the missing prerequisite for answering.","B からでも ('even after checking') would imply you still couldn't answer, but the sentence says checking is exactly what's needed.","","","","N3 grammar condition"
"〜ばよかった","V-ば + よかった; V-なければ + よかった","should have ~ (regret about the past)","… गरेको भए हुन्थ्यो (पछुतो)","もっと早く病院に行けばよかった。","もっと はやく びょういんに いけば よかった。","I should have gone to the hospital sooner.","अझ चाँडै अस्पताल गएको भए हुन्थ्यो।","あんなことを言わなければよかった。","あんなことを いわなければ よかった。","I shouldn't have said that.","त्यस्तो कुरा नभनेको भए हुन्थ्यो।","傘を持ってくればよかったのに。","かさを もってくれば よかった のに。","You should have brought an umbrella.","छाता ल्याएको भए हुन्थ्यो नि।","[V-ば]よかった(のに)","Regret for something not done, or done; with のに, mild reproach toward another person.","ばよかったなあ","ばよかった ↔ ばいい","ばよかった = past regret (should have); ばいい = present advice or wish (should / it'd be good if)","もっと早く病院に行けば＿＿＿＿。","よかった","あんなことを言わなければ＿＿＿＿。","A よかった / B いい / C ならない / D いけない","A よかった","Regret about something already said (あんなこと).","B いい would be present advice ('you'd better not say such things'), but あんなこと refers to something already said.","Advice about something not yet done. 疲れているなら、早く寝れば＿＿。","いい","ばいい fits because the sleeping is still ahead and this is advice; ばよかった would express regret about a past chance to sleep. 早く寝ればいい / 早く寝ればよかった.","N3 grammar regret confusable"
