#separator:tab
#html:false
#notetype:N3 Vocab (drip)
#columns:Word	WordFurigana	Reading	Meaning	PartOfSpeech	Type	Sentence1	Sentence1EN	Sentence2	Sentence2EN	Sentence3	Sentence3EN	Note	Tags
#tags column:14
決まる	決[き]まる	きまる	to be decided; to be settled	v5 intransitive	verb	会議[かいぎ]の 日[ひ]が 決[き]まった。	The meeting date has been decided.	引[ひ]っ 越[こ]し 先[さき]はまだ 決[き]まっていません。	Where I am moving to has not been decided yet.	ルールでそう 決[き]まっている。	That is how the rules have it.	〜に決まっている = obviously / definitely. Spoken: 決まり！ = Deal. Pair: 決める (vt, N4).	N3::day01 verb
確認	確認[かくにん]	かくにん	confirmation; checking	noun / suru-verb	verb	出発[しゅっぱつ] 前[まえ]に、 荷物[にもつ]をもう 一度[いちど] 確認[かくにん]した。	Before leaving, I checked my luggage once more.	予約[よやく]の 確認[かくにん]のメールが 届[とど]いた。	A reservation confirmation email arrived.	念[ねん]のため、 時間[じかん]を 確認[かくにん]させてください。	Just to be sure, let me confirm the time.	ご確認ください = standard polite email phrase. Learn with 念のため = just in case.	N3::day01 verb
実際	実際[じっさい]	じっさい	actually; in practice; reality	noun / adverb	adv	話[はなし]には 聞[き]いていたが、 実際[じっさい]に 見[み]ると 驚[おどろ]いた。	I had heard about it, but when I actually saw it I was surprised.	実際[じっさい]、その 方法[ほうほう]はうまくいかなかった。	In reality, that method did not work well.	計画[けいかく]と 実際[じっさい]は 違[ちが]う。	Plans and reality are different.	実際に = actually (do/see); 実は = actually (to tell the truth). Not interchangeable.	N3::day01 adv
相手	相手[あいて]	あいて	the other party; partner; opponent	noun	noun	相手[あいて]の 気持[きも]ちを 考[かんが]えて 話[はな]しましょう。	Let us speak considering the other person's feelings.	試合[しあい]の 相手[あいて]はとても 強[つよ]かった。	Our opponent in the match was very strong.	相談[そうだん]する 相手[あいて]がいなくて 困[こま]っている。	I am troubled because I have no one to consult with.	話し相手 = someone to talk to; 結婚相手 = marriage partner. Reading あいて.	N3::day01 noun
全体	全体[ぜんたい]	ぜんたい	the whole; entire	noun	noun	クラス 全体[ぜんたい]で 話[はな]し 合[あ]った。	The whole class discussed it together.	全体[ぜんたい]の 三割[さんわり]が 賛成[さんせい]した。	30% of the total agreed.	まず 全体[ぜんたい]を 見[み]てから、 細[こま]かい 部分[ぶぶん]を 考[かんが]えよう。	Let us look at the whole first, then think about the details.	全体的に = overall. Pair with 部分.	N3::day01 noun
部分	部分[ぶぶん]	ぶぶん	part; portion	noun	noun	この 部分[ぶぶん]の 意味[いみ]が 分[わ]かりません。	I do not understand the meaning of this part.	壊[こわ]れた 部分[ぶぶん]だけ 交換[こうかん]した。	We replaced only the broken part.	大部分[だいぶぶん]の 人[ひと]が 賛成[さんせい]している。	The majority of people are in favor.	大部分 = the majority; 一部 (いちぶ) = a part / some.	N3::day01 noun
結局	結局[けっきょく]	けっきょく	in the end; after all	adverb	adv	いろいろ 考[かんが]えたが、 結局[けっきょく] 行[い]かないことにした。	I thought about it a lot, but in the end I decided not to go.	結局[けっきょく]、 誰[だれ]も 来[こ]なかった。	In the end, nobody came.	結局[けっきょく]は 自分[じぶん]で 決[き]めるしかない。	Ultimately you have to decide for yourself.	Very common in speech. Often slightly resigned: after all that...	N3::day01 adv
つまり	つまり	つまり	in other words; that is to say	conjunction	adv	彼[かれ]は 私[わたし]の 母[はは]の 弟[おとうと]、つまりおじです。	He is my mother's younger brother, in other words my uncle.	つまり、 明日[あした]は 来[こ]られないということですね。	So what you mean is you cannot come tomorrow, right?	費用[ひよう]が 足[た]りない。つまり、 計画[けいかく]は 無理[むり]だ。	There is not enough money. In short, the plan is impossible.	In reading passages, つまり restates the main point; the answer to a content question is often right after it.	N3::day01 adv
一方	一方[いっぽう]	いっぽう	on the other hand; one side; keeps on -ing	noun / conjunction	adv	兄[あに]は 静[しず]かだ。 一方[いっぽう]、 弟[おとうと]はとてもにぎやかだ。	My older brother is quiet. My younger brother, on the other hand, is very lively.	物価[ぶっか]は 上[あ]がる 一方[いっぽう]だ。	Prices just keep on rising.	彼[かれ]は 働[はたら]く 一方[いっぽう]で、 大学[だいがく]にも 通[かよ]っている。	While he works, he also attends university.	Three N3 grammar uses in one word. 一方通行 = one-way street.	N3::day01 adv
それぞれ	それぞれ	それぞれ	each; respectively	adverb / noun	adv	人[ひと]にはそれぞれ 考[かんが]え 方[かた]がある。	Each person has their own way of thinking.	参加者[さんかしゃ]はそれぞれ 自己[じこ] 紹介[しょうかい]をした。	Each participant introduced themselves.	二[ふた]つの 案[あん]にはそれぞれ 長所[ちょうしょ]と 短所[たんしょ]がある。	Each of the two proposals has strengths and weaknesses.	Always in kana. Prefix synonym: 各〜 (各国, 各自).	N3::day01 adv
増える	増[ふ]える	ふえる	to increase; to grow in number	v1 intransitive	verb	最近[さいきん]、 外国人[がいこくじん] 観光客[かんこうきゃく]が 増[ふ]えている。	Foreign tourists have been increasing lately.	体重[たいじゅう]が 三[さん]キロ 増[ふ]えた。	My weight went up by three kilos.	仕事[しごと]が 増[ふ]えて、 休[やす]む 時間[じかん]がない。	Work has increased and I have no time to rest.	Pair: 増える (vi) ↔ 増やす (vt). Noun form: 増加 (ぞうか).	N3::day01 verb
増やす	増[ふ]やす	ふやす	to increase (something)	v5 transitive	verb	勉強[べんきょう] 時間[じかん]を 増[ふ]やすことにした。	I decided to increase my study time.	会社[かいしゃ]は 社員[しゃいん]を 増[ふ]やす 予定[よてい]だ。	The company plans to increase its staff.	語彙[ごい]を 増[ふ]やすには、 毎日[まいにち] 読[よ]むことだ。	To build vocabulary, you have to read every day.	Exam trap: 増える vs 増やす. If there is a を, it is 増やす.	N3::day01 verb
減る	減[へ]る	へる	to decrease; to go down	v5 intransitive	verb	この 町[まち]の 人口[じんこう]は 年々[ねんねん] 減[へ]っている。	The population of this town is decreasing year by year.	運動[うんどう]したので、お 腹[なか]が 減[へ]った。	I exercised, so I am hungry.	事故[じこ]の 数[かず]が 減[へ]らない。	The number of accidents is not going down.	お腹が減る = get hungry. Casual male speech: 腹減った. Pair: 減らす (vt).	N3::day01 verb
減らす	減[へ]らす	へらす	to reduce; to cut down	v5 transitive	verb	医者[いしゃ]に 塩[しお]を 減[へ]らすように 言[い]われた。	The doctor told me to cut down on salt.	会社[かいしゃ]はコストを 減[へ]らそうとしている。	The company is trying to reduce costs.	ゴミを 減[へ]らすために、 買[か]い 物[もの] 袋[ぶくろ]を 持[も]って 行[い]く。	To reduce waste, I bring a shopping bag.	Noun form: 減少 (げんしょう). Pair: 減る (vi).	N3::day01 verb
現在	現在[げんざい]	げんざい	the present; currently	noun / adverb	noun	現在[げんざい]、 東京[とうきょう]に 住[す]んでいます。	I currently live in Tokyo.	現在[げんざい]の 状況[じょうきょう]を 報告[ほうこく]します。	I will report on the current situation.	過去[かこ]・ 現在[げんざい]・ 未来[みらい]について 考[かんが]えた。	I thought about the past, present and future.	Formal/written; spoken = 今. Set: 過去 – 現在 – 未来／将来.	N3::day01 noun
影響	影響[えいきょう]	えいきょう	influence; effect	noun / suru-verb	noun	台風[たいふう]の 影響[えいきょう]で、 電車[でんしゃ]が 止[と]まった。	Because of the typhoon, the trains stopped.	親[おや]の 言葉[ことば]は 子[こ]どもに 大[おお]きな 影響[えいきょう]を 与[あた]える。	A parent's words have a big influence on a child.	睡眠[すいみん] 不足[ぶそく]は 仕事[しごと]に 影響[えいきょう]する。	Lack of sleep affects work.	〜の影響で = due to the effects of (news staple). 悪影響 = bad influence.	N3::day02 noun
目的	目的[もくてき]	もくてき	purpose; aim	noun	noun	日本[にほん]に 来[き]た 目的[もくてき]は 何[なん]ですか。	What was your purpose for coming to Japan?	目的[もくてき]を 持[も]って 勉強[べんきょう]した 方[ほう]がいい。	It is better to study with a purpose.	この 会[かい]の 目的[もくてき]は 意見[いけん] 交換[こうかん]です。	The purpose of this meeting is exchanging opinions.	目的 = purpose; 目標 (もくひょう) = concrete target. 目的地 = destination.	N3::day02 noun
原因	原因[げんいん]	げんいん	cause	noun	noun	火事[かじ]の 原因[げんいん]はまだ 分[わ]かっていない。	The cause of the fire is still unknown.	失敗[しっぱい]の 原因[げんいん]を 考[かんが]えてみよう。	Let us think about the cause of the failure.	ストレスが 原因[げんいん]で 病気[びょうき]になる 人[ひと]がいる。	Some people get sick because of stress.	Reading げんいん (not げいいん). Pair: 原因 ↔ 結果.	N3::day02 noun
理解	理解[りかい]	りかい	understanding; comprehension	noun / suru-verb	verb	先生[せんせい]の 説明[せつめい]をよく 理解[りかい]できた。	I understood the teacher's explanation well.	文化[ぶんか]の 違[ちが]いを 理解[りかい]することが 大切[たいせつ]だ。	It is important to understand cultural differences.	彼[かれ]は 私[わたし]の 気持[きも]ちを 理解[りかい]してくれた。	He understood my feelings.	分かる = everyday understand; 理解する = comprehend (formal). ご理解ください on notices.	N3::day02 verb
判断	判断[はんだん]	はんだん	judgment; decision	noun / suru-verb	verb	自分[じぶん]で 判断[はんだん]してください。	Please judge for yourself.	状況[じょうきょう]を 見[み]て、 判断[はんだん]しましょう。	Let us look at the situation and make a call.	彼[かれ]の 判断[はんだん]は 正[ただ]しかった。	His judgment was correct.	判断 = judgment call; 決定 = formal decision; 決める = everyday decide.	N3::day02 verb
伝える	伝[つた]える	つたえる	to convey; to tell; to pass on	v1 transitive	verb	田中[たなか]さんによろしく 伝[つた]えてください。	Please give my regards to Tanaka-san.	自分[じぶん]の 気持[きも]ちをうまく 伝[つた]えられなかった。	I could not convey my feelings well.	この 伝統[でんとう]を 次[つぎ]の 世代[せだい]に 伝[つた]えたい。	I want to pass this tradition on to the next generation.	お伝えします = business: I will let them know. Pair: 伝わる (vi).	N3::day02 verb
伝わる	伝[つた]わる	つたわる	to be conveyed; to get across; to be handed down	v5 intransitive	verb	私[わたし]の 気持[きも]ちが 彼[かれ]に 伝[つた]わった。	My feelings got through to him.	日本語[にほんご]が 下手[へた]でも、 気持[きも]ちは 伝[つた]わります。	Even if your Japanese is poor, your feelings get across.	この 祭[まつ]りは 三百年[さんびゃくねん] 前[まえ]から 伝[つた]わっている。	This festival has been handed down for 300 years.	Spoken: 伝わった？ = Did that make sense? Also physical: 音・熱が伝わる.	N3::day02 verb
守る	守[まも]る	まもる	to protect; to keep (a promise, a rule)	v5 transitive	verb	約束[やくそく]は 必[かなら]ず 守[まも]ります。	I will definitely keep my promise.	ルールを 守[まも]らない 人[ひと]がいる。	There are people who do not follow the rules.	親[おや]は 子[こ]どもを 守[まも]るものだ。	Parents are supposed to protect their children.	Two senses: protect (人を守る) and keep/observe (時間を守る = be punctual). Opposite: 破る (やぶる).	N3::day02 verb
求める	求[もと]める	もとめる	to seek; to request; to want	v1 transitive	verb	会社[かいしゃ]は 経験[けいけん]のある 人[ひと]を 求[もと]めている。	The company is looking for experienced people.	客[きゃく]は 店[みせ]に 説明[せつめい]を 求[もと]めた。	The customer demanded an explanation from the shop.	人[ひと]は 誰[だれ]でも 幸[しあわ]せを 求[もと]めている。	Everyone seeks happiness.	Formal. 求人 (きゅうじん) = job openings. Spoken: 欲しがる／探す.	N3::day02 verb
与える	与[あた]える	あたえる	to give; to grant; to cause (influence, damage)	v1 transitive	verb	先生[せんせい]は 学生[がくせい]に 宿題[しゅくだい]を 与[あた]えた。	The teacher gave the students homework.	台風[たいふう]は 農業[のうぎょう]に 大[おお]きな 被害[ひがい]を 与[あた]えた。	The typhoon caused great damage to agriculture.	彼[かれ]の 話[はなし]はみんなにいい 印象[いんしょう]を 与[あた]えた。	His talk gave everyone a good impression.	Not everyday give (あげる); used with abstract objects. Very frequent in exam reading.	N3::day02 verb
得る	得[え]る	える	to obtain; to gain	v1 transitive	verb	旅行[りょこう]で 多[おお]くの 経験[けいけん]を 得[え]た。	I gained a lot of experience through travel.	情報[じょうほう]を 得[え]る 方法[ほうほう]はたくさんある。	There are many ways to obtain information.	彼[かれ]の 協力[きょうりょく]を 得[え]て、 仕事[しごと]が 早[はや]く 終[お]わった。	With his cooperation, the work finished early.	Also read うる in V-うる/える = can (あり得る = possible). Formal; spoken = 手に入れる／もらう.	N3::day02 verb
含む	含[ふく]む	ふくむ	to include; to contain	v5 transitive	verb	この 値段[ねだん]は 税金[ぜいきん]を 含[ふく]んでいます。	This price includes tax.	参加者[さんかしゃ]は 私[わたし]を 含[ふく]めて 十人[じゅうにん]です。	There are ten participants including me.	この 飲[の]み 物[もの]には 砂糖[さとう]がたくさん 含[ふく]まれている。	This drink contains a lot of sugar.	含めて (from 含める, vt) = including. 含まれる = is included. 税込 = tax included.	N3::day02 verb
超える	超[こ]える	こえる	to exceed; to go over	v1 transitive	verb	気温[きおん]が 三十五度[さんじゅうごど]を 超[こ]えた。	The temperature exceeded 35 degrees.	参加者[さんかしゃ]は 百人[ひゃくにん]を 超[こ]えるだろう。	The participants will probably exceed 100 people.	予算[よさん]を 超[こ]えないように 気[き]をつけている。	I am being careful not to go over budget.	超える = exceed a number/limit; 越える = cross a mountain/border. 超 (ちょう) as slang = super.	N3::day02 verb
向かう	向[む]かう	むかう	to head toward; to face	v5 intransitive	verb	今[いま]、 駅[えき]に 向[む]かっています。	I am heading to the station now.	机[つくえ]に 向[む]かって 勉強[べんきょう]した。	I sat at the desk and studied.	病気[びょうき]は 良[よ]い 方向[ほうこう]に 向[む]かっている。	The illness is heading in a good direction.	向かっています = on my way (text message). Related: 向こう (over there), 向く (to face).	N3::day02 verb
過ごす	過[す]ごす	すごす	to spend (time); to pass	v5 transitive	verb	週末[しゅうまつ]は 家族[かぞく]と 過[す]ごしました。	I spent the weekend with my family.	日本[にほん]で 三年間[さんねんかん] 過[す]ごした。	I spent three years in Japan.	楽[たの]しい 時間[じかん]をお 過[す]ごしください。	Please have a pleasant time.	Object is always time. 過ぎる (vi) = time passes. Spoken: どう過ごしてた？ = What have you been up to?	N3::day02 verb
環境	環境[かんきょう]	かんきょう	environment; surroundings	noun	noun	環境[かんきょう]を 守[まも]るために、リサイクルをしている。	I recycle in order to protect the environment.	新[あたら]しい 環境[かんきょう]に 慣[な]れるまで 時間[じかん]がかかった。	It took time to get used to the new environment.	子[こ]どもにはいい 環境[かんきょう]で 育[そだ]ってほしい。	I want my child to grow up in a good environment.	Natural environment and also surroundings/setting. Reading かんきょう.	N3::day02 noun
効果	効果[こうか]	こうか	effect; effectiveness	noun	noun	この 薬[くすり]は 効果[こうか]がある。	This medicine is effective.	運動[うんどう]の 効果[こうか]が 出[で]てきた。	The effects of exercise are starting to show.	効果的[こうかてき]な 勉強[べんきょう] 方法[ほうほう]を 探[さが]している。	I am looking for an effective study method.	効果 = effect of a thing (medicine, method); 影響 = influence on something. Verb: 効く (きく).	N3::day02 noun
条件	条件[じょうけん]	じょうけん	condition; terms	noun	noun	この 仕事[しごと]の 条件[じょうけん]は 悪[わる]くない。	The conditions of this job are not bad.	条件[じょうけん]に 合[あ]うアパートが 見[み]つからない。	I cannot find an apartment that meets my conditions.	三[みっ]つの 条件[じょうけん]を 満[み]たす 必要[ひつよう]がある。	Three conditions need to be met.	条件を満たす = meet the conditions. 無条件 = unconditional.	N3::day02 noun
責任	責任[せきにん]	せきにん	responsibility	noun	noun	自分[じぶん]の 行動[こうどう]に 責任[せきにん]を 持[も]ってください。	Please take responsibility for your actions.	この 失敗[しっぱい]の 責任[せきにん]は 私[わたし]にあります。	The responsibility for this failure lies with me.	責任感[せきにんかん]の 強[つよ]い 人[ひと]だ。	He is a person with a strong sense of responsibility.	責任を取る = take responsibility (resign etc). 責任感 = sense of responsibility.	N3::day02 noun
状態	状態[じょうたい]	じょうたい	state; condition	noun	noun	患者[かんじゃ]の 状態[じょうたい]は 良[よ]くなってきた。	The patient's condition has been improving.	この 中古車[ちゅうこしゃ]は 状態[じょうたい]がいい。	This used car is in good condition.	疲[つか]れて、 何[なに]も 考[かんが]えられない 状態[じょうたい]だった。	I was so tired I was in a state where I could not think.	状態 = condition of a thing/person; 状況 = surrounding circumstances. 健康状態 = state of health.	N3::day02 noun
印象	印象[いんしょう]	いんしょう	impression	noun	noun	彼[かれ]の 第一[だいいち] 印象[いんしょう]はとても 良[よ]かった。	My first impression of him was very good.	この 映画[えいが]は 強[つよ]く 印象[いんしょう]に 残[のこ]った。	This film left a strong impression on me.	日本人[にほんじん]は 親切[しんせつ]だという 印象[いんしょう]を 受[う]けた。	I got the impression that Japanese people are kind.	印象に残る = memorable. 第一印象 = first impression.	N3::day02 noun
性格	性格[せいかく]	せいかく	personality; character	noun	noun	彼女[かのじょ]は 明[あか]るい 性格[せいかく]だ。	She has a cheerful personality.	兄弟[きょうだい]でも 性格[せいかく]は 全然[ぜんぜん] 違[ちが]う。	Even siblings have totally different personalities.	性格[せいかく]が 合[あ]わなくて、 別[わか]れた。	We broke up because our personalities did not match.	Homophone trap: 性格 (personality, noun) vs 正確 (accurate, na-adj).	N3::day02 noun
態度	態度[たいど]	たいど	attitude; manner	noun	noun	彼[かれ]の 態度[たいど]は 失礼[しつれい]だった。	His attitude was rude.	店員[てんいん]の 態度[たいど]が 良[よ]かったので、また 行[い]きたい。	The staff's manner was good, so I want to go again.	態度[たいど]を 改[あらた]めなさい。	Change your attitude.	態度が大きい = arrogant. 態度を改める = change one's attitude.	N3::day02 noun
価値	価値[かち]	かち	value; worth	noun	noun	この 絵[え]には 高[たか]い 価値[かち]がある。	This painting has high value.	読[よ]む 価値[かち]のある 本[ほん]だ。	It is a book worth reading.	お 金[かね]の 価値[かち]が 下[さ]がっている。	The value of money is falling.	V-る価値がある = worth V-ing (N3). 価値観 = values / worldview.	N3::day02 noun
資料	資料[しりょう]	しりょう	materials; documents; data	noun	noun	会議[かいぎ]の 資料[しりょう]を 準備[じゅんび]した。	I prepared the materials for the meeting.	この 資料[しりょう]を 見[み]ながら 説明[せつめい]します。	I will explain while looking at this document.	図書館[としょかん]で 歴史[れきし]の 資料[しりょう]を 調[しら]べた。	I researched historical materials at the library.	資料 = handouts/reference docs; 書類 (しょるい) = official paperwork; データ = data.	N3::day02 noun
締め切り	締[し]め 切[き]り	しめきり	deadline	noun	noun	レポートの 締[し]め 切[き]りは 金曜日[きんようび]です。	The report's deadline is Friday.	締[し]め 切[き]りに 間[ま]に 合[あ]わなかった。	I did not make the deadline.	申[もう]し 込[こ]みの 締[し]め 切[き]りが 近[ちか]い。	The application deadline is near.	Often written 締切 or 〆切 on notices. Verb: 締め切る = to close (applications).	N3::day03 noun
機会	機会[きかい]	きかい	opportunity; chance	noun	noun	日本語[にほんご]を 話[はな]す 機会[きかい]があまりない。	I do not have many opportunities to speak Japanese.	また 機会[きかい]があれば、ぜひ 行[い]きたい。	If there is another chance, I would love to go.	この 機会[きかい]に、 新[あたら]しいことに 挑戦[ちょうせん]してみよう。	Let us take this opportunity to try something new.	Homophone: 機械 (machine). チャンス is the casual version. この機会に = on this occasion.	N3::day03 noun
能力	能力[のうりょく]	のうりょく	ability; capability	noun	noun	彼[かれ]は 高[たか]い 能力[のうりょく]を 持[も]っている。	He has high ability.	日本語[にほんご] 能力[のうりょく] 試験[しけん]を 受[う]ける。	I am taking the Japanese Language Proficiency Test.	自分[じぶん]の 能力[のうりょく]を 生[い]かせる 仕事[しごと]がしたい。	I want a job where I can use my abilities.	In the exam name: 日本語能力試験. 能力を生かす = make use of one's abilities.	N3::day03 noun
知識	知識[ちしき]	ちしき	knowledge	noun	noun	彼[かれ]はコンピューターの 知識[ちしき]が 豊富[ほうふ]だ。	He has abundant knowledge of computers.	この 仕事[しごと]には 専門[せんもん]の 知識[ちしき]が 必要[ひつよう]だ。	This job requires specialist knowledge.	本[ほん]を 読[よ]んで 知識[ちしき]を 増[ふ]やした。	I increased my knowledge by reading books.	知識 = knowledge; 常識 (じょうしき) = common sense; 意識 (いしき) = awareness. All three on N3.	N3::day03 noun
周り	周[まわ]り	まわり	surroundings; around; the people around one	noun	noun	周[まわ]りの 人[ひと]に 迷惑[めいわく]をかけないでください。	Please do not bother the people around you.	駅[えき]の 周[まわ]りには 店[みせ]が 多[おお]い。	There are many shops around the station.	周[まわ]りを 気[き]にしすぎない 方[ほう]がいい。	It is better not to worry too much about what others think.	周り = surroundings/people around; 回り (same reading) = rotation. 身の回り = personal belongings.	N3::day03 noun
参加	参加[さんか]	さんか	participation	noun / suru-verb	verb	来週[らいしゅう]のセミナーに 参加[さんか]します。	I will participate in next week's seminar.	参加者[さんかしゃ]は 五十人[ごじゅうにん]を 超[こ]えた。	Participants exceeded 50.	誰[だれ]でも 自由[じゆう]に 参加[さんか]できます。	Anyone can join freely.	Takes に. 出席 = attendance (being present); 参加 = taking part.	N3::day03 verb
発表	発表[はっぴょう]	はっぴょう	announcement; presentation	noun / suru-verb	verb	明日[あした]、クラスで 研究[けんきゅう]の 発表[はっぴょう]をします。	Tomorrow I will give a presentation on my research in class.	合格[ごうかく] 発表[はっぴょう]は 一月[いちがつ] 末[まつ]です。	Results are announced at the end of January.	新[あたら]しい 製品[せいひん]が 発表[はっぴょう]された。	A new product was announced.	Reading はっぴょう. Covers both announce and present (give a talk).	N3::day03 verb
相談	相談[そうだん]	そうだん	consultation; talking something over	noun / suru-verb	verb	進路[しんろ]について 先生[せんせい]に 相談[そうだん]した。	I consulted my teacher about my future path.	困[こま]ったときは、いつでも 相談[そうだん]してください。	When you are in trouble, feel free to talk to me anytime.	家族[かぞく]と 相談[そうだん]して 決[き]めます。	I will decide after talking it over with my family.	Both に (consult someone) and と (discuss with). 相談に乗る = lend an ear / give advice.	N3::day03 verb
期待	期待[きたい]	きたい	expectation; anticipation; hope	noun / suru-verb	verb	新[あたら]しい 社員[しゃいん]に 期待[きたい]している。	I have high hopes for the new employee.	期待[きたい]していた 映画[えいが]がつまらなかった。	The film I had been looking forward to was boring.	親[おや]の 期待[きたい]に 応[こた]えたい。	I want to live up to my parents' expectations.	Positive expectation (hope). 予想 = neutral prediction. 期待に応える／裏切る = meet / betray expectations.	N3::day03 verb
努力	努力[どりょく]	どりょく	effort	noun / suru-verb	verb	合格[ごうかく]するために、 毎日[まいにち] 努力[どりょく]している。	I am making an effort every day to pass.	努力[どりょく]しても、うまくいかないこともある。	Even if you try hard, things do not always go well.	彼[かれ]の 努力[どりょく]は 無駄[むだ]にならなかった。	His efforts were not in vain.	努力家 = hard worker. Spoken: 頑張る. 無駄になる = go to waste.	N3::day03 verb
協力	協力[きょうりょく]	きょうりょく	cooperation	noun / suru-verb	verb	みんなで 協力[きょうりょく]して、 問題[もんだい]を 解決[かいけつ]した。	We all cooperated and solved the problem.	ご 協力[きょうりょく]ありがとうございました。	Thank you for your cooperation.	同僚[どうりょう]の 協力[きょうりょく]がなければ、 終[お]わらなかった。	Without my colleagues' help, it would not have gotten done.	ご協力お願いします = standard announcement phrase. Reading きょうりょく.	N3::day03 verb
